,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,DEN,CAR,43.5,21.0,41,-1,17,17
1,ATL,TB,47.5,24.5,55,7,25,9
2,TEN,MIN,42.5,20.0,41,9,31,31
3,PHI,CLE,41.5,20.5,39,-19,19,1
4,NO,OAK,50.5,24.5,69,1,42,28
5,KC,LAC,43.0,23.5,60,-6,30,16
6,BAL,BUF,43.0,21.5,20,-6,3,3
7,HOU,CHI,44.0,21.5,37,-9,13,7
8,JAC,GB,47.0,24.0,50,4,12,6
9,SEA,MIA,44.0,21.0,22,-2,13,13
10,DAL,NYG,49.0,24.5,39,1,17,3
11,IND,DET,49.0,27.0,74,4,43,27
12,WAS,PIT,50.5,26.0,54,22,34,28
13,SF,LosAngeles,46.0,21.5,28,-28,14,14
14,BUF,NYJ,42.5,21.5,68,6,38,10
15,DET,TEN,47.0,22.0,31,1,16,10
16,HOU,KC,43.5,20.0,31,-7,15,15
17,NE,MIA,42.5,18.5,55,-7,28,14
18,CLE,BAL,43.5,22.0,45,5,13,13
19,WAS,DAL,46.5,24.0,50,4,27,1
20,NYG,NO,51.5,27.5,29,-3,19,13
21,CAR,SF,44.5,21.5,73,-19,46,18
22,ARI,TB,49.5,22.0,47,-33,23,5
23,LosAngeles,SEA,40.5,20.0,12,-6,3,3
24,DEN,IND,44.0,23.5,54,-14,35,29
25,OAK,ATL,47.0,24.0,63,7,43,29
26,LAC,JAC,48.0,21.5,52,-24,31,3
27,MIN,GB,44.0,21.5,31,-3,14,0
28,CHI,PHI,43.0,22.5,43,15,27,27
29,CIN,DEN,41.0,21.0,46,12,16,16
30,BUF,ARI,47.0,23.5,51,-15,27,1
31,MIA,CLE,42.5,22.0,54,-6,25,11
32,CAR,MIN,43.0,20.5,32,12,14,14
33,SEA,SF,42.0,19.5,55,-19,28,16
34,TB,LosAngeles,42.0,20.5,69,5,32,32
35,PHI,PIT,46.5,24.5,37,-31,21,-21
36,KC,NYJ,44.0,21.0,27,-21,7,7
37,DAL,CHI,45.0,21.0,48,-14,21,21
38,NO,ATL,52.5,28.5,77,13,32,16
39,CIN,MIA,44.0,23.0,29,-15,6,0
40,JAC,IND,49.5,24.0,57,-3,34,22
41,WAS,CLE,45.5,24.0,51,-11,17,17
42,NE,BUF,43.5,20.5,16,16,3,3
43,ATL,CAR,50.0,24.0,81,-15,54,26
44,CHI,DET,46.5,24.0,31,-3,21,7
45,HOU,TEN,41.0,20.5,47,-7,10,-4
46,BAL,OAK,47.0,23.5,55,1,35,23
47,TB,DEN,44.5,21.0,34,20,10,10
48,SF,DAL,46.0,23.0,41,7,13,7
49,LAC,NO,53.5,28.5,69,1,31,31
50,ARI,LosAngeles,44.0,23.0,30,4,10,4
51,PIT,KC,47.5,23.0,50,-36,21,7
52,MIN,NYG,44.0,21.5,34,-14,17,11
53,SF,ARI,43.0,20.5,54,12,40,26
54,MIN,HOU,40.0,19.5,44,-18,14,14
55,MIA,TEN,44.0,21.5,47,13,12,6
56,CLE,NE,47.0,23.5,46,20,16,16
57,PIT,NYJ,48.5,26.0,44,-18,17,11
58,BAL,WAS,47.0,21.5,26,6,10,10
59,DET,PHI,46.0,24.0,47,-1,16,16
60,IND,CHI,47.5,24.0,52,-6,23,17
61,DEN,ATL,47.5,21.5,39,7,23,23
62,LosAngeles,BUF,40.0,21.0,49,11,20,14
63,OAK,LAC,52.5,26.0,65,-3,46,10
64,DAL,CIN,45.5,23.0,42,-14,21,7
65,GB,NYG,48.0,24.5,39,-7,16,16
66,CAR,TB,46.0,23.5,31,3,25,-3
67,LAC,DEN,46.0,22.0,34,-8,21,3
68,NE,CIN,47.0,24.0,52,-18,35,5
69,NYG,BAL,44.5,23.0,50,-4,33,13
70,NO,CAR,53.0,28.0,79,-3,45,31
71,MIA,PIT,48.0,22.5,45,-15,21,7
72,CHI,JAC,47.0,23.0,33,1,23,17
73,BUF,SF,45.5,21.5,61,-29,31,17
74,DET,LosAngeles,43.5,23.5,59,-3,31,17
75,TEN,CLE,45.5,23.0,54,-2,27,13
76,WAS,PHI,46.5,21.0,47,-7,12,6
77,SEA,ATL,46.0,22.5,50,-2,30,30
78,GB,DAL,47.0,24.5,46,14,23,23
79,HOU,IND,46.0,24.0,49,-3,30,18
80,ARI,NYJ,47.0,23.0,31,-25,14,0
81,GB,CHI,47.0,22.5,36,-16,27,13
82,LosAngeles,NYG,44.5,22.5,27,7,7,7
83,PHI,MIN,40.0,19.5,31,-11,17,3
84,DET,WAS,51.0,24.0,37,-3,31,17
85,CIN,CLE,46.0,21.0,48,-14,17,-3
86,MIA,BUF,45.5,23.0,53,-3,37,21
87,JAC,OAK,50.0,23.0,49,17,23,17
88,TEN,IND,49.0,24.5,60,8,30,30
89,NYJ,BAL,41.5,21.5,40,-8,10,-10
90,ATL,LAC,51.5,27.0,63,3,16,16
91,SF,TB,47.5,22.0,51,17,20,20
92,PIT,NE,46.0,25.0,43,11,19,13
93,DEN,HOU,41.5,20.0,36,-18,16,2
94,TEN,JAC,46.5,20.5,58,-14,31,19
95,CIN,WAS,46.0,24.5,54,0,37,11
96,ATL,GB,52.0,28.0,65,-1,22,8
97,HOU,DET,45.0,23.0,33,-7,16,10
98,NO,SEA,47.5,26.5,45,-5,18,12
99,BUF,NE,47.0,25.0,66,16,32,18
100,CLE,NYJ,43.0,23.5,59,3,32,32
101,IND,KC,49.5,24.5,44,16,20,6
102,DEN,LAC,44.5,21.5,46,-8,29,15
103,CAR,ARI,48.0,23.5,50,-10,19,7
104,DAL,PHI,43.5,23.0,52,-6,23,17
105,CHI,MIN,41.0,20.5,30,-10,14,0
106,TB,ATL,51.5,24.5,71,15,37,37
107,KC,JAC,45.5,20.5,33,-5,16,4
108,MIN,DET,41.0,21.0,38,6,19,7
109,NYG,PHI,44.0,23.5,51,-5,20,6
110,CLE,DAL,46.5,24.0,45,25,14,14
111,MIA,NYJ,45.0,23.0,50,-4,23,11
112,BAL,PIT,43.0,23.5,35,-7,25,19
113,GB,IND,52.5,26.5,57,5,23,17
114,OAK,DEN,44.5,23.0,50,-10,20,20
115,SEA,BUF,44.0,24.0,56,-6,11,11
116,BAL,CLE,44.0,23.0,35,-21,22,-8
117,JAC,HOU,43.5,21.0,45,3,21,21
118,NO,DEN,47.0,24.0,48,2,35,7
119,PHI,ATL,49.5,24.0,39,-9,26,20
120,WAS,MIN,42.0,22.0,46,-6,12,0
121,TEN,GB,48.0,27.0,72,-22,21,9
122,LAC,MIA,48.0,24.0,55,7,38,24
123,ARI,SF,48.0,23.5,43,-3,13,13
124,PIT,DAL,49.5,26.5,65,5,37,31
125,NE,SEA,48.5,26.0,55,7,22,8
126,NYG,CIN,46.0,26.0,41,-1,17,17
127,CAR,NO,53.5,25.5,43,-3,20,14
128,IND,TEN,53.5,27.0,41,-7,13,13
129,DET,JAC,47.0,23.5,45,-7,27,13
130,KC,TB,44.5,23.5,36,2,17,17
131,NYG,CHI,45.5,22.0,38,-6,13,-13
132,CIN,BUF,47.0,23.5,28,4,6,6
133,DAL,BAL,43.5,22.5,44,-10,24,10
134,CLE,PIT,49.5,22.0,33,15,19,13
135,LosAngeles,MIA,41.0,17.0,24,4,17,11
136,SF,NE,51.5,24.0,47,13,24,24
137,SEA,PHI,46.0,20.5,41,-11,18,4
138,OAK,HOU,46.5,23.5,47,-7,27,21
139,DAL,WAS,49.5,27.0,57,-5,34,34
140,IND,PIT,53.0,24.0,35,21,7,7
141,HOU,LAC,47.0,21.5,34,8,13,13
142,CHI,TEN,45.5,20.5,48,6,20,20
143,BUF,JAC,47.0,20.5,49,-7,36,8
144,BAL,CIN,41.5,21.0,33,-5,14,14
145,ATL,ARI,51.0,25.0,57,-19,27,13
146,MIA,SF,46.5,22.0,55,-7,34,14
147,NO,LosAngeles,46.0,24.0,70,-28,21,-7
148,CLE,NYG,45.0,24.0,40,14,20,20
149,TB,SEA,45.0,23.0,19,-9,0,0
150,DEN,KC,40.5,19.5,57,3,36,22
151,NYJ,NE,48.0,24.5,39,5,19,19
152,PHI,GB,47.0,24.5,40,14,16,10
153,MIN,DAL,43.5,20.5,32,2,22,16
154,ATL,KC,49.0,27.0,57,1,21,21
155,GB,HOU,45.5,20.0,34,-8,27,27
156,CIN,PHI,42.5,20.5,46,-18,27,7
157,NO,DET,54.0,27.5,41,15,22,22
158,NE,LosAngeles,46.0,18.0,36,-16,19,7
159,BAL,MIA,41.5,20.5,44,-32,20,20
160,OAK,BUF,50.0,24.0,62,-14,43,15
161,LAC,TB,48.0,24.5,49,7,28,14
162,ARI,WAS,50.5,24.0,54,-8,38,24
163,PIT,NYG,50.0,24.5,38,-10,24,10
164,SEA,CAR,45.0,22.5,47,-33,17,3
165,CAR,LAC,49.5,23.5,44,-12,14,8
166,IND,HOU,47.0,24.0,39,5,23,9
167,CLE,CIN,44.0,17.5,33,13,13,-1
168,BUF,PIT,47.5,23.0,47,7,26,26
169,MIA,ARI,44.0,21.0,49,-3,26,12
170,DET,CHI,44.0,21.0,37,-3,24,18
171,JAC,MIN,40.0,20.0,41,9,23,9
172,TB,NO,51.0,24.5,27,-5,6,6
173,SF,NYJ,45.0,20.5,40,6,14,14
174,GB,SEA,46.5,24.0,48,-28,24,10
175,LosAngeles,ATL,46.0,20.0,56,28,35,35
176,NYG,DAL,47.5,24.0,17,-3,10,-10
177,SEA,LosAngeles,40.5,19.5,27,-21,14,0
178,NYJ,MIA,41.5,21.0,47,21,24,24
179,DAL,TB,46.0,24.0,46,-6,23,23
180,BAL,PHI,42.0,21.0,53,-1,19,19
181,CHI,GB,44.0,21.5,57,3,37,37
182,MIN,IND,44.0,21.5,40,28,13,7
183,BUF,CLE,44.0,20.0,46,-20,26,12
184,KC,TEN,43.5,21.5,36,2,12,12
185,HOU,JAC,41.0,19.5,41,-1,23,11
186,ARI,NO,50.0,25.5,89,7,45,31
187,ATL,SF,51.5,24.0,54,-28,13,-7
188,DEN,NE,44.5,21.5,19,13,6,6
189,LAC,OAK,51.0,24.5,35,3,15,3
190,CIN,PIT,45.0,24.0,44,4,15,15
191,WAS,CAR,51.0,27.0,41,11,19,19
192,PHI,NYG,42.0,22.0,43,-5,9,9
193,CHI,WAS,45.5,25.5,62,20,24,24
194,BUF,MIA,44.0,21.0,65,3,41,13
195,NE,NYJ,44.5,18.5,44,-38,17,3
196,JAC,TEN,44.5,22.5,55,-21,29,17
197,CLE,LAC,45.5,22.0,37,-3,10,4
198,LosAngeles,SF,41.0,19.5,43,1,22,22
199,SEA,ARI,44.0,22.5,65,3,48,34
200,HOU,CIN,41.0,20.0,22,-2,19,13
201,PIT,BAL,44.5,23.0,58,-4,45,39
202,KC,DEN,38.0,20.0,43,-23,12,12
203,DAL,DET,41.5,24.0,63,-21,21,-7
204,NYJ,BUF,45.0,20.5,40,-20,27,7
205,CIN,BAL,41.5,20.5,37,-17,14,14
206,WAS,NYG,44.0,23.0,29,9,19,13
207,DET,GB,48.0,26.5,55,7,31,31
208,IND,JAC,48.5,24.0,44,-4,24,-4
209,PHI,DAL,45.0,20.5,40,-14,20,6
210,TB,CAR,47.5,21.0,33,-1,23,9
211,ATL,NO,56.0,29.0,70,-6,22,16
212,MIA,NE,44.5,23.0,49,21,22,8
213,LosAngeles,ARI,41.5,19.0,50,38,28,28
214,LAC,KC,45.0,22.0,64,10,34,20
215,SF,SEA,44.5,23.0,48,2,15,11
216,HOU,OAK,47.0,20.0,41,-13,14,14
217,SEA,DET,44.5,22.5,32,-20,19,19
218,PIT,MIA,47.5,23.5,42,-18,16,-4
219,ATL,SEA,49.5,25.5,56,-16,27,13
220,NE,HOU,45.5,22.5,50,-18,20,6
221,KC,PIT,46.5,24.0,34,2,15,9
222,DAL,GB,51.5,28.0,65,3,31,31
223,ATL,GB,60.5,30.5,65,-23,41,15
224,ATL,NE,57.5,30.5,62,6,32,18
