,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,PIT,TEN,35.0,17.5,23,-3,6,6
1,BAL,KC,37.5,17.0,62,-14,45,31
2,CAR,PHI,44.5,20.5,48,28,7,7
3,CIN,DEN,44.5,19.5,19,5,16,16
4,CLE,MIN,39.5,19.0,54,14,31,31
5,HOU,NYJ,43.0,21.0,31,17,21,21
6,IND,JAC,45.0,22.5,26,-2,13,-1
7,NO,DET,48.5,23.0,72,-18,34,14
8,ARI,SF,47.0,21.0,36,4,17,3
9,NYG,WAS,39.5,19.0,40,-6,16,16
10,SEA,LA,43.0,19.5,28,-28,14,-14
11,GB,CHI,44.0,21.5,36,-6,24,24
12,NE,BUF,46.5,24.0,49,-1,25,25
13,OAK,LAC,44.0,21.5,44,4,24,24
14,KC,OAK,41.0,17.5,23,3,17,17
15,TEN,HOU,41.0,21.5,65,3,17,3
16,NYJ,NE,47.5,20.0,25,-7,13,-7
17,GB,CIN,44.0,21.0,55,7,13,13
18,DET,MIN,47.5,21.5,40,14,23,23
19,WAS,LA,38.0,17.5,16,-2,3,-3
20,JAC,ARI,43.5,21.0,48,14,21,7
21,LAC,BAL,42.5,21.0,57,5,20,6
22,CHI,PIT,38.0,18.5,31,-3,17,17
23,DAL,NYG,44.0,23.0,64,2,27,13
24,MIA,IND,43.0,20.5,50,4,24,24
25,NYJ,TEN,38.0,17.5,41,-7,17,3
26,HOU,JAC,46.0,23.5,55,7,17,11
27,PHI,KC,40.5,19.5,48,-20,17,11
28,BAL,CLE,40.0,17.5,37,-31,17,3
29,TB,NYG,42.5,21.0,24,24,10,10
30,DET,WAS,38.5,17.5,33,-5,20,20
31,LA,GB,42.0,22.0,53,19,16,10
32,MIN,SF,42.0,19.5,51,-3,24,10
33,NE,ATL,46.5,23.0,36,-16,13,7
34,SEA,CHI,37.0,17.5,44,6,24,24
35,BUF,NO,53.0,24.0,34,20,17,17
36,LAC,MIA,44.0,21.0,36,-10,30,16
37,DAL,CAR,45.0,23.5,28,-14,21,1
38,HOU,OAK,42.5,20.0,35,-23,9,-9
