,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,DEN,BAL,49.5,24.5,76,-22,45,3
1,BUG,NE,53.0,24.5,44,2,13,-1
2,PIT,TEN,43.5,20.5,25,7,16,16
3,NO,ATL,54.0,27.5,40,-6,17,3
4,NYJ,TB,41.0,20.0,35,-1,9,9
5,JAX,KC,40.5,20.5,30,26,7,7
6,CHI,CIN,45.5,20.5,45,-3,21,7
7,CLE,MIA,41.5,20.0,33,13,20,14
8,CAR,SEA,45.5,22.5,19,5,9,9
9,DET,MIN,47.0,24.0,58,-10,31,3
10,IND,OAK,49.0,21.5,38,-4,17,17
11,LA,ARI,40.5,22.5,51,-3,31,25
12,SF,GB,50.5,24.0,62,-6,34,20
13,DAL,NYG,49.0,24.0,67,-5,44,16
14,LAC,HOU,47.0,24.0,59,3,31,17
15,NE,NYJ,44.5,20.5,23,-3,7,7
16,PHI,LAC,54.5,27.5,63,3,40,20
17,BAL,CLE,42.5,21.0,20,-8,14,0
18,HOU,TEN,45.5,21.0,54,-6,31,17
19,BUG,CAR,45.0,20.5,47,-1,37,15
20,ATL,LA,47.0,22.5,55,-7,28,28
21,GB,WAS,50.0,23.0,58,-18,34,6
22,KC,DAL,46.5,22.5,33,-1,16,2
23,CHI,MIN,40.5,20.5,61,-1,16,16
24,TB,NO,46.0,24.0,30,2,13,13
25,OAK,JAX,39.5,20.0,28,-10,15,9
26,NYG,DEN,54.5,28.0,64,18,45,31
27,SEA,SF,45.5,20.5,32,-26,27,13
28,CIN,PIT,40.0,21.0,30,-10,10,-4
29,PHI,KC,49.0,25.5,42,10,20,14
30,TEN,LAC,43.5,21.5,37,-3,17,17
31,MIN,CLE,41.5,22.0,58,4,17,3
32,NE,TB,46.5,20.5,26,-20,6,0
33,BAL,HOU,44.5,21.0,39,-21,13,-1
34,NO,ARI,48.5,23.5,38,-24,17,11
35,CIN,GB,45.5,23.5,64,-4,34,20
36,CAR,NYG,45.5,21.0,38,-38,21,-7
37,MIA,ATL,43.0,23.0,50,-4,27,7
38,SF,IND,45.5,23.0,34,20,17,17
39,SEA,JAX,41.0,17.0,62,-28,38,10
40,NYJ,BUG,39.0,20.0,47,-7,24,18
41,PIT,CHI,38.5,20.0,63,17,29,9
42,DEN,OAK,49.0,24.0,58,-16,24,18
43,LA,SF,43.5,20.5,46,24,29,29
44,BUG,BAL,43.5,23.0,43,-3,16,10
45,CLE,CIN,41.0,21.0,23,-11,13,7
46,JAX,IND,42.5,20.0,40,34,17,17
47,HOU,SEA,44.5,20.0,43,3,17,17
48,DET,CHI,47.5,24.0,72,-8,29,15
49,KC,NYG,44.0,21.5,38,-24,21,7
50,TEN,NYJ,39.0,20.0,51,-25,21,21
51,LAC,DAL,45.5,24.0,51,-9,17,3
52,OAK,WAS,47.0,23.0,38,10,14,14
53,DEN,PHI,57.0,28.5,72,-32,38,-4
54,NO,MIA,47.0,24.5,55,-21,24,-4
55,CLE,BUG,41.0,20.0,61,-13,34,20
56,TEN,KC,39.5,17.5,43,9,30,10
57,MIA,BAL,43.0,20.5,49,3,30,30
58,LA,JAX,41.5,20.5,54,-14,20,20
59,IND,SEA,43.0,21.5,62,-6,26,14
60,GB,DET,52.0,24.0,31,-13,22,2
61,NYG,PHI,55.5,24.0,57,15,31,3
62,ARI,CAR,42.0,21.0,28,-16,19,1
63,OAK,LAC,44.0,23.5,44,-10,27,13
64,DAL,DEN,55.5,32.5,99,3,51,25
65,ATL,NYJ,44.0,24.5,58,2,34,20
66,CHI,NYG,45.0,24.5,48,-6,10,4
67,KC,OAK,42.5,21.0,31,-17,17,3
68,TB,PHI,45.0,23.0,51,11,20,20
