,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
69,BAL,GB,47.0,21.5,36,2,30,24
70,CLE,DET,45.0,21.5,48,14,24,24
71,MIN,CAR,45.5,21.5,45,25,28,28
72,HOU,LA,41.5,23.0,51,25,28,28
73,BUG,CIN,45.5,21.0,51,3,21,21
74,SEA,TEN,41.0,20.5,33,-7,16,10
75,DEN,JAX,47.0,27.0,54,-16,28,0
76,SF,ARI,43.0,21.0,52,-12,16,16
77,NE,NO,51.0,26.5,57,-3,33,27
78,DAL,WAS,47.5,26.5,47,-15,27,13
79,LAC,IND,45.5,24.5,28,-10,12,6
80,ARI,SEA,42.5,20.5,56,12,29,23
81,NYJ,NE,43.5,21.0,57,-3,23,-11
82,JAX,LAC,44.5,21.0,30,18,13,7
83,KC,HOU,39.5,20.0,33,-1,9,3
84,DET,CIN,46.0,23.5,51,3,27,13
85,MIA,BUG,43.5,23.0,44,2,13,-1
86,WAS,CHI,51.0,21.5,86,-4,45,31
87,CAR,LA,41.5,20.0,45,-15,23,3
88,ATL,TB,42.0,21.0,54,-8,20,20
89,TEN,SF,38.5,19.5,48,14,31,31
90,GB,CLE,45.5,20.5,44,-18,24,24
91,IND,DEN,56.0,29.0,72,-6,32,18
92,NYG,MIN,46.0,21.5,30,-16,13,-1
93,TB,CAR,38.5,19.0,44,18,24,24
94,JAX,SF,40.0,17.5,52,32,21,7
95,DET,DAL,50.5,25.0,61,-1,44,44
96,PHI,NYG,53.0,23.0,22,8,10,10
97,KC,CLE,40.0,19.5,40,-6,10,10
98,NO,BUG,48.5,24.0,52,-18,21,7
99,NE,MIA,46.0,23.5,44,-10,24,-10
100,CIN,NYJ,40.5,19.5,58,-40,24,-4
101,OAK,PIT,41.0,20.0,39,-3,15,15
102,DEN,WAS,52.0,30.0,66,-24,52,38
103,MIN,GB,50.5,24.0,75,13,34,34
104,LA,SEA,46.0,20.5,23,5,13,7
105,MIA,CIN,42.0,20.5,42,-2,27,13
106,CAR,ATL,41.0,23.5,44,-24,20,14
107,DAL,MIN,46.0,24.5,50,-4,34,6
108,NYJ,NO,44.5,24.0,46,-6,12,6
109,LA,TEN,41.0,20.5,49,7,35,21
110,BUG,KC,43.0,20.5,36,10,23,17
111,WAS,LAC,50.0,24.0,54,-6,27,13
112,OAK,PHI,46.5,24.0,69,29,28,28
113,SEA,TB,41.0,23.0,51,-3,20,6
114,CLE,BAL,40.0,21.0,42,-6,18,4
115,NE,PIT,42.0,22.5,86,-24,52,46
116,HOU,IND,45.5,20.5,51,3,27,21
117,GB,CHI,48.5,21.5,47,7,20,0
118,MIN,WAS,47.5,24.5,61,-7,23,-5
119,TEN,JAX,42.5,21.5,56,2,36,30
120,GB,PHI,53.0,21.0,40,14,27,13
121,PIT,BuffaloBills,42.0,20.5,33,-13,20,6
122,NewYork,OAK,42.0,21.5,44,-4,13,-1
123,IND,LA,42.0,22.0,46,30,18,2
124,ATL,SEA,45.0,21.0,43,23,17,3
125,BAL,CIN,42.0,21.0,37,-3,17,17
126,CHI,DET,49.5,25.0,40,2,26,20
127,SF,CAR,41.0,21.0,19,1,3,3
128,ARI,HOU,41.0,22.5,51,-3,20,8
129,LAC,DEN,56.0,28.0,48,8,21,7
130,NO,DAL,50.0,26.5,66,-32,28,14
131,TB,MIA,41.0,20.0,41,-3,19,19
132,TEN,IND,43.0,21.5,57,3,34,34
133,TB,ATL,43.5,21.0,69,-13,39,11
134,PIT,DET,47.5,23.5,64,-10,17,11
135,PHI,WAS,51.5,24.5,40,-8,23,9
136,MIA,LAC,45.5,21.5,36,-4,16,2
137,CHI,BAL,47.0,21.0,43,-3,10,10
138,CIN,CLE,41.5,20.0,61,-21,17,17
139,HOU,OAK,42.5,20.5,51,5,20,20
140,JAX,ARI,40.0,21.5,41,13,13,13
141,DEN,KC,51.0,23.5,44,-10,17,3
142,SEA,MIN,47.0,23.0,61,-21,24,24
143,NO,SF,47.5,24.0,43,-3,19,19
144,CAR,NE,44.0,21.0,44,-4,31,17
145,ATL,NO,52.5,26.5,30,4,3,3
146,DET,TB,45.5,26.5,45,3,14,0
147,HOU,JAX,42.0,21.5,19,7,6,0
148,GB,MIN,45.0,21.5,52,0,26,26
149,MIA,CAR,40.0,20.5,36,4,14,14
150,CLE,PIT,41.0,20.5,38,16,22,22
151,BAL,NYJ,40.5,17.5,22,-16,10,-10
152,OAK,TEN,41.0,20.5,42,4,27,21
153,ARI,IND,43.5,21.0,51,-29,21,7
154,NYG,DAL,45.5,21.5,45,3,25,11
155,NE,DEN,54.5,24.0,65,-3,38,-4
156,WAS,SF,45.5,21.5,33,21,17,17
157,DET,GB,49.5,23.5,50,-30,23,5
158,DAL,OAK,45.5,24.5,55,-7,20,6
159,KC,DEN,47.5,27.0,63,7,28,28
160,CLE,JAX,40.5,20.0,60,4,26,12
161,CAR,TB,41.0,20.0,33,-21,10,-4
162,MIN,CHI,48.0,22.0,43,-3,27,21
163,NYJ,MIA,38.5,19.5,26,20,20,14
164,BUG,ATL,48.0,24.0,65,3,28,14
165,SF,LA,41.5,19.5,36,-10,20,14
166,HOU,NE,46.0,24.5,65,3,41,27
167,LAC,CIN,45.0,23.5,27,7,13,13
168,JAX,HOU,41.5,21.5,47,-7,23,9
169,WAS,KC,44.0,20.5,55,35,7,7
170,BAL,MIN,43.0,19.5,55,-3,45,45
171,NE,CLE,45.0,23.5,53,-1,47,25
172,CIN,IND,44.0,21.0,70,-14,56,28
173,PHI,DET,53.0,17.0,54,-14,46,34
174,PIT,MIA,41.5,19.5,62,6,45,17
175,TB,BUG,43.0,19.5,33,-21,6,0
176,DEN,TEN,49.0,27.0,79,-23,38,10
177,GB,ATL,47.0,23.5,43,-1,12,0
178,CHI,DAL,49.0,26.0,73,-17,35,13
179,DEN,LAC,52.5,30.0,47,7,20,20
180,ATL,WAS,50.0,24.5,53,-1,16,2
181,TB,SF,42.0,20.0,47,19,23,23
182,TEN,ARI,41.5,21.5,71,3,48,34
183,LA,NO,46.5,24.5,43,-11,16,10
184,NYG,SEA,41.5,20.5,23,23,10,10
185,JAX,BUG,44.0,21.0,47,7,17,11
186,MIN,PHI,50.5,27.0,78,-18,52,32
187,CAR,NYJ,40.0,19.5,50,-10,28,28
188,OAK,KC,41.0,21.5,87,25,35,7
189,PIT,CIN,41.0,21.5,50,-10,16,10
190,DET,BAL,45.0,24.5,34,2,18,12
191,BUG,MIA,43.0,20.0,19,-19,9,9
192,CAR,NO,45.5,21.5,30,-4,17,11
193,LA,TB,42.5,21.5,36,-10,12,6
194,PHI,CHI,54.5,24.5,65,-43,38,20
195,NYJ,CLE,39.5,21.0,37,-11,17,17
196,KC,IND,41.5,23.5,30,16,10,10
197,CIN,MIN,47.0,21.5,56,-28,21,-7
198,HOU,DEN,51.5,25.5,50,24,28,14
199,JAX,TEN,44.0,21.5,36,4,17,11
200,SEA,ARI,45.0,21.0,27,7,21,21
201,DET,NYG,48.5,23.5,43,3,24,6
202,LAC,OAK,49.5,24.0,39,-13,19,-1
203,GB,PIT,45.0,21.5,69,7,45,31
204,BAL,NE,45.0,21.5,48,34,31,31
205,SF,ATL,45.0,23.5,58,-10,45,25
206,ATL,CAR,45.5,23.0,41,1,17,3
207,CHI,GB,51.0,24.5,61,5,41,13
208,TEN,HOU,44.5,22.0,26,-6,13,-1
209,PIT,CLE,44.0,20.0,27,-13,13,7
210,CIN,BAL,44.5,21.5,51,-17,28,28
211,IND,JAX,45.5,21.0,40,-20,17,3
212,DAL,PHI,55.5,27.0,46,2,19,7
213,MIA,NYJ,41.0,21.0,27,13,6,6
214,MIN,DET,51.5,23.0,27,-1,20,20
215,NE,BUG,47.0,21.0,54,-14,35,35
216,NO,TB,47.0,23.0,59,-25,17,3
217,OAK,DEN,53.5,22.5,48,20,17,17
218,ARI,SF,43.0,21.0,43,3,19,19
219,LAC,KC,45.0,24.0,51,-3,13,13
220,SEA,LA,44.5,18.0,36,-18,23,9
221,IND,KC,46.5,24.5,89,-1,48,6
222,PHI,NO,54.5,27.5,50,2,37,23
223,CIN,LAC,46.0,24.0,37,17,20,20
224,GB,SF,48.5,24.0,43,3,20,20
225,SEA,NO,48.0,20.0,38,-8,22,22
226,NE,IND,52.5,24.5,65,-21,32,16
227,CAR,SF,43.0,20.5,33,13,10,10
228,DEN,LAC,54.5,26.0,41,-7,27,21
229,DEN,NE,54.5,28.5,42,-10,26,12
230,SEA,SF,41.0,20.5,40,-6,27,7
231,DEN,SEA,47.5,24.0,51,35,29,13
