,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,MIN,SF,47.0,21.5,40,-8,27,-1
1,IND,CIN,47.0,24.0,57,11,31,17
2,BAL,BUG,42.5,17.0,50,-44,24,-4
3,NO,TB,51.5,27.5,88,8,33,33
4,MIA,TEN,46.5,20.5,47,-7,37,31
5,LAC,KC,47.5,24.5,66,10,37,37
6,DET,NYJ,44.0,23.0,65,31,38,24
7,OAK,LA,49.5,24.5,46,20,23,23
8,CIN,BAL,44.5,23.0,57,-11,15,15
9,WAS,IND,47.5,24.0,30,12,13,7
10,ATL,CAR,44.0,21.0,55,-7,28,14
11,GB,MIN,47.0,22.5,58,0,34,28
12,BUG,LAC,44.5,20.0,51,11,17,3
13,TEN,HOU,45.0,20.5,37,-3,16,16
14,PIT,KC,50.5,28.0,79,5,37,23
15,NYJ,MIA,44.0,21.0,32,8,12,0
16,TB,PHI,44.0,23.5,48,-6,21,7
17,NO,CLE,47.5,24.0,39,-3,30,30
18,LA,ARI,46.5,20.5,34,-34,15,-1
19,SF,DET,47.0,24.0,57,-3,34,6
20,JAX,NE,45.0,23.0,51,-11,27,21
21,DEN,OAK,45.0,21.0,39,-1,27,7
22,DAL,NYG,43.5,20.5,33,-7,23,17
23,CHI,SEA,43.5,21.0,41,-7,28,28
24,CLE,NYJ,40.5,21.0,38,-4,21,-1
25,PHI,IND,48.0,45.0,36,-4,19,13
26,CAR,CIN,44.0,44.5,52,-10,17,3
27,JAX,TEN,39.0,39.5,15,3,9,9
28,ATL,NO,52.5,54.0,80,6,44,30
29,BAL,DEN,44.0,46.0,41,-13,7,-7
30,HOU,NYG,42.0,44.5,49,5,23,17
31,MIA,OAK,44.0,45.5,48,-8,31,17
32,WAS,GB,47.5,46.0,48,-14,10,10
33,MIN,BUG,41.5,41.0,33,21,6,6
34,KC,SF,54.5,53.5,65,-11,20,20
35,LA,LAC,48.0,49.5,58,-12,24,-4
36,ARI,CHI,40.0,39.0,30,2,13,13
37,SEA,DAL,41.5,40.0,37,-11,17,17
38,DET,NE,50.0,56.0,36,-16,20,6
39,TB,PIT,50.0,28.0,57,3,17,11
40,LA,MIN,47.0,27.0,69,-7,21,1
41,NE,MIA,48.0,23.0,45,-31,21,7
42,IND,HOU,47.0,23.5,71,3,31,17
43,ATL,CIN,48.0,28.0,73,1,21,15
44,GB,BUG,44.0,20.5,22,-22,6,0
45,JAX,NYJ,38.0,18.5,43,-19,27,9
46,CHI,TB,47.0,21.0,58,-38,17,3
47,ARI,SEA,37.0,20.0,37,3,20,20
48,LAC,SF,47.0,24.0,56,-2,22,4
49,NYG,NO,49.0,24.5,51,15,32,26
50,PIT,BAL,51.0,27.5,40,12,12,12
51,DEN,KC,55.0,27.0,50,4,27,13
52,NE,IND,53.0,23.5,62,-14,35,35
53,CLE,BAL,47.0,21.5,21,-3,9,3
54,KC,JAX,49.5,24.0,44,-16,24,18
55,BUG,TEN,39.5,17.5,25,-1,12,6
56,CAR,NYG,44.0,21.0,64,-2,31,31
57,NYJ,DEN,43.0,21.0,50,-18,19,13
58,DET,GB,51.0,24.0,54,-8,30,30
59,CIN,MIA,50.0,24.0,44,-10,30,24
60,SF,ARI,41.0,20.0,46,10,26,26
61,PHI,MIN,44.5,24.5,44,2,24,18
62,SEA,LA,48.0,26.5,64,2,30,2
63,HOU,DAL,45.5,23.5,35,-3,16,10
64,NO,WAS,51.0,26.5,62,-24,23,-5
65,NYG,PHI,45.0,23.0,47,21,17,3
66,MIN,ARI,43.0,21.5,44,-10,21,-7
67,CLE,LAC,46.5,23.0,52,24,25,25
68,MIA,CHI,43.5,19.5,59,-3,49,37
69,WAS,CAR,45.5,22.5,40,-6,17,17
70,NYJ,IND,46.0,24.0,76,-8,40,20
71,CIN,PIT,54.5,25.0,49,7,21,21
72,OAK,SEA,47.0,21.0,30,24,13,13
73,HOU,BUG,41.0,17.0,33,-7,23,23
74,DEN,LA,53.0,24.0,43,3,27,13
75,DAL,JAX,41.5,19.0,47,-33,23,11
76,NE,KC,58.0,30.0,83,-3,50,44
77,GB,SF,46.5,24.5,63,-3,19,13
78,ARI,DEN,40.5,19.5,55,35,17,3
79,LAC,TEN,45.5,23.5,39,-1,23,9
80,IND,BUG,44.0,20.0,42,-32,18,18
81,JAX,HOU,44.0,20.5,27,13,14,0
82,WAS,DAL,42.0,20.0,37,-3,23,17
83,SF,LA,52.0,24.0,49,29,20,14
84,ATL,NYG,54.0,16.0,43,-3,30,30
85,HOU,MIA,45.5,22.5,65,-19,41,13
86,JAX,PHI,41.0,21.5,42,6,26,14
87,PIT,CLE,50.5,23.0,51,-15,31,13
88,KC,DEN,55.5,27.0,53,-7,23,-5
89,CHI,NYJ,46.0,20.0,34,-14,24,10
90,DET,SEA,49.0,24.0,42,14,14,14
91,CIN,TB,53.5,28.0,71,-3,35,21
92,CAR,BAL,43.5,22.5,57,-15,26,20
93,OAK,IND,51.0,26.5,70,14,43,15
94,LA,GB,56.0,29.0,56,-2,38,8
95,MIN,NO,53.0,28.0,50,10,20,20
96,BUG,NE,44.5,22.5,31,19,19,13
97,SF,OAK,46.0,22.5,37,-31,17,-11
98,CLE,KC,52.5,27.0,58,16,22,22
99,BAL,PIT,47.0,24.0,39,7,19,5
100,WAS,ATL,48.0,23.5,52,24,24,10
101,BUG,CHI,37.0,17.0,50,32,22,16
102,DEN,HOU,45.5,23.5,36,2,10,-4
103,NO,LA,58.5,31.5,80,-10,28,28
104,DAL,TEN,40.5,21.0,42,14,14,14
105,PIT,CAR,50.0,26.0,73,-31,28,0
106,NYJ,BUG,37.0,19.0,51,31,17,3
107,CLE,ATL,51.0,24.5,44,-12,20,-8
108,TEN,NE,46.5,24.5,44,-24,10,4
109,GB,MIA,47.5,23.5,43,-19,20,-8
110,IND,JAX,47.5,24.5,55,-3,10,10
111,CHI,DET,47.0,21.0,56,-12,23,7
112,KC,ARI,50.0,22.0,40,-12,13,13
113,OAK,LAC,50.0,24.0,26,14,13,13
114,LA,SEA,51.5,25.5,67,-5,36,30
115,PHI,DAL,43.0,23.5,47,7,31,11
116,SF,NYG,44.0,23.0,50,4,27,13
117,SEA,GB,49.5,26.0,51,-3,13,13
118,DET,CAR,50.5,23.5,39,-1,22,16
119,ATL,DAL,47.5,24.5,41,3,32,26
120,BAL,CIN,43.5,20.5,45,-3,25,9
121,LAC,DEN,47.0,23.5,45,1,25,13
122,ARI,OAK,41.0,20.5,44,2,16,16
123,JAX,PIT,47.5,21.5,36,4,27,13
124,DET,CHI,46.5,21.5,39,7,23,11
125,DAL,WAS,41.0,20.5,54,-8,37,9
126,NO,ATL,59.0,31.0,48,-14,28,14
127,BUG,JAX,38.0,19.5,45,-3,17,17
128,BAL,OAK,43.5,21.0,51,-17,28,14
129,PHI,NYG,46.5,27.0,47,-3,17,11
130,CIN,CLE,48.0,23.0,55,15,20,6
131,NYJ,NE,47.0,24.0,40,14,20,14
132,CAR,SEA,47.0,23.5,57,3,34,20
133,IND,MIA,51.0,27.0,51,-3,23,23
134,LAC,ARI,44.0,21.0,55,-35,17,-11
135,DEN,PIT,47.5,24.5,41,-7,21,7
136,MIN,GB,48.5,26.5,41,-7,13,-7
137,DAL,NO,54.5,27.0,23,-3,10,10
138,JAX,IND,48.0,21.0,6,-6,3,3
139,PIT,LAC,52.5,27.5,63,3,33,33
140,TB,CAR,56.0,26.0,41,-7,17,3
141,ATL,BAL,48.0,21.5,42,10,22,22
142,MIA,BUG,42.0,20.0,38,-4,18,18
143,NYG,CHI,45.0,20.5,57,-3,30,2
144,CIN,DEN,43.5,21.0,34,14,24,10
145,DET,LA,55.0,25.0,46,14,30,10
146,GB,ARI,46.0,20.0,37,3,20,20
147,OAK,KC,56.0,25.0,73,7,47,29
148,TEN,NYJ,40.0,20.0,48,-4,26,12
149,NE,MIN,48.0,25.5,34,-14,17,3
150,SEA,SF,46.5,21.0,59,-27,36,22
151,PHI,WAS,44.0,21.5,41,-15,14,14
152,TEN,JAX,38.0,17.5,39,-21,21,-7
153,KC,BAL,49.0,24.0,51,-3,21,21
154,HOU,IND,49.0,24.5,45,3,21,7
155,TB,NO,57.5,27.5,42,14,25,25
156,BUG,NYJ,38.0,19.0,50,4,20,14
157,MIA,NE,48.0,25.0,67,-1,19,5
158,CHI,LA,54.0,24.0,21,-9,9,-9
159,SF,DEN,44.0,22.0,34,-6,14,14
160,LAC,CIN,48.0,24.0,47,-5,18,12
161,SEA,MIN,46.0,21.0,28,-14,25,25
162,NYJ,HOU,42.5,22.0,51,7,26,14
163,MIN,MIA,43.0,21.5,58,-24,27,21
164,CIN,OAK,46.5,21.5,46,-14,19,19
165,BAL,TB,47.5,21.5,32,-8,13,-1
166,IND,DAL,47.0,23.0,23,-23,13,-7
167,CHI,GB,46.5,23.0,41,-7,24,24
168,JAX,WAS,36.0,17.0,29,3,16,16
169,ATL,ARI,44.0,20.0,54,-26,21,7
170,SF,SEA,44.5,23.0,49,-3,16,10
171,PIT,NE,52.5,28.0,27,-7,6,6
172,LA,PHI,54.5,27.0,53,7,27,27
173,CAR,NO,54.0,24.0,21,3,8,8
174,TEN,WAS,37.0,18.5,41,-9,22,22
175,LAC,BAL,45.0,20.5,32,12,23,9
176,DAL,TB,46.0,24.0,47,-7,17,-3
177,NE,BUG,45.5,20.5,36,-12,22,8
178,CAR,ATL,47.5,22.5,34,14,14,14
179,MIA,JAX,39.5,19.5,24,10,10,10
180,IND,NYG,47.0,25.0,55,-1,31,3
181,PHI,HOU,45.0,24.0,62,-2,33,13
182,DET,MIN,43.0,20.0,36,18,13,13
183,NYJ,GB,46.0,24.0,82,6,38,10
184,CLE,CIN,46.0,20.0,44,-8,28,14
185,ARI,LA,47.5,21.0,40,22,10,10
186,SF,CHI,44.0,21.5,23,5,7,7
187,NO,PIT,52.0,27.5,59,-3,28,14
188,SEA,KC,54.0,27.0,69,-7,45,25
189,OAK,DEN,45.0,20.5,41,-13,24,24
190,NYG,DAL,43.5,17.5,71,1,50,28
191,KC,OAK,55.5,24.0,38,-32,14,0
192,NO,CAR,44.5,19.5,47,19,24,24
193,NE,NYJ,48.0,21.0,41,-35,17,3
194,WAS,PHI,42.0,19.5,24,24,14,14
195,HOU,JAX,40.5,17.5,23,-17,3,3
196,BAL,CLE,41.5,21.0,50,-2,23,17
197,TB,ATL,49.5,27.0,66,2,42,36
198,BUG,MIA,38.0,19.5,59,-25,31,3
199,TEN,IND,44.0,21.0,50,16,23,9
200,PIT,CIN,48.0,22.5,29,-3,16,2
201,MIN,CHI,41.5,19.5,34,14,18,4
202,DEN,LAC,41.5,21.0,32,14,22,22
203,SEA,ARI,40.0,19.5,51,-3,24,10
204,LA,SF,50.5,23.0,80,-16,39,11
205,HOU,IND,47.0,25.5,28,14,7,7
206,DAL,SEA,41.5,21.5,46,-2,30,30
207,BAL,LAC,41.5,20.0,40,6,28,22
208,CHI,PHI,41.0,21.0,31,1,22,22
209,LA,DAL,50.0,24.0,52,-8,25,19
210,NE,LAC,47.5,23.5,69,-13,27,21
211,NO,PHI,51.5,27.5,34,-6,10,-4
212,KC,NE,58.5,28.0,68,6,48,34
213,LA,NE,58.0,27.5,16,10,13,7
