,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,BAL,PIT,37.0,19.5,42,-28,14,-8
1,TB,DET,40.5,23.0,47,7,14,14
2,KC,BUG,42.5,18.5,48,34,21,21
3,HOU,IND,47.0,17.5,41,-27,7,7
4,CLE,CIN,37.5,19.5,44,10,17,11
5,JAX,TEN,40.5,17.5,30,-2,20,14
6,ARI,CAR,38.0,19.0,49,-7,28,14
7,SF,SEA,40.5,17.0,50,-16,34,34
8,LAC,MIN,41.5,23.5,41,-7,17,3
9,NYJ,DAL,41.0,20.5,51,-3,34,28
10,MIA,NE,45.0,23.0,62,14,41,21
11,NO,CHI,47.0,23.0,43,-17,17,3
12,DET,KC,44.0,21.0,51,-45,28,14
13,NYJ,JAX,37.5,17.5,35,-29,17,-11
14,BUG,OAK,41.5,19.5,73,-3,49,21
15,WAS,ARI,42.5,21.5,43,-1,26,26
16,TEN,BAL,37.5,19.0,39,-13,19,-1
17,PIT,SEA,38.5,17.0,24,-24,7,-7
18,CAR,GB,45.5,23.0,53,7,33,33
19,MIN,TB,41.0,18.0,44,4,27,27
20,SF,DAL,41.5,21.0,51,3,27,13
21,NE,LAC,51.5,27.5,56,-14,29,29
22,ATL,PHI,49.5,24.5,66,-4,42,28
23,NYG,LA,44.0,21.5,44,-12,17,3
24,BUG,NE,51.0,27.0,65,-3,34,20
25,NO,HOU,52.0,25.5,73,-7,47,33
26,PHI,NYG,48.5,23.5,45,13,18,12
27,TEN,DEN,41.0,21.0,31,-3,14,14
28,MIN,DET,44.5,21.0,49,3,26,26
29,CAR,JAX,41.5,17.5,26,-6,11,5
30,LAC,KC,44.5,21.0,37,-3,27,13
31,OAK,NYJ,42.0,21.0,58,-10,24,10
32,LA,BAL,41.5,19.5,44,30,17,3
33,TB,ATL,45.5,22.5,29,-3,13,7
34,SEA,ARI,41.0,20.5,23,-3,7,-7
35,CHI,GB,46.0,23.0,44,10,17,17
36,IND,PIT,38.5,21.0,43,3,20,20
37,DAL,WAS,45.0,21.5,34,-2,16,10
38,DAL,DET,46.5,22.5,64,4,41,21
39,JAX,NO,47.0,23.5,33,13,9,9
40,PHI,SF,44.0,20.5,47,1,24,18
41,CLE,TEN,37.0,19.0,44,18,17,17
42,KC,MIN,40.0,20.0,39,-5,23,11
43,CHI,CAR,44.0,21.5,63,-5,19,19
44,SEA,ATL,41.0,19.5,58,2,27,-1
45,ARI,NYG,44.5,21.5,58,4,42,14
46,LAC,MIA,46.5,21.0,42,-10,19,-1
47,GB,DEN,48.0,23.5,72,-26,27,-1
48,OAK,NE,52.0,28.0,50,12,23,17
49,TB,IND,41.5,20.5,41,-7,24,4
50,IND,KC,38.5,20.0,52,4,14,14
51,MIN,ARI,43.0,20.0,44,-24,13,7
52,BUG,PHI,48.5,25.5,55,-7,27,7
53,HOU,OAK,49.0,24.0,45,5,19,13
54,CAR,NO,51.5,25.5,57,3,24,10
55,JAX,CIN,35.5,19.0,50,10,24,24
56,PIT,TEN,41.0,18.5,55,-21,31,17
57,NYG,SEA,41.5,21.5,61,11,33,33
58,SF,TB,41.0,18.5,51,-45,24,4
59,NE,NYJ,50.0,23.5,51,-9,34,6
60,ATL,GB,53.0,27.0,39,11,19,19
61,DET,CHI,46.5,23.5,37,-11,20,-8
62,GB,LA,48.0,21.0,27,-21,0,0
63,PIT,JAX,38.5,17.5,30,-4,10,10
64,WAS,PHI,47.5,21.0,33,7,10,4
65,DET,SF,47.0,21.5,44,6,22,16
66,ATL,CAR,51.0,24.5,48,-14,24,24
67,CIN,IND,38.0,20.0,44,-10,27,7
68,NYG,BUG,48.5,24.0,51,-3,17,3
69,BAL,HOU,45.0,21.0,43,-15,26,14
70,OAK,CLE,44.0,21.0,41,-7,20,0
71,NE,DAL,54.0,26.0,36,-4,13,13
72,TB,NO,49.0,25.0,46,-6,16,10
73,CHI,MIN,43.0,19.5,49,-29,20,0
74,NYJ,MIA,41.0,20.0,30,-18,10,4
75,CLE,SEA,40.0,18.5,9,-3,6,6
76,TEN,HOU,43.0,20.5,48,34,28,14
77,DET,ATL,48.5,22.5,39,7,16,-4
78,OAK,KC,42.0,19.5,28,28,14,14
79,ARI,PIT,42.5,22.0,52,12,28,14
80,DAL,LA,44.5,21.5,41,-27,17,11
81,MIN,GB,47.5,24.0,60,6,30,30
82,NO,IND,47.5,21.0,69,-55,28,0
83,JAX,BAL,39.0,17.5,19,-5,13,7
84,TEN,IND,42.0,19.0,37,-17,17,17
85,HOU,JAX,41.5,20.0,38,-10,24,10
86,CAR,MIN,47.0,24.0,45,3,17,3
87,LA,NO,47.5,24.0,52,-10,35,21
88,BAL,ARI,44.5,21.0,57,-3,27,-1
89,NYG,MIA,42.0,23.0,37,-3,13,13
90,BUG,WAS,46.0,21.0,23,-23,10,-4
91,DEN,DET,43.5,20.0,55,35,28,28
92,PIT,NE,52.0,25.0,42,-8,15,9
93,SF,CLE,39.5,17.5,30,-10,10,10
94,PHI,DAL,51.0,23.0,41,-27,17,11
95,KC,LAC,44.5,21.5,43,-3,24,24
96,IND,ATL,45.0,20.5,38,24,10,10
97,NO,TB,51.5,23.5,43,-11,23,9
98,HOU,CLE,40.0,19.0,42,-18,15,9
99,KC,MIA,39.5,20.5,34,28,17,17
