,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
100,WAS,SF,39.5,17.5,30,8,14,14
101,DAL,SEA,42.5,23.0,36,-10,24,10
102,OAK,DEN,45.0,20.0,62,14,38,24
103,NE,NYG,52.5,23.5,44,4,44,38
104,LAC,GB,52.0,27.0,83,7,38,24
105,PIT,BAL,43.0,20.0,43,3,28,28
106,PHI,CHI,47.0,24.0,54,6,27,-1
107,LAC,OAK,51.0,23.0,41,7,21,-7
108,KC,DEN,42.5,17.5,27,7,17,3
109,IND,JAX,37.0,17.5,20,14,14,14
110,TB,HOU,45.5,21.0,46,28,27,27
111,CAR,TEN,45.5,22.0,33,27,16,10
112,MIA,WAS,37.5,17.5,29,-11,13,7
113,ATL,NO,51.5,24.0,49,3,30,16
114,CHI,DET,47.0,20.5,50,-24,24,-10
115,CLE,LA,37.0,18.5,25,1,6,0
116,PHI,ARI,47.0,22.0,38,4,17,17
117,SEA,BAL,39.5,20.5,39,-5,13,7
118,SF,NYG,43.5,21.0,47,-7,32,26
119,GB,MIN,51.5,22.0,52,-38,35,7
120,DEN,NYJ,42.5,17.5,30,-4,24,10
121,ATL,TEN,44.0,21.0,40,-6,24,4
122,BAL,CIN,41.0,20.0,55,-7,34,14
123,MIN,OAK,44.5,21.5,48,6,17,17
124,DET,CAR,49.0,24.5,84,-14,43,15
125,GB,TB,49.5,24.0,61,-9,30,30
126,WAS,DAL,41.0,21.0,51,3,24,18
127,SF,ARI,42.0,19.0,30,-16,21,-7
128,LA,SEA,37.0,20.0,31,17,14,14
129,NYG,PHI,47.0,21.5,27,7,14,14
130,NE,KC,48.0,23.0,37,-31,24,-10
131,DAL,MIA,44.0,22.5,39,-1,23,23
132,NYJ,BUG,43.5,21.0,52,-4,24,10
133,CIN,CLE,36.0,19.5,43,-3,19,-1
134,JAX,HOU,40.0,17.5,33,7,3,3
135,IND,CAR,44.5,23.0,46,8,26,20
136,TEN,TB,42.0,21.0,40,-6,20,20
137,ATL,MIN,44.0,19.5,38,-10,21,21
138,SEA,WAS,37.5,18.0,40,6,26,20
139,LAC,DEN,44.5,20.5,29,3,9,3
140,KC,PIT,39.5,20.5,22,4,3,3
141,SEA,PHI,44.0,21.0,45,-17,21,7
142,BUG,TEN,44.0,21.5,40,6,13,13
143,CHI,KC,38.5,17.0,13,7,3,3
144,PIT,CIN,42.0,20.0,42,-28,7,-7
145,CLE,BAL,37.5,17.0,34,14,24,18
146,WAS,NYJ,37.5,20.0,53,15,30,30
147,HOU,ATL,41.0,17.5,27,-7,14,14
148,NO,DET,53.5,27.5,48,-14,17,17
149,SF,LA,37.5,17.5,26,-26,17,-3
150,ARI,DAL,45.5,21.5,32,-6,13,7
151,NYG,GB,52.5,27.5,73,3,35,21
152,NE,IND,48.0,21.5,55,-7,35,7
153,JAX,LAC,40.0,20.5,52,24,14,14
154,PIT,CLE,39.5,17.0,17,-11,7,7
155,BAL,IND,41.0,19.5,34,-14,14,0
156,GB,OAK,55.0,21.0,62,-30,31,7
157,NYJ,KC,37.0,17.0,47,-27,16,2
158,DET,MIN,47.0,21.5,62,-6,17,17
159,TEN,NO,48.0,22.5,39,5,30,16
160,MIA,PHI,44.0,21.5,36,16,5,-1
161,WAS,NE,48.0,23.5,61,7,21,7
162,CAR,ATL,48.5,22.5,54,8,24,24
163,JAX,TB,40.0,20.5,55,-27,13,13
164,ARI,SF,40.5,17.5,40,-2,21,7
165,DEN,CHI,36.0,17.0,23,-3,20,20
166,LAC,BUG,46.5,22.0,47,-27,31,3
167,DAL,NYG,49.5,25.0,71,3,39,33
168,SEA,LA,37.0,17.5,43,-17,30,10
169,ATL,JAX,42.5,17.5,55,-27,28,0
170,TB,DAL,46.0,20.5,46,16,18,-12
171,NYG,WAS,45.5,21.0,33,13,13,13
172,KC,GB,46.5,23.0,33,-5,27,21
173,MIN,NO,51.0,25.5,62,22,28,28
174,HOU,CAR,46.5,20.5,41,15,20,8
175,IND,TEN,40.5,19.5,40,-14,31,3
176,LA,CIN,38.5,19.0,33,7,24,24
177,DEN,NE,46.5,24.0,64,18,21,21
178,PHI,NYJ,45.0,21.5,64,-26,23,3
179,ARI,CLE,37.0,19.5,37,-3,17,17
180,LAC,BAL,43.0,23.0,48,-20,24,-4
181,IND,HOU,40.5,19.5,35,-3,19,13
182,KC,OAK,43.0,20.5,29,3,20,14
183,BUG,DEN,42.5,21.0,54,-26,30,18
184,TEN,JAX,39.0,19.5,40,-6,13,7
185,CIN,ARI,40.0,17.5,39,-7,19,13
186,NE,MIA,48.5,24.0,51,-3,34,0
187,BAL,CLE,39.0,17.0,34,-6,17,11
188,NYJ,NYG,47.0,21.0,43,15,26,26
189,WAS,MIN,43.5,21.5,59,7,39,19
190,CAR,TB,49.0,24.5,64,-32,34,-8
191,PIT,LA,39.0,16.5,27,-27,17,11
192,DET,LAC,50.5,24.0,48,-28,24,10
193,SEA,SF,38.0,17.5,36,2,23,23
194,DAL,PHI,50.5,21.0,27,13,13,13
195,GB,CHI,44.5,20.0,56,-14,39,11
196,NO,ATL,53.0,26.5,61,-29,30,10
197,PHI,WAS,46.0,21.5,44,-24,34,28
198,LA,SF,36.0,17.0,61,7,34,28
199,MIN,CHI,39.0,21.5,30,4,3,3
200,GB,DET,48.0,23.5,86,-4,43,29
201,NYG,DAL,48.0,21.5,45,-17,24,24
202,HOU,TEN,40.5,18.0,45,1,22,16
203,CIN,BAL,39.0,17.5,40,8,20,6
204,CLE,PIT,35.5,17.0,22,4,13,7
205,MIA,NYJ,41.5,17.5,36,-2,20,20
206,NE,BUG,51.5,26.5,70,-28,35,7
207,OAK,LAC,49.0,26.0,64,12,27,15
208,DEN,KC,36.5,17.5,10,4,3,-3
209,ARI,SEA,41.0,19.5,43,-3,27,13
210,NO,DET,58.0,30.5,73,-17,49,21
211,DEN,PIT,35.5,20.0,52,-6,20,20
212,SF,NO,47.5,23.5,68,-4,37,31
213,NE,DEN,50.5,22.5,55,-35,13,-1
214,BAL,HOU,38.5,19.5,33,-7,3,3
215,GB,NYG,51.5,28.0,57,17,27,21
216,NE,BAL,50.5,24.5,43,-3,20,14
217,NE,NYG,55.5,27.5,38,4,19,5
