,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,NE,PIT,48.5,27.5,49,-7,32,18
1,CHI,GB,50.0,24.5,54,8,31,25
2,HOU,KC,42.0,21.0,47,7,11,11
3,BUF,IND,47.0,23.5,41,-13,24,10
4,WAS,MIA,44.0,23.0,27,7,10,10
5,JAC,CAR,42.5,20.5,29,11,10,10
6,LA,SEA,43.0,20.5,65,-3,42,14
7,ARI,NO,47.0,24.5,50,-12,26,20
8,LAC,DET,45.5,24.0,61,-5,30,10
9,TB,TEN,42.0,20.5,56,28,14,14
10,OAK,CIN,44.0,19.5,46,20,22,22
11,DEN,BAL,52.0,22.5,32,-6,20,6
12,DAL,NYG,49.5,28.0,53,-1,34,20
13,ATL,PHI,53.0,30.0,50,-2,27,27
14,SF,MIN,41.0,21.5,23,-17,16,10
15,KC,DEN,45.0,21.5,55,7,27,21
16,NO,TB,48.5,24.0,45,7,28,28
17,PIT,SF,44.0,20.5,61,-25,29,29
18,MIN,DET,44.0,22.0,42,-10,15,3
19,BUF,NE,46.0,23.5,72,8,35,35
20,CHI,ARI,45.0,23.0,71,25,23,17
21,CLE,TEN,41.5,20.5,42,-14,21,21
22,WAS,LA,41.5,20.5,34,-14,17,17
23,OAK,BAL,43.5,24.0,70,-4,30,10
24,JAC,MIA,41.5,24.0,43,-3,10,10
25,PHI,DAL,55.5,27.0,30,10,24,24
26,GB,SEA,48.0,26.5,44,-10,28,22
27,IND,NYJ,46.5,24.5,27,13,17,17
28,NYG,WAS,45.0,23.0,53,-11,32,26
29,LA,PIT,48.0,24.5,18,6,6,6
30,MIN,LAC,45.5,22.5,45,-17,28,0
31,HOU,TB,41.5,21.0,28,-10,12,6
32,NYJ,PHI,48.0,23.0,41,7,10,10
33,CAR,NO,44.0,21.5,49,-5,29,9
34,NE,JAC,47.5,24.0,68,-34,45,11
35,BAL,CIN,44.0,21.5,52,4,38,24
36,CLE,OAK,42.5,23.0,47,7,27,13
37,TEN,IND,45.5,23.5,68,2,44,10
38,DAL,ATL,44.0,23.5,67,11,22,22
39,ARI,SF,44.5,21.0,54,-40,16,-2
40,SEA,CHI,45.0,20.5,26,-26,20,-8
41,MIA,BUF,43.5,20.5,55,27,28,12
42,DET,DEN,44.5,24.0,36,12,16,4
43,GB,KC,48.0,24.0,66,-10,35,21
44,PIT,BAL,45.5,21.5,43,3,20,6
45,IND,JAC,47.5,22.0,29,-3,3,3
46,BUF,NYG,48.0,23.0,34,14,15,15
47,CHI,OAK,44.0,24.0,42,-2,12,12
48,WAS,PHI,48.0,22.0,43,-3,30,24
49,CIN,KC,44.5,24.0,57,-15,31,1
50,LAC,CLE,45.0,24.0,57,-3,31,17
51,SF,GB,47.5,24.0,20,14,10,10
52,DEN,MIN,44.0,22.0,43,-3,20,6
53,ARI,LA,44.0,23.0,46,2,27,21
54,NO,DAL,47.0,24.0,46,-6,23,11
55,SEA,DET,43.0,21.5,23,-3,10,4
56,TB,JAC,43.5,21.5,69,-7,35,13
57,BAL,CLE,44.0,22.0,63,3,37,23
58,ATL,WAS,47.0,23.5,44,-6,28,22
59,KC,CHI,46.5,20.5,35,1,15,15
60,PHI,NO,48.5,25.0,56,-22,39,7
61,GB,LA,47.5,23.0,34,-14,10,-4
62,CIN,SEA,44.0,21.5,51,-3,31,31
63,DET,ARI,44.0,22.0,59,25,24,24
64,DAL,NE,49.0,24.0,36,24,20,14
65,OAK,DEN,44.0,23.0,26,6,16,16
66,NYG,SF,43.0,23.5,57,-3,38,24
67,LAC,PIT,44.5,23.0,44,4,34,34
68,NO,ATL,51.0,28.0,52,-10,31,11
69,CLE,DEN,42.5,19.5,49,3,36,22
70,BUF,CIN,45.5,22.0,55,13,24,24
71,MIN,KC,44.5,20.5,26,-6,16,10
72,DET,CHI,44.0,24.5,71,-3,34,28
73,NYJ,WAS,41.5,21.0,54,-14,31,-3
74,PIT,ARI,44.5,21.5,38,-12,25,1
75,TEN,MIA,45.5,21.5,48,28,28,14
76,SEA,CAR,41.5,21.0,50,4,33,13
77,GB,LAC,50.0,27.5,47,-7,20,6
78,SF,BAL,43.5,23.0,45,-5,23,17
79,IND,NE,55.0,30.5,61,7,20,20
80,PHI,NYG,49.5,26.5,34,-20,10,-4
81,SF,SEA,41.0,20.5,23,17,6,0
82,JAC,BUF,42.5,21.5,65,-3,25,25
83,LA,CLE,42.5,20.5,30,-18,17,3
84,KC,PIT,44.0,20.0,36,-10,24,10
85,MIA,HOU,43.0,20.0,70,-18,29,29
86,NE,NYJ,49.0,23.5,53,-7,30,24
87,TEN,ATL,48.0,21.5,17,3,7,7
88,WAS,TB,45.5,23.5,61,-1,30,2
89,IND,NO,52.5,27.0,48,6,28,0
90,LAC,OAK,47.0,24.5,66,8,30,30
91,NYG,DAL,45.5,23.5,47,-7,24,4
92,CAR,PHI,47.0,23.5,43,-11,23,9
93,ARI,BAL,49.0,25.0,44,-8,20,8
94,NE,MIA,51.5,24.0,43,-29,24,18
95,KC,DET,45.5,21.0,55,-35,28,14
96,CHI,MIN,41.5,22.5,43,3,23,17
97,ATL,TB,49.0,24.5,43,3,24,10
98,NO,NYG,49.0,28.5,101,-3,52,24
99,LA,SF,40.0,20.0,33,-21,7,7
100,CLE,ARI,46.0,24.0,54,14,24,24
101,PIT,CIN,48.5,24.0,26,6,13,7
102,BAL,LAC,50.0,26.0,55,-3,26,14
103,OAK,NYJ,44.5,21.5,54,-14,27,7
104,DAL,SEA,41.0,21.0,25,1,9,3
