,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
105,DEN,GB,45.0,23.5,39,-19,15,1
106,CAR,IND,45.5,20.5,55,-3,30,16
107,CIN,CLE,47.5,24.0,41,-21,17,11
108,PIT,OAK,47.5,24.5,73,-3,38,38
109,NYJ,JAC,45.0,21.0,51,-5,27,13
110,MIN,LA,40.0,21.0,39,-3,11,-5
111,BUF,MIA,46.0,22.5,50,-16,24,10
112,NO,TEN,48.0,27.5,62,6,18,18
113,NE,WAS,52.0,24.0,37,-17,17,11
114,CAR,GB,46.0,22.0,66,-8,32,26
115,SF,ATL,44.5,23.5,33,-1,3,3
116,TB,NYG,47.5,24.5,50,14,24,18
117,IND,DEN,45.0,23.5,51,-3,27,27
118,DAL,PHI,45.5,22.0,60,6,40,26
119,LAC,CHI,52.0,26.5,41,3,18,18
120,NYJ,BUF,44.5,20.5,39,5,24,10
121,GB,DET,48.0,24.0,34,2,28,28
122,TEN,CAR,42.5,21.5,37,17,13,13
123,LA,CHI,43.0,23.5,50,24,16,10
124,PHI,MIA,47.0,24.0,39,1,10,10
125,PIT,CLE,41.0,21.0,39,-21,15,9
126,BAL,JAC,50.0,23.5,42,2,18,18
127,OAK,MIN,44.0,23.0,44,16,10,10
128,DEN,KC,42.5,21.5,42,16,23,23
129,NYG,NE,54.0,27.5,53,1,26,14
130,SEA,ARI,45.0,23.5,71,7,42,22
131,CIN,HOU,48.0,23.0,16,4,7,7
132,JAC,TEN,44.0,21.5,32,-6,20,14
133,CAR,WAS,46.0,22.0,60,-28,15,-5
134,MIA,DAL,46.5,23.0,38,10,17,3
135,ATL,IND,46.0,23.5,45,3,24,10
136,BAL,LA,42.5,20.5,29,-3,19,19
137,HOU,NYJ,40.5,20.0,41,-7,28,0
138,PHI,TB,45.0,24.0,62,28,20,20
139,ARI,CIN,47.0,24.0,65,-3,44,2
140,SEA,SF,41.5,20.5,42,-16,15,9
141,NE,BUF,49.5,23.5,33,-7,20,0
142,DAL,CAR,47.0,22.0,47,19,21,15
143,GB,CHI,48.0,23.5,30,4,3,3
144,ATL,MIN,44.0,21.5,30,10,20,20
145,CIN,LA,42.5,20.5,38,-24,14,-14
146,IND,TB,47.0,24.0,37,-13,19,-7
147,KC,BUF,42.5,21.5,52,-8,22,2
148,NYJ,MIA,43.5,21.5,58,-18,44,30
149,JAC,LAC,48.5,25.5,56,6,26,20
150,SF,ARI,45.0,21.5,32,6,23,3
151,SEA,PIT,44.0,24.5,69,-9,37,25
152,DEN,NE,44.5,21.0,54,-6,27,27
153,DET,GB,47.0,22.5,50,4,33,27
154,CHI,SF,42.0,21.5,46,6,14,14
155,CLE,CIN,43.5,21.0,40,34,17,17
156,TEN,JAC,43.0,23.5,81,-3,48,48
157,BUF,HOU,42.5,21.0,51,-9,17,17
158,MIA,BAL,43.5,21.0,28,-2,10,10
159,NO,CAR,49.5,25.5,79,3,50,34
160,LA,ARI,44.5,21.0,30,24,20,14
161,LAC,DEN,43.5,23.0,20,14,0,0
162,OAK,KC,44.0,23.0,54,14,33,21
163,NE,PHI,48.0,24.0,63,7,35,35
164,PIT,IND,47.0,26.0,55,-35,24,10
165,ARI,MIN,45.0,24.0,43,-3,23,9
166,PHI,BUF,47.0,24.0,43,-3,16,10
167,CAR,ATL,47.0,20.5,38,-38,10,-10
168,CHI,WAS,44.0,22.0,45,3,24,-4
169,LA,DET,41.5,19.5,35,-7,28,14
170,KC,LAC,46.5,20.0,13,-7,3,3
171,TB,NO,50.5,26.5,41,7,14,14
172,NYJ,TEN,43.5,20.0,38,-22,11,11
173,HOU,NE,44.5,23.5,33,21,10,10
174,DEN,OAK,44.0,20.5,27,3,15,15
175,GB,DAL,43.5,21.0,35,-21,21,21
176,BAL,SEA,42.0,21.0,41,29,21,21
177,LA,TB,42.0,21.0,54,-8,30,16
178,DAL,NYJ,42.0,21.0,35,3,16,10
179,MIN,CHI,43.0,21.5,55,-21,31,17
180,JAC,ATL,47.0,24.0,40,6,20,-8
181,BAL,KC,43.0,21.5,48,20,10,10
182,WAS,BUF,44.0,21.5,60,-10,39,25
183,NE,TEN,46.5,20.5,49,-17,22,16
184,NYG,CAR,47.5,22.5,73,3,45,31
185,SEA,CLE,42.5,23.0,43,-17,13,13
186,OAK,GB,46.0,23.0,50,10,23,9
187,LAC,MIA,45.5,21.5,44,-16,21,21
188,PIT,DEN,45.0,24.5,61,-7,21,7
189,SF,CIN,42.0,19.5,38,10,17,3
190,NO,DET,50.0,26.5,62,8,38,24
191,OAK,LAC,47.0,22.5,43,-3,13,9
192,PHI,WAS,48.5,24.5,62,14,36,22
193,MIN,NYG,45.5,21.5,66,-32,44,18
194,TB,CHI,46.5,21.5,47,5,27,13
195,ATL,CAR,47.5,22.5,33,-7,19,5
196,BUF,DAL,44.0,21.5,22,-10,10,4
197,NO,JAC,51.5,26.0,65,-11,35,21
198,DET,SF,43.0,23.5,49,-15,12,6
199,KC,CLE,44.0,20.0,30,-4,10,10
200,MIA,IND,44.0,21.5,30,6,9,3
201,NYJ,NE,46.5,22.0,46,-6,27,13
202,TEN,HOU,42.0,17.5,40,28,23,23
203,ARI,GB,49.5,24.5,46,-30,29,-13
204,SEA,LA,41.0,21.5,40,6,21,7
205,BAL,PIT,47.0,24.5,37,-3,21,21
206,DEN,CIN,42.0,20.0,37,-3,17,3
207,CAR,TB,47.0,20.5,48,-28,21,7
208,MIA,NE,47.5,23.5,30,-10,17,17
209,CIN,BAL,43.0,20.5,40,-8,24,-4
210,ATL,NO,52.0,28.0,37,3,6,6
211,HOU,JAC,46.0,21.5,36,-24,13,13
212,CLE,PIT,47.5,23.5,40,16,17,17
213,KC,OAK,45.0,21.5,40,-6,16,-2
214,IND,TEN,41.0,21.0,54,-6,20,6
215,DAL,WAS,40.0,20.5,57,11,19,19
216,CHI,DET,46.5,21.5,44,4,34,14
217,NYG,PHI,52.0,28.0,65,5,24,10
218,GB,MIN,48.5,22.0,33,7,24,24
219,DEN,LAC,41.0,21.5,47,-7,34,20
220,SF,LA,37.0,20.5,35,-3,6,0
221,ARI,SEA,48.0,21.0,42,30,6,6
222,HOU,KC,40.5,20.0,30,30,17,17
223,MIN,SEA,42.5,19.5,19,1,16,4
224,NE,KC,45.5,23.5,47,-7,27,13
225,ARI,GB,50.0,24.0,46,-6,27,21
226,CAR,SEA,44.0,21.0,55,-7,24,24
227,DEN,PIT,40.0,22.0,39,-7,20,14
228,DEN,NE,44.0,22.5,38,-2,12,12
229,CAR,ARI,47.0,24.0,64,-34,33,13
230,DEN,CAR,45.0,22.5,34,-14,14,8
