,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
50,DET,LA,42.0,20.5,50,-38,20,6
51,CLE,ATL,41.5,20.0,30,10,17,11
52,CIN,TB,38.5,19.0,45,3,28,22
53,CAR,CHI,36.0,16.0,29,17,9,3
54,HOU,NYG,48.0,22.5,44,24,17,3
55,ARI,NO,46.5,22.5,50,-10,27,21
56,OAK,LAC,44.5,22.0,62,-8,30,16
57,DAL,TEN,42.0,21.5,61,7,34,20
58,SF,PHI,38.0,20.0,51,3,24,24
59,NYJ,MIN,37.0,17.0,49,-9,40,28
60,LA,LAC,44.0,22.0,37,-3,17,17
61,HOU,KC,44.0,21.5,66,-4,45,31
62,NE,BAL,46.0,21.5,43,-3,23,17
63,TB,NO,46.0,20.5,37,25,20,20
64,PHI,ATL,41.5,21.0,48,-14,20,6
65,NYG,DET,44.5,21.5,48,-8,24,10
66,CHI,SEA,37.0,19.0,43,3,16,16
67,GB,MIA,44.0,21.5,43,3,20,20
68,PIT,CLE,40.0,17.5,38,-18,28,14
69,DEN,NYJ,40.0,21.0,44,4,27,13
70,SF,OAK,40.5,19.0,26,-8,17,3
71,MIN,DAL,44.0,21.5,45,-3,24,-4
72,MIA,PIT,40.0,20.5,45,1,12,6
73,KC,JAC,37.5,19.5,62,-22,35,7
74,TEN,PHI,43.0,20.0,56,-18,36,30
75,NO,CLE,44.0,21.5,47,13,24,24
76,BAL,BUF,37.0,20.5,71,-3,24,-4
77,CAR,SF,34.5,18.0,43,-3,23,17
78,TB,LA,38.0,19.5,35,-1,12,0
79,SEA,ARI,41.0,17.5,32,-12,22,4
80,LAC,NE,48.0,24.0,43,3,27,27
81,DEN,OAK,42.5,19.5,73,45,28,14
82,GB,MIN,44.0,24.0,52,-4,21,-7
83,DAL,NYG,44.5,20.5,76,6,32,32
84,DAL,JAC,45.0,21.5,52,18,35,35
85,DET,WAS,44.5,21.5,62,-12,42,28
86,NYJ,GB,42.0,20.0,9,9,6,6
87,CIN,MIA,44.0,21.5,36,8,10,10
88,KC,BUF,43.0,21.0,23,-3,13,13
89,LAC,TEN,43.5,23.0,58,-8,25,5
90,ARI,TB,40.0,20.0,73,3,35,7
91,NE,MIN,44.0,21.5,46,-10,32,4
92,BUF,CHI,40.5,20.5,41,3,27,15
93,HOU,LAC,49.5,26.0,52,6,18,12
94,CAR,NO,41.0,19.5,37,31,17,17
95,MIN,ARI,41.0,21.5,51,-3,24,24
96,ATL,TB,45.0,22.5,48,-6,17,-3
97,DET,NYJ,43.0,20.5,43,3,23,11
98,BAL,MIA,40.0,20.5,36,-16,13,-1
99,CLE,NE,44.0,21.5,48,-20,24,10
100,OAK,KC,41.5,20.0,43,-3,30,2
101,PHI,IND,47.0,24.0,50,-2,17,11
102,GB,DAL,44.0,21.0,52,-38,17,3
103,ATL,BAL,43.0,21.0,47,-5,37,31
104,IND,CIN,47.5,23.0,40,-6,10,10
105,JAC,HOU,50.0,23.5,55,-7,35,35
106,MIA,TEN,41.5,21.0,46,-12,26,6
107,CHI,MIN,38.0,20.5,40,-14,16,4
108,BUF,DET,42.5,21.0,26,-2,16,2
109,CLE,NYJ,36.5,18.5,46,6,10,10
110,TB,CAR,35.0,17.5,47,-15,16,16
111,DEN,KC,42.0,21.0,78,-20,33,19
112,SF,LA,38.0,19.5,43,-3,20,20
113,ARI,SEA,41.0,20.5,54,18,27,27
114,NYG,DAL,44.5,22.5,53,13,28,0
115,PIT,NE,45.0,21.5,65,13,52,52
116,WAS,PHI,41.5,21.5,87,31,28,14
117,MIA,CHI,39.5,17.5,16,16,10,10
118,PIT,OAK,41.5,19.5,38,-32,14,14
119,NYJ,HOU,44.5,22.0,57,-3,37,23
120,CAR,BAL,37.0,17.5,50,24,30,24
121,TEN,WAS,43.0,22.0,35,3,12,6
122,DAL,DET,46.0,23.0,54,-16,37,9
123,KC,ARI,42.0,21.5,44,-18,27,13
124,NO,SEA,44.0,23.5,53,-15,10,-4
125,LA,ATL,43.0,21.5,51,17,25,11
126,SF,TB,40.5,19.5,21,21,14,14
127,NE,IND,51.0,26.0,59,-3,24,10
128,LAC,DEN,47.0,24.0,49,-21,21,7
129,DET,NE,51.0,25.0,69,21,42,28
130,NYJ,CIN,43.5,21.0,36,-16,26,-2
131,WAS,MIN,43.0,21.0,30,4,16,16
132,BUF,PIT,42.0,20.0,35,3,19,5
133,NYG,JAC,45.5,21.5,44,-4,21,15
134,CLE,CAR,37.5,19.0,47,-1,13,13
135,BAL,TB,42.0,20.0,27,-7,7,7
136,CHI,PHI,41.5,21.5,57,-5,23,3
137,OAK,MIA,38.0,19.5,50,16,23,23
138,SEA,KC,43.0,21.5,66,18,35,21
139,DEN,LA,44.0,23.5,69,3,30,30
140,IND,LAC,51.5,24.5,50,22,20,20
141,PHI,HOU,49.5,24.0,58,-10,28,28
142,MIA,CLE,43.0,20.5,23,3,17,17
143,TEN,JAC,43.5,21.0,23,11,6,0
144,KC,DEN,47.0,23.5,16,-4,3,3
145,NYG,WAS,45.5,19.5,38,-24,17,3
146,DET,CHI,43.5,21.0,44,4,13,7
147,GB,SF,41.5,20.5,50,-18,23,-5
148,CIN,NO,47.0,21.5,64,4,45,33
149,TB,ATL,45.0,21.5,52,4,24,18
150,LAC,OAK,46.5,23.0,41,15,17,11
151,SEA,CAR,40.0,20.0,45,-17,28,-14
152,IND,DAL,48.0,24.0,73,3,46,32
153,ARI,LA,42.0,21.0,25,13,10,10
154,NE,NYJ,47.0,21.0,48,-42,21,7
155,JAC,OAK,43.0,21.0,69,-7,45,3
156,PIT,CIN,40.5,19.5,30,-16,13,7
157,CAR,ATL,42.0,20.0,41,21,24,10
158,NO,LA,45.5,21.0,44,-18,17,3
159,NYJ,MIA,41.0,17.5,16,4,3,3
160,ARI,DEN,43.0,21.0,56,-30,37,31
161,LAC,KC,47.0,20.5,31,-31,10,10
162,DAL,PHI,49.5,24.0,57,3,33,13
163,MIN,NYG,43.0,20.5,24,18,7,7
164,LAC,SF,44.0,21.0,41,-27,24,10
165,LA,KC,43.5,21.0,40,14,20,20
166,TEN,HOU,47.5,21.5,48,-14,21,7
167,MIA,BUF,41.0,20.0,31,3,14,14
168,NYG,PHI,46.0,21.0,69,7,42,42
169,DAL,WAS,45.0,21.0,63,-3,36,16
170,BAL,NO,43.5,23.0,54,-6,19,13
171,SEA,ATL,45.5,21.5,52,16,25,25
172,PIT,NYJ,36.0,17.5,39,5,19,5
173,OAK,DEN,44.0,21.0,62,-16,28,16
174,NE,GB,43.5,23.0,58,-4,27,13
175,MIN,CHI,33.0,16.5,54,26,30,16
176,PIT,CAR,37.0,17.5,30,-24,10,-4
177,ARI,DAL,45.0,22.5,53,-1,22,22
178,JAC,WAS,45.0,22.5,37,3,17,11
179,LA,SF,39.5,20.0,42,-8,16,10
180,TB,SEA,42.5,20.5,53,-23,29,1
181,BUF,NE,45.5,21.0,37,31,10,10
182,CHI,NYJ,36.5,20.0,72,-4,31,-11
183,CLE,BAL,39.0,20.0,30,10,7,7
184,KC,TEN,41.5,20.0,48,-20,10,4
185,GB,NYG,43.0,23.0,62,-28,27,7
186,CIN,LAC,44.5,23.0,54,-14,38,38
187,ATL,NO,47.5,24.5,31,3,14,14
188,PHI,MIN,38.0,21.0,38,10,24,24
189,KC,OAK,43.5,20.0,41,21,28,14
190,NE,MIA,42.5,17.5,45,-31,21,-7
191,IND,TEN,47.0,22.5,43,-3,24,10
192,HOU,JAC,49.5,23.5,51,-17,14,0
193,CLE,PIT,38.0,17.0,50,32,16,16
194,BAL,CIN,43.5,20.5,20,-6,14,0
195,WAS,NYG,45.5,21.0,31,3,14,14
196,GB,CHI,41.5,20.5,13,-7,10,4
197,PHI,DAL,42.0,19.5,27,1,13,13
198,NYJ,BUF,41.0,16.5,45,-31,28,14
199,ATL,CAR,41.0,18.5,41,-21,20,0
200,NO,TB,48.0,22.0,36,10,19,13
201,SEA,LA,42.0,20.5,22,-10,12,6
202,SF,ARI,38.0,19.0,45,-31,28,-14
203,DEN,LAC,47.5,21.5,61,5,38,24
204,SEA,NO,45.5,24.0,77,-5,33,13
205,PHI,GB,46.0,23.5,37,5,20,6
206,PIT,BAL,36.5,20.0,55,-7,27,-1
207,ATL,GB,45.5,23.0,69,27,27,27
208,CHI,SEA,40.0,19.0,59,-11,38,24
209,NE,NYJ,45.5,23.0,49,7,32,16
210,CHI,GB,44.0,21.0,35,7,21,21
211,GB,PIT,45.0,23.5,56,-6,25,25
