,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,NO,MIN,51.5,24.0,23,-5,7,-7
1,NYG,CAR,40.0,20.5,49,-13,19,-1
2,CHI,DET,42.5,21.5,33,-5,6,6
3,NE,CIN,44.0,21.0,62,-14,35,21
4,TB,CLE,36.5,17.5,31,-3,7,7
5,JAC,DEN,41.5,20.5,41,-7,27,7
6,HOU,IND,47.0,23.5,58,-10,35,21
7,SEA,SF,38.0,18.0,37,-25,17,-11
8,LA,ARI,41.5,20.0,30,4,10,4
9,WAS,DAL,43.0,19.5,20,-6,10,10
10,KC,LAC,45.0,21.0,35,-7,7,7
11,CLE,KC,38.5,17.5,30,2,6,6
12,GB,BUF,43.5,21.0,41,-27,21,-7
13,CIN,BAL,38.5,17.0,25,-5,19,13
14,TEN,PIT,38.5,17.0,30,8,14,14
15,DET,PHI,41.0,21.0,67,3,29,29
16,DAL,CHI,41.0,21.0,47,7,13,7
17,CAR,TB,39.0,19.5,27,13,6,6
18,MIN,MIA,41.0,20.0,24,4,17,3
19,OAK,LA,38.5,17.0,30,-2,20,0
20,WAS,HOU,44.5,21.5,57,3,27,13
21,LAC,JAC,45.5,21.5,51,-25,24,18
22,NYJ,NE,39.0,20.0,42,-14,18,-4
23,IND,NYG,47.5,21.0,52,-24,28,14
24,SF,NO,44.5,20.5,47,3,31,17
25,NYG,TEN,43.0,21.0,39,19,19,19
26,NE,BUF,43.0,21.5,68,-8,35,7
27,BAL,CLE,38.0,18.5,41,-7,17,17
28,CAR,CIN,40.0,17.0,27,13,17,3
29,NO,ATL,50.0,24.5,51,3,20,6
30,MIN,DET,42.0,21.0,34,-14,10,-10
31,HOU,DAL,46.5,21.5,40,14,27,27
32,LA,WAS,38.0,20.5,46,-14,19,5
33,DEN,IND,48.0,21.5,40,14,24,4
34,SEA,LAC,45.0,21.5,47,-7,37,23
35,ARI,OAK,40.0,20.0,47,-1,10,-4
36,MIA,NYJ,35.0,18.5,54,8,30,10
37,TEN,DEN,41.5,21.5,46,6,26,6
38,GB,DET,45.5,23.0,54,-2,19,5
39,NO,CAR,45.0,21.0,30,-2,13,7
40,ATL,SF,42.0,21.0,30,-2,6,0
41,LA,SEA,38.0,18.0,23,-17,10,-4
42,BUF,NYJ,36.5,17.0,52,24,28,28
43,JAC,IND,46.5,23.0,59,-3,31,17
44,OAK,HOU,44.0,22.5,55,7,27,27
45,LAC,ARI,46.0,21.0,51,-31,16,-4
46,PHI,WAS,43.0,21.5,29,5,6,6
47,NYG,CHI,42.5,19.0,20,-14,17,3
48,BAL,DEN,39.0,19.0,48,-14,24,24
49,IND,KC,44.0,21.5,28,-10,19,13
