,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
122,SF,LA,38.0,17.5,48,0,27,27
123,CHI,HOU,43.0,17.5,19,7,6,0
124,PIT,KC,43.0,19.0,29,-3,6,6
125,WAS,PHI,46.0,21.5,37,-25,17,3
126,DET,GB,51.0,26.5,44,4,27,13
127,ATL,ARI,45.5,21.5,42,-4,10,10
128,CAR,TB,47.5,23.5,48,6,18,18
129,DAL,CLE,43.5,21.0,43,-3,27,21
130,LA,NYJ,38.0,19.5,40,14,20,20
131,NE,IND,53.5,27.5,83,-35,42,14
132,HOU,JAX,42.5,21.0,80,-6,34,28
133,OAK,NO,54.0,27.0,55,21,27,21
134,DEN,LAC,50.5,21.5,53,-7,29,15
135,SF,CHI,36.0,17.0,39,-25,19,5
136,DET,HOU,49.0,26.0,65,3,27,21
137,DAL,WAS,46.0,23.0,69,7,38,18
138,CIN,OAK,48.0,21.5,44,-24,20,20
139,IND,BUG,52.0,24.5,33,-7,14,0
140,KC,DEN,44.0,21.5,26,8,13,7
141,JAX,TEN,43.5,22.5,43,-5,30,16
142,CHI,MIN,38.0,17.5,38,-18,10,4
143,MIA,SEA,38.0,18.0,45,-3,31,31
144,LAC,BAL,47.0,21.5,29,3,16,16
145,NO,SF,48.5,24.5,52,10,24,10
146,NYG,GB,49.0,24.5,48,-28,7,-7
147,PHI,CAR,41.0,21.0,52,8,23,9
148,ATL,NO,55.5,27.5,36,-10,12,12
149,CHI,SEA,37.5,19.5,40,6,17,3
150,GB,MIN,47.0,23.5,37,-9,13,-7
151,LA,SF,41.0,19.5,29,-3,19,15
152,NYJ,ARI,38.0,17.0,13,-1,10,10
153,KC,CAR,41.5,21.5,48,-6,17,3
154,DET,IND,51.0,25.5,68,2,31,17
155,BUG,JAX,45.5,20.5,52,-16,25,5
156,MIA,NE,51.0,25.0,39,7,12,12
157,TEN,HOU,48.0,23.0,34,14,10,-4
158,DEN,TB,51.5,24.0,54,-8,37,-5
159,BAL,PIT,35.0,18.5,43,3,24,10
160,DAL,PHI,43.0,24.0,71,-5,44,30
161,OAK,DEN,50.5,24.0,39,13,19,19
162,CLE,KC,37.0,18.5,37,-23,20,0
163,PIT,LAC,42.0,18.5,58,10,42,28
164,IND,TEN,48.5,23.0,50,-4,23,-5
165,JAX,NYJ,39.5,17.0,27,7,24,24
166,MIN,CHI,40.5,20.0,35,-7,14,0
167,CAR,ATL,47.0,21.5,50,-10,34,20
168,TB,PHI,45.5,22.5,44,2,34,20
169,BUG,LA,42.5,20.5,27,3,21,9
170,CIN,DAL,45.5,23.0,39,1,16,4
171,SF,MIA,40.0,18.0,40,-14,31,17
172,NYG,NO,53.5,26.5,79,-25,45,17
173,SEA,ARI,35.0,17.0,58,-58,20,-6
174,GB,DET,52.5,24.5,47,-7,23,9
175,PHI,CIN,46.0,22.0,47,21,24,24
176,ATL,NYG,52.0,23.0,34,-34,17,-3
177,LA,MIN,38.5,18.0,58,14,21,21
178,CLE,WAS,38.5,20.0,59,17,35,35
179,MIA,JAX,37.5,19.0,27,-21,14,2
180,BAL,DEN,48.0,21.5,51,17,34,28
181,HOU,IND,49.0,23.0,46,-12,16,10
182,LAC,CAR,46.0,20.5,38,24,14,14
183,BUG,SEA,43.0,23.0,67,33,19,19
184,ARI,DET,43.0,21.5,48,-28,20,14
185,OAK,KC,43.0,20.5,15,-15,6,0
186,NE,SF,49.0,23.5,75,7,55,41
187,TEN,NYJ,42.0,19.0,24,-4,14,0
188,GB,TEN,47.0,19.5,62,-48,42,14
189,CAR,OAK,45.5,20.5,23,-11,6,6
190,MIA,BUG,43.0,20.5,34,-14,17,-3
191,PIT,CIN,43.0,20.0,23,3,6,0
192,JAX,NE,49.0,26.5,39,7,13,13
193,DAL,NO,51.5,27.5,65,3,31,25
