,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
81,BAL,ATL,49.5,22.5,36,-22,19,13
82,BUF,MIN,44.5,22.5,33,-1,10,10
83,DET,NO,50.0,23.0,47,-1,34,20
84,DAL,NYG,48.5,24.0,52,-10,24,10
85,OAK,ARI,44.0,23.5,37,11,13,7
86,DEN,SF,49.5,25.0,59,-25,28,-14
87,PIT,HOU,44.0,23.5,53,-7,16,16
88,DEN,LAC,51.0,26.5,56,-14,35,7
89,ATL,DET,47.0,22.5,43,1,22,22
90,KC,LA,43.0,21.5,41,-27,24,4
91,CAR,SEA,44.5,22.5,22,4,13,13
92,NYJ,BUF,41.0,20.5,66,20,25,25
93,JAC,MIA,43.5,20.5,40,14,27,21
94,TEN,HOU,43.5,21.0,46,14,30,18
95,CIN,BAL,46.0,21.5,51,-3,38,18
96,ARI,PHI,48.0,24.5,44,-4,30,16
97,PIT,IND,48.5,27.5,85,-17,30,16
98,CLE,OAK,43.0,22.0,36,-10,21,21
99,DAL,WAS,51.0,24.0,37,3,24,18
100,CIN,JAC,43.0,21.0,56,-10,41,27
101,CLE,TB,44.5,21.5,39,-5,20,6
102,KC,NYJ,41.5,21.0,34,-14,3,-3
103,SF,LA,44.0,21.5,23,3,3,3
104,NE,DEN,54.0,27.5,64,-22,30,10
105,SEA,OAK,41.5,20.5,54,-6,27,27
106,NYG,IND,49.5,26.5,64,16,45,31
107,CIN,CLE,44.0,23.5,27,21,7,7
108,JAC,DAL,45.5,21.5,48,14,17,17
109,DET,MIA,42.5,21.5,36,-4,23,23
110,BUF,KC,43.0,21.0,30,4,17,11
111,NO,SF,49.0,24.5,51,3,17,3
112,BAL,TEN,44.0,22.0,28,-14,14,0
113,NYJ,PIT,45.5,24.0,33,-7,13,7
114,TB,ATL,44.5,24.0,44,10,21,21
115,OAK,DEN,49.0,24.5,58,24,28,28
116,ARI,LA,43.0,23.0,45,-17,21,21
117,SEA,NYG,45.0,23.5,55,-21,24,18
118,GB,CHI,52.0,24.0,69,-41,27,15
119,PHI,CAR,48.0,23.5,66,-24,28,14
120,MIA,BUF,42.0,21.0,31,-13,22,4
121,CLE,HOU,42.0,21.5,30,16,9,9
122,CHI,MIN,47.0,23.0,34,-8,10,10
123,NO,CIN,50.5,27.0,37,17,21,21
124,WAS,TB,46.0,22.5,34,20,14,14
125,LA,DEN,50.5,26.0,29,-15,9,3
126,NYG,SF,43.5,21.5,26,6,10,4
127,LAC,OAK,44.0,21.5,19,-7,6,0
128,ARI,DET,41.5,21.0,20,-8,0,0
129,IND,NE,56.0,29.0,62,22,38,32
130,TEN,PIT,47.0,24.0,51,3,21,7
131,OAK,KC,43.5,20.0,44,-4,27,21
132,ATL,CLE,46.5,24.0,50,2,23,23
133,PHI,TEN,48.5,26.5,67,-19,23,9
134,NE,DET,48.0,23.5,43,-25,13,7
135,MIN,GB,48.0,24.5,45,3,21,15
136,IND,JAC,50.0,23.0,26,-20,17,-11
137,HOU,CIN,44.0,21.5,35,9,23,3
138,CHI,TB,48.0,22.0,34,-8,24,-18
139,SEA,ARI,42.0,20.5,22,-16,10,-10
140,LAC,LA,44.5,22.0,51,-3,35,7
141,DEN,MIA,49.0,26.5,75,-3,37,37
142,SF,WAS,44.5,21.5,30,-4,13,13
143,NYG,DAL,47.5,26.0,59,3,28,28
144,BUF,NYJ,41.5,20.5,41,-35,24,-10
145,DET,CHI,46.5,24.0,51,-17,13,13
146,DAL,PHI,54.0,29.5,43,23,13,7
147,IND,WAS,51.0,21.5,76,-22,45,3
148,HOU,TEN,43.0,20.0,66,-24,42,28
149,BUF,CLE,41.0,20.5,36,-16,33,5
150,BAL,LAC,46.0,22.5,67,1,41,27
151,JAC,NYG,44.0,21.0,49,-1,25,-1
152,TB,CIN,44.0,21.0,27,1,10,10
153,LA,OAK,43.0,20.0,52,-52,14,14
154,PIT,NO,53.0,27.0,67,3,47,33
155,MIN,CAR,41.0,19.5,44,-18,10,10
156,ATL,ARI,45.0,23.5,47,-11,17,11
157,GB,NE,57.0,30.5,47,-5,10,10
158,NYJ,MIA,41.5,20.5,29,3,16,10
159,CHI,DAL,50.0,24.5,69,13,48,48
160,MIA,BAL,45.0,22.5,41,15,24,24
161,CLE,IND,50.0,26.0,49,1,28,14
162,JAC,HOU,42.0,21.0,40,14,17,17
163,NO,CAR,48.0,26.0,51,31,24,24
164,DET,TB,41.5,21.5,51,-17,24,4
165,WAS,LA,44.0,21.5,24,24,18,18
166,MIN,NYJ,40.0,21.0,54,-6,12,12
167,DEN,BUF,48.5,23.5,41,-7,24,4
168,OAK,SF,41.0,20.5,37,-11,17,3
169,LAC,NE,50.5,28.0,37,9,10,10
170,GB,ATL,56.0,24.5,80,-6,42,36
171,LA,ARI,41.0,20.0,18,6,9,9
172,KC,OAK,41.5,20.0,44,-18,31,-11
173,BAL,JAC,45.5,22.5,32,-8,10,-4
174,ATL,PIT,54.5,27.5,47,7,20,8
175,IND,HOU,50.0,23.0,27,-7,6,6
176,NE,MIA,49.0,24.5,54,-28,27,-21
177,CAR,TB,43.5,20.0,36,-2,17,3
178,NYG,WAS,48.0,23.0,37,-11,20,0
179,BUF,GB,50.0,24.0,34,-8,14,2
180,DET,MIN,44.0,22.5,30,-2,6,0
181,TEN,NYJ,42.0,19.5,27,5,19,7
182,SEA,SF,38.5,19.5,24,-10,14,0
183,PHI,DAL,55.5,27.5,65,11,34,6
184,CHI,NO,54.0,24.5,46,16,32,32
185,JAC,TEN,40.5,20.0,34,-8,17,3
186,SF,LAC,42.5,21.0,73,3,35,21
187,WAS,PHI,50.5,26.5,51,-3,27,-1
188,MIA,MIN,42.0,21.5,72,-2,48,34
189,TB,GB,50.5,23.0,23,17,10,10
190,CHI,DET,46.0,21.5,34,6,20,6
191,NO,ATL,55.0,27.5,44,16,24,24
192,NYJ,NE,47.5,23.0,33,1,16,10
193,CAR,CLE,41.5,19.0,30,-4,17,17
194,HOU,BAL,41.5,21.0,38,-12,22,16
195,LA,NYG,45.5,23.0,64,10,31,17
196,OAK,BUF,39.5,21.0,50,-2,27,15
197,DAL,IND,55.5,24.0,49,-35,21,7
198,ARI,SEA,37.0,19.0,41,29,24,18
199,CIN,DEN,48.5,24.0,65,-9,38,24
200,GB,DET,47.5,21.0,50,-10,29,15
201,HOU,JAC,40.5,19.5,40,-6,16,16
202,BAL,CLE,42.0,20.0,30,-10,24,24
203,NE,BUF,44.0,21.0,26,8,3,-3
204,MIA,NYJ,42.0,21.5,61,13,30,16
205,ATL,CAR,48.0,22.5,37,31,10,10
206,MIN,CHI,43.5,21.5,22,-4,16,2
207,WAS,DAL,49.5,23.0,61,27,24,24
208,TB,NO,47.0,23.0,43,3,16,16
209,SEA,LA,41.0,20.0,26,-14,20,8
210,SF,ARI,37.0,20.5,37,-3,7,-7
211,DEN,OAK,48.0,23.0,61,-33,34,14
212,PIT,BAL,46.5,24.5,47,13,28,28
213,CAR,ARI,38.0,19.5,43,-11,16,-12
214,DAL,DET,48.0,26.5,44,-4,20,6
215,IND,CIN,50.0,24.5,36,-16,13,-7
216,NE,BAL,49.0,26.0,66,-4,31,3
217,SEA,CAR,40.5,21.0,48,-14,24,24
218,GB,DAL,53.0,24.5,47,-5,23,3
219,DEN,IND,53.0,27.5,37,11,13,13
220,SEA,GB,46.5,23.0,50,-6,28,14
221,NE,IND,53.0,27.0,52,-38,28,-14
