,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,SEA,GB,45.0,24.0,52,-20,25,15
1,LA,MIN,45.0,20.0,40,28,27,21
2,PHI,JAC,51.5,24.5,51,-17,34,6
3,NYJ,OAK,39.5,20.0,33,-5,16,10
4,BAL,CIN,43.0,21.0,39,7,24,10
5,CHI,BUF,48.5,23.5,43,3,16,-4
6,KC,TEN,44.0,21.5,36,16,23,23
7,TB,CAR,39.5,19.5,34,6,24,24
8,DAL,SF,48.0,23.5,45,11,14,0
9,DEN,IND,55.0,24.5,55,-7,24,24
10,DET,NYG,45.5,23.5,49,-21,28,2
11,ARI,LAC,44.0,21.5,35,-1,26,26
12,BAL,PIT,43.5,21.5,32,-20,19,5
13,CAR,DET,43.5,21.0,31,-17,25,11
14,BUF,MIA,44.5,20.5,39,-19,30,2
15,TEN,DAL,47.5,23.0,36,16,20,0
16,NYG,ARI,45.5,20.5,39,11,22,8
17,CLE,NO,47.5,24.5,50,-2,24,10
18,CIN,ATL,48.0,23.5,34,-14,21,-7
19,TB,LA,38.0,17.5,36,2,19,5
20,LAC,SEA,45.0,23.5,51,-9,17,3
21,OAK,HOU,40.0,20.0,44,16,27,27
22,GB,NYJ,46.0,24.5,55,-7,18,-12
23,DEN,KC,52.0,23.5,41,-7,10,10
24,SF,CHI,48.0,23.0,48,8,24,18
25,IND,PHI,52.5,27.5,57,3,34,28
26,ATL,TB,45.0,20.5,70,-42,35,-7
27,BUF,LAC,44.5,21.0,32,12,16,2
28,LA,DAL,45.0,21.5,65,3,34,34
29,PHI,WAS,50.0,27.0,71,-3,30,18
30,NO,MIN,51.0,23.5,29,-11,10,10
31,CIN,TEN,43.5,20.5,40,-26,21,7
32,DET,GB,52.0,24.5,26,-12,7,7
33,JAC,IND,46.0,20.5,61,27,31,25
34,NE,OAK,47.0,22.0,25,-7,12,12
35,SEA,DEN,49.0,23.5,46,-6,20,20
36,MIA,KC,41.5,21.5,49,19,32,8
37,CAR,PIT,40.0,21.0,56,18,44,38
38,WAS,NYG,44.5,23.0,59,31,28,14
39,OAK,MIA,40.0,20.0,52,24,21,21
40,HOU,BUF,42.0,21.5,40,-6,23,3
41,IND,TEN,45.5,21.5,58,-24,28,0
42,BAL,CAR,39.0,20.5,48,-28,20,6
43,NYJ,DET,44.5,20.5,41,7,21,7
44,PIT,TB,43.5,21.0,51,3,24,10
45,LAC,JAC,44.5,23.5,47,-19,16,-4
46,SF,PHI,51.0,24.5,47,-5,13,-7
47,MIN,ATL,47.0,24.0,69,-13,31,25
48,DAL,NO,52.5,27.0,55,-21,31,17
49,KC,NE,45.0,23.5,55,-27,38,18
50,GB,MIN,49.0,21.0,52,-32,24,-4
51,CAR,CHI,45.5,23.5,55,-7,20,6
52,TEN,CLE,44.5,22.0,57,1,19,19
53,NYG,ATL,49.0,26.0,50,-10,27,13
54,NO,TB,49.0,24.0,68,-6,39,25
55,DAL,HOU,46.0,22.0,37,-3,31,17
56,JAC,PIT,45.5,23.0,26,8,10,4
57,DEN,ARI,49.5,24.5,61,-21,27,21
58,SF,KC,44.5,21.5,39,-5,16,10
59,LAC,NYJ,43.5,21.0,31,-31,10,-4
60,WAS,SEA,45.5,23.0,44,10,20,14
61,HOU,IND,45.0,24.0,61,5,20,6
62,NYJ,DEN,46.5,23.0,48,14,24,18
63,TEN,JAC,43.0,21.0,30,-2,13,7
64,ATL,CHI,54.0,27.5,40,14,24,4
65,MIA,GB,48.5,21.5,51,3,38,24
66,MIN,DET,43.0,20.0,20,14,10,10
67,CIN,CAR,43.5,21.5,74,0,41,41
68,BUF,NE,45.0,21.5,59,15,39,25
69,TB,BAL,42.5,20.0,65,31,27,7
70,OAK,LAC,42.5,22.5,59,3,31,17
71,SEA,DAL,47.5,24.0,53,7,26,6
72,ARI,WAS,45.0,24.0,50,-10,23,17
73,PHI,NYG,51.0,24.5,27,-27,7,-7
74,LA,SF,43.5,23.5,48,14,24,24
75,NE,NYJ,47.0,23.5,52,-2,23,17
76,WAS,TEN,46.0,22.5,36,-2,20,6
77,CHI,MIA,48.5,23.5,41,13,27,13
78,JAC,CLE,45.0,22.5,30,-18,17,11
79,LA,SEA,45.0,23.0,54,-2,27,27
80,GB,CAR,48.5,22.0,55,-21,24,4
