,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,NE,KC,48.0,25.5,69,15,38,18
1,BUG,NYJ,43.0,21.0,33,-9,20,6
2,CHI,ATL,50.5,24.0,40,6,20,20
3,HOU,JAX,42.0,19.5,36,22,17,3
4,WAS,PHI,48.5,24.5,47,13,17,11
5,DET,ARI,48.0,24.0,58,-12,39,27
6,TEN,OAK,51.5,26.5,42,10,19,13
7,CIN,BAL,42.5,20.5,20,20,3,3
8,CLE,PIT,47.5,21.5,39,3,18,12
9,LA,IND,47.0,20.0,55,-37,25,5
10,GB,SEA,49.0,24.0,26,-8,23,-5
11,SF,CAR,48.0,21.5,26,20,13,7
12,DAL,NYG,49.0,23.0,22,-16,6,6
13,MIN,NO,47.5,24.0,48,-10,26,20
14,DEN,LAC,44.0,20.5,45,-3,24,4
15,CIN,HOU,38.5,19.5,22,4,6,0
16,BAL,CLE,41.0,19.5,34,-14,6,6
17,CAR,BUG,42.5,20.5,12,-6,6,6
18,NO,NE,54.0,28.0,56,16,13,13
19,IND,ARI,44.5,22.5,29,3,13,13
20,KC,PHI,47.5,22.0,47,-7,38,24
21,PIT,MIN,45.5,20.5,35,-17,18,6
22,TB,CHI,43.0,21.0,36,-22,10,10
23,LAC,MIA,45.5,23.0,36,2,23,9
24,OAK,NYJ,43.5,22.5,65,-25,34,20
25,LA,WAS,46.0,23.5,47,7,17,3
26,DEN,DAL,42.5,23.0,59,-25,28,0
27,SEA,SF,43.5,20.5,21,-3,9,9
28,ATL,GB,53.5,27.5,57,-11,26,6
29,NYG,DET,43.5,21.5,34,14,10,4
30,SF,LA,42.0,21.0,80,2,43,29
31,JAX,BAL,40.5,19.5,51,-37,28,0
32,IND,CLE,41.0,22.5,59,-3,17,17
33,CHI,PIT,46.0,23.5,40,-6,10,10
34,NYJ,MIA,41.0,20.5,26,-14,16,-4
35,BUG,DEN,41.0,20.5,42,-10,16,2
36,NE,HOU,44.0,24.0,69,-3,28,14
37,CAR,NO,49.0,23.5,47,21,24,10
38,MIN,TB,40.5,21.0,51,-17,27,7
39,GB,CIN,45.5,24.0,51,-3,20,6
40,WAS,OAK,53.5,26.5,37,-17,23,9
41,ARI,DAL,47.5,23.5,45,11,31,17
42,GB,CHI,45.5,21.0,49,-21,21,7
43,MIA,NO,50.0,27.0,20,20,17,17
44,NE,CAR,47.0,25.5,63,3,30,30
45,DAL,LA,46.0,25.5,65,5,25,25
46,HOU,TEN,44.0,23.5,71,-43,27,13
47,NYJ,JAX,40.0,19.5,43,-3,20,0
48,ATL,BUG,49.0,23.5,40,6,23,23
49,LAC,PHI,46.5,24.0,50,2,24,24
50,ARI,SF,44.5,21.5,33,-3,12,6
51,SEA,IND,41.0,22.5,64,-28,39,-5
52,KC,WAS,49.0,24.0,49,-9,32,12
53,TB,NE,54.0,27.5,33,5,13,13
54,NYG,LAC,43.5,22.5,49,5,30,16
55,CIN,BUG,38.5,20.0,36,-4,16,16
56,PIT,JAX,44.5,20.5,39,21,26,20
57,DET,CAR,43.5,22.5,51,3,24,24
58,LA,SEA,46.0,23.5,26,6,6,6
59,DAL,GB,53.5,27.0,66,4,33,33
60,HOU,CLE,44.0,21.5,50,-16,23,5
61,NYJ,NE,47.0,24.5,41,7,13,13
62,ATL,MIA,47.5,21.5,37,3,20,20
63,NO,DET,51.0,24.5,90,-14,49,21
64,MIN,GB,47.0,21.0,33,-13,9,3
65,BAL,CHI,40.0,19.5,51,3,35,21
66,WAS,SF,46.5,23.0,50,-2,26,26
67,ARI,TB,44.5,21.0,71,-5,47,33
68,KC,PIT,47.0,22.5,32,6,17,17
69,OAK,LAC,51.0,23.5,33,1,16,16
70,DEN,NYG,41.0,20.5,33,13,13,13
71,TEN,IND,49.0,24.5,58,-14,36,24
