,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
72,CLE,TEN,46.5,21.0,21,3,9,3
73,MIN,BAL,39.5,18.0,40,-8,25,7
74,MIA,NYJ,38.5,21.0,59,-3,24,24
75,CHI,CAR,41.0,20.0,20,-14,0,0
76,GB,NO,48.0,23.5,43,9,22,22
77,LA,ARI,47.5,20.5,33,-33,10,4
78,SF,DAL,47.0,22.0,50,30,27,27
79,NYG,SEA,39.0,19.5,31,17,21,21
80,LAC,DEN,43.5,20.0,21,-21,7,7
81,NE,ATL,53.5,28.0,30,-16,13,7
82,PHI,WAS,48.5,24.0,58,-10,31,17
83,BAL,MIA,38.0,17.5,40,-40,20,20
84,CLE,MIN,37.5,20.0,49,17,24,18
85,NO,CHI,50.0,22.0,32,-8,15,15
86,NYJ,ATL,47.0,22.5,45,5,15,15
87,TB,CAR,44.0,22.0,20,14,10,4
88,PHI,SF,47.5,21.0,43,-23,26,6
89,BUG,OAK,44.5,23.0,48,-20,27,15
90,CIN,IND,41.0,23.0,47,-1,24,10
91,NE,LAC,49.0,24.5,34,-8,12,6
92,SEA,HOU,43.0,24.0,79,-3,37,25
93,DET,PIT,44.5,24.0,35,5,13,13
94,KC,DEN,44.0,20.5,48,-10,28,22
95,NYJ,BUG,42.0,20.5,55,-13,38,10
96,PHI,DEN,44.0,20.0,74,-28,34,8
97,NYG,LA,43.5,21.0,68,34,31,31
98,NO,TB,50.0,25.5,40,-20,21,-7
99,JAX,CIN,39.5,19.0,30,-16,10,4
100,CAR,ATL,44.0,21.0,37,-3,13,1
101,HOU,IND,48.0,21.0,34,6,17,17
102,TEN,BAL,43.0,20.0,43,-3,21,21
103,SEA,WAS,45.0,21.0,31,3,22,22
104,ARI,SEA,43.0,20.5,38,6,16,10
105,WAS,MIN,43.0,23.0,68,8,23,17
106,CHI,GB,38.0,19.5,39,7,23,23
107,IND,PIT,43.0,24.0,37,3,24,10
108,JAX,LAC,41.5,20.0,37,-3,21,5
109,TEN,CIN,40.5,21.5,44,-4,14,14
110,DET,CLE,44.0,21.5,62,-14,35,21
111,LA,HOU,47.0,22.0,40,-26,24,-18
112,ATL,DAL,50.5,24.0,34,-20,17,3
113,SF,NYG,42.0,21.5,52,-10,22,22
114,CAR,MIA,39.5,19.5,66,-24,42,0
115,CHI,DET,44.0,21.0,51,3,13,13
116,NYG,KC,44.0,20.5,21,-3,9,9
117,MIA,TB,43.5,22.0,50,10,23,11
118,CLE,JAX,38.0,17.5,26,12,9,9
119,NO,WAS,49.0,26.5,65,-3,32,32
120,LAC,BUG,44.0,20.0,78,-30,34,14
121,DEN,CIN,40.0,17.5,37,3,17,11
122,OAK,NE,50.0,27.0,41,25,24,24
123,DAL,PHI,47.0,23.5,46,28,30,30
124,SEA,ATL,45.0,23.5,65,3,24,12
125,DAL,LAC,48.0,22.5,34,22,31,31
126,WAS,NYG,44.5,21.5,30,-10,24,10
127,CIN,CLE,38.0,20.0,46,-14,24,10
128,PHI,CHI,44.0,18.5,34,-28,10,10
129,NE,MIA,47.0,24.0,52,-18,21,7
130,KC,BUG,47.0,23.0,26,6,10,-4
131,ATL,TB,48.0,23.0,54,-14,28,14
132,NYJ,CAR,39.5,19.5,62,8,40,26
133,IND,TEN,46.0,23.5,36,4,17,11
134,SF,SEA,43.0,20.5,37,11,27,21
135,LA,NO,53.5,27.5,46,-6,19,13
136,ARI,JAX,38.0,20.0,51,-3,35,29
137,PIT,GB,41.5,23.0,59,-3,31,17
138,BAL,HOU,38.0,20.5,39,-7,12,12
139,DAL,WAS,44.0,23.5,52,-24,28,28
140,BAL,DET,43.0,20.5,64,-24,44,44
141,CHI,SF,42.0,21.0,29,1,6,6
142,ATL,MIN,48.5,23.0,23,5,10,4
143,BUG,NE,48.5,22.5,26,20,14,14
144,MIA,DEN,41.0,20.5,44,-26,25,5
145,TEN,HOU,42.5,21.0,37,-11,17,3
146,JAX,IND,41.0,20.0,40,-20,21,-1
147,NYJ,KC,44.0,22.5,69,-7,31,19
148,NO,CAR,48.0,25.0,52,-10,17,3
149,LAC,CLE,45.0,23.5,29,-9,13,-7
150,ARI,LA,43.0,21.5,48,16,16,16
151,OAK,NYG,43.0,21.5,41,-7,24,24
152,SEA,PHI,46.5,24.0,34,-14,21,7
153,CIN,PIT,43.0,23.5,43,3,23,17
154,ATL,NO,55.0,27.0,37,-3,17,17
155,CIN,CHI,37.0,20.0,40,26,21,21
156,CAR,MIN,42.0,20.5,55,-7,28,8
157,CLE,GB,39.5,19.5,48,6,21,7
158,HOU,SF,43.0,22.5,42,10,20,6
159,LAC,WAS,46.0,22.0,43,-17,14,0
160,DEN,NYJ,40.5,20.0,23,-23,10,-4
161,LA,PHI,51.0,24.5,78,8,40,12
162,NYG,DAL,41.0,21.5,40,20,20,20
163,PIT,BAL,44.0,23.5,77,-1,43,43
164,MIA,NE,48.5,25.0,47,-7,24,-4
165,IND,DEN,41.5,20.5,38,12,21,15
166,DET,CHI,44.0,21.5,30,-10,14,0
167,KC,LAC,46.0,24.0,43,-17,27,7
168,NYG,PHI,40.0,23.0,63,5,19,7
169,CAR,GB,44.5,24.0,55,-7,31,3
170,MIN,CIN,41.0,19.5,41,-27,17,11
171,BUG,MIA,38.5,20.5,40,-8,13,7
172,JAX,HOU,40.0,17.5,52,-38,21,7
173,NO,NYJ,47.0,24.0,50,-12,23,23
174,WAS,ARI,44.0,20.0,35,-5,12,6
175,CLE,BAL,40.0,21.5,37,17,10,10
176,SEA,LA,48.0,21.5,49,35,15,1
177,PIT,NE,53.0,26.5,51,3,24,10
178,TB,ATL,47.5,25.5,45,3,21,7
179,BAL,IND,41.0,20.5,39,-7,19,13
180,GB,MIN,42.0,20.0,16,16,6,6
181,CIN,DET,43.5,21.0,43,-9,30,16
182,NYJ,LAC,42.5,20.0,21,7,14,0
183,TEN,LA,49.0,23.0,50,4,24,10
184,CHI,CLE,38.5,16.5,23,-17,14,-14
185,CAR,TB,46.5,23.5,41,-3,20,14
186,WAS,DEN,42.0,19.5,38,-16,25,19
187,KC,MIA,45.0,23.0,42,-16,9,3
188,NE,BUG,47.0,24.0,53,-21,27,7
189,SF,JAX,42.5,23.0,77,-11,45,31
190,DAL,SEA,47.0,23.0,33,9,17,11
191,HOU,PIT,44.0,20.0,40,28,20,20
192,PHI,OAK,48.5,21.5,29,-9,15,9
193,BAL,CIN,41.0,20.0,58,4,31,17
194,DET,GB,42.5,19.0,46,-24,23,9
195,MIA,BUG,42.0,17.5,38,6,28,22
196,ATL,CAR,47.0,21.5,32,-12,18,6
197,TB,NO,50.0,23.0,55,-7,28,28
198,TEN,JAX,41.0,17.5,25,-5,10,4
199,NE,NYJ,46.0,18.5,32,-20,8,2
200,IND,HOU,41.0,20.0,35,-9,15,1
201,NYG,WAS,40.0,20.0,28,-8,3,3
202,MIN,CHI,40.0,17.0,33,-13,10,-4
203,PHI,DAL,43.0,17.0,6,6,6,6
204,LAC,OAK,44.0,21.5,40,-20,10,-10
205,SEA,ARI,41.0,19.5,50,2,23,9
206,DEN,KC,41.0,17.5,51,3,27,27
207,LA,SF,46.0,20.0,47,21,21,21
208,KC,TEN,45.0,21.5,43,1,19,19
209,LA,ATL,49.5,24.0,39,13,16,16
210,JAX,BUG,41.0,18.0,13,-7,7,-7
211,PHI,ATL,43.5,20.5,25,-5,6,0
212,NE,TEN,47.0,24.0,49,-21,21,7
213,PIT,JAX,41.0,24.0,87,3,45,31
214,PHI,MIN,38.5,20.5,45,-31,14,0
215,NE,PHI,47.5,27.5,74,8,40,12
