,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,CHI,GB,46.0,23.0,13,7,3,3
1,MIN,ATL,47.5,22.5,40,-16,19,5
2,PHI,WAS,46.5,23.0,59,-5,32,4
3,NYJ,BUG,38.5,20.0,33,1,27,7
4,MIA,BAL,36.5,18.5,69,49,17,17
5,TB,SF,48.5,24.5,48,14,35,21
6,JAX,KC,52.5,24.0,66,14,30,30
7,CLE,TEN,45.0,22.0,56,30,38,24
8,CAR,LA,50.5,24.0,57,3,41,21
9,SEA,CIN,43.5,23.5,41,-1,10,10
10,LAC,IND,48.0,22.5,54,-6,25,11
11,DAL,NYG,46.0,22.0,52,-18,24,-4
12,NE,PIT,51.5,24.0,36,-30,16,-4
13,NO,HOU,54.0,27.0,58,-2,41,13
14,OAK,DEN,43.0,21.0,40,-8,26,26
15,CAR,TB,51.0,24.0,34,6,15,9
16,TEN,IND,44.0,21.5,36,2,16,-4
17,DET,LAC,47.0,23.5,23,-3,7,7
18,BAL,ARI,41.5,23.0,40,-6,17,17
19,MIA,NE,47.0,21.0,43,43,30,30
20,WAS,DAL,44.0,22.5,52,10,31,17
21,HOU,JAX,45.0,21.0,25,-1,16,16
22,PIT,SEA,46.5,22.5,54,2,37,31
23,CIN,SF,45.0,23.5,58,24,24,24
24,GB,MIN,46.0,23.0,37,-5,6,6
25,OAK,KC,52.0,26.0,38,18,0,0
26,LA,NO,54.0,22.0,36,-18,27,-1
27,DEN,CHI,41.0,19.5,30,2,21,21
28,NYJ,CLE,45.5,20.0,26,20,7,7
29,JAX,TEN,41.0,17.0,27,-13,13,7
30,GB,DEN,43.5,20.5,43,-11,16,2
31,PHI,DET,49.5,23.5,51,3,21,7
32,KC,BAL,51.5,26.0,61,-5,32,18
33,BUG,CIN,40.5,20.5,38,-4,24,24
34,IND,ATL,48.0,23.5,51,-3,28,28
35,MIN,OAK,43.0,21.0,48,-20,20,6
36,NE,NYJ,45.5,20.0,44,-16,24,4
37,DAL,MIA,47.0,23.5,37,-25,21,-7
38,TB,NYG,49.0,24.0,63,1,25,25
39,ARI,CAR,43.5,24.0,58,18,34,14
40,SEA,NO,50.0,22.0,60,6,33,33
41,LAC,HOU,49.0,24.5,47,7,23,23
42,CLE,LA,51.0,24.0,33,7,24,10
43,GB,PHI,48.0,24.5,61,7,20,6
44,HOU,CAR,47.0,23.5,26,6,13,-1
45,BAL,CLE,46.5,23.5,65,15,48,42
46,NYG,WAS,46.0,23.0,27,-21,7,-7
47,MIA,LAC,45.0,22.5,40,20,13,13
48,IND,OAK,44.0,23.5,55,7,24,24
49,DET,KC,53.0,27.5,64,4,38,18
50,BUG,NE,44.0,20.0,26,6,10,-4
51,ATL,TEN,46.5,24.0,34,14,3,-3
52,LA,TB,50.0,27.0,95,15,50,44
53,ARI,SEA,46.0,23.5,37,17,14,14
54,CHI,MIN,39.0,17.5,22,-10,12,0
55,DEN,JAX,38.0,19.5,50,2,27,27
56,NO,DAL,45.0,23.5,22,-2,10,10
57,PIT,CIN,43.5,21.5,30,-24,17,-11
58,PIT,BAL,42.5,21.5,49,3,16,2
59,OAK,CHI,41.0,20.0,45,-3,28,28
60,CIN,ARI,48.5,23.0,49,3,30,24
61,CAR,JAX,42.0,21.0,61,-7,23,9
62,NYG,MIN,46.0,21.5,38,18,13,7
63,WAS,NE,47.5,20.0,40,26,21,21
64,PHI,NYJ,44.5,18.5,37,-25,16,10
65,NO,TB,47.0,23.0,55,-7,28,14
66,HOU,ATL,49.5,26.5,85,-21,52,18
67,TEN,BUG,38.0,18.5,21,7,14,0
68,LAC,DEN,44.0,23.5,33,7,16,2
69,DAL,GB,48.0,24.0,58,10,41,21
70,KC,IND,54.0,29.0,32,6,9,9
71,SF,CLE,47.0,24.0,34,-28,10,-4
72,NE,NYG,46.5,20.5,49,-21,14,14
73,TB,CAR,46.0,24.0,63,11,39,33
74,BAL,CIN,48.0,23.5,40,-6,13,7
75,CLE,SEA,46.0,24.5,60,4,22,22
76,KC,HOU,54.0,28.5,55,7,15,1
77,JAX,NO,43.5,19.5,19,7,13,7
78,MIN,PHI,44.0,24.0,58,-18,24,10
79,MIA,WAS,41.0,19.5,33,1,23,23
80,LA,SF,48.5,25.5,27,13,13,13
81,ARI,ATL,47.0,27.0,67,-1,37,23
82,NYJ,DAL,44.0,23.0,46,-2,19,19
83,DEN,TEN,40.0,18.0,16,-16,10,-4
84,LAC,PIT,43.5,21.0,41,7,20,20
85,GB,DET,46.5,24.0,45,-1,22,16
86,DEN,KC,50.5,19.5,36,24,10,10
87,NYG,ARI,50.0,25.0,48,6,17,17
88,IND,HOU,47.5,23.5,53,-7,30,2
89,BUG,MIA,41.0,21.0,52,-10,29,29
90,DET,MIN,44.0,23.5,72,12,30,24
91,GB,OAK,46.0,24.0,66,-18,35,7
92,CIN,JAX,47.5,21.0,44,10,31,25
93,ATL,LA,52.5,26.5,47,27,31,31
94,WAS,SF,43.0,16.5,9,9,9,9
95,TEN,LAC,40.5,21.5,43,-3,23,23
96,SEA,BAL,50.5,24.0,46,14,20,20
97,CHI,NO,38.5,17.5,61,11,39,39
98,DAL,PHI,47.5,24.0,47,-27,13,13
99,NYJ,NE,43.0,20.0,33,33,9,9
100,MIN,WAS,40.0,21.0,28,-10,9,3
101,DET,NYG,48.5,24.0,57,-5,27,13
102,TEN,TB,47.0,22.5,50,-4,18,12
103,CHI,LAC,40.5,20.0,33,1,17,3
104,ATL,SEA,54.0,22.0,47,7,23,1
105,JAX,NYJ,41.0,20.0,44,-14,18,12
106,BUG,PHI,41.5,17.5,44,18,26,14
107,LA,CIN,47.5,24.0,34,-14,7,-7
108,NO,ARI,49.5,23.5,40,-22,24,10
109,HOU,OAK,48.0,26.5,51,-3,27,21
110,SF,CAR,41.5,19.5,64,-38,34,6
111,IND,DEN,43.5,20.0,28,-2,19,1
112,NE,CLE,46.5,20.5,40,-14,16,2
113,KC,GB,48.0,24.5,55,7,24,24
114,PIT,MIA,42.5,21.5,41,-13,17,3
115,JAX,HOU,47.0,23.0,29,23,17,17
116,BUG,WAS,36.5,17.5,33,-15,10,10
117,CAR,TEN,40.0,20.0,50,-10,33,19
118,PHI,CHI,45.0,19.0,36,-8,24,10
119,KC,MIN,45.5,23.5,49,-3,29,9
120,MIA,NYJ,41.0,22.5,44,-8,11,5
121,OAK,DET,51.0,26.5,55,-7,24,24
122,SEA,TB,53.5,26.0,74,-6,34,18
123,DEN,CLE,43.0,20.0,43,-5,14,0
124,LAC,GB,46.0,24.0,37,-15,28,8
125,BAL,NE,46.5,23.5,57,-17,27,13
126,NYG,DAL,47.0,24.0,55,19,30,24
127,OAK,LAC,47.5,24.0,50,-2,19,13
128,TEN,KC,47.5,24.5,67,-3,41,27
129,CLE,BUG,42.5,21.0,35,-3,19,13
130,TB,ARI,54.0,25.5,57,-3,27,21
131,NO,ATL,50.0,27.0,35,17,16,10
132,CIN,BAL,46.0,22.5,62,36,24,24
133,GB,CAR,48.0,24.0,40,-8,16,-4
134,CHI,DET,44.0,17.5,33,-7,20,-6
135,IND,MIA,44.0,23.0,28,4,18,6
136,PIT,LA,45.5,21.0,29,-5,8,8
137,DAL,MIN,45.5,24.5,52,4,21,7
138,SF,SEA,44.0,23.0,51,3,31,31
139,DET,DAL,51.5,23.5,62,8,24,10
140,TB,NO,51.0,24.5,51,17,24,4
141,CAR,ATL,54.0,23.5,32,26,12,12
142,IND,JAX,44.0,20.5,46,-20,29,1
143,MIN,DEN,38.5,20.5,50,-4,30,16
144,WAS,NYJ,37.5,17.5,51,17,28,28
145,MIA,BUG,39.0,21.0,57,17,20,20
146,BAL,HOU,49.0,24.0,48,-34,34,8
147,SF,ARI,44.0,23.0,62,-10,36,22
148,PHI,NE,46.0,21.5,27,7,8,8
149,OAK,CIN,48.0,23.5,27,-7,6,6
150,LA,CHI,42.0,19.5,24,-10,14,14
151,LAC,KC,49.0,27.0,41,7,22,6
152,HOU,IND,46.5,23.0,37,-3,17,11
153,CLE,MIA,45.0,21.0,65,-17,34,34
154,BUG,DEN,35.0,17.0,23,-17,17,3
155,CIN,PIT,40.0,18.5,26,6,16,10
156,CHI,NYG,41.0,19.5,33,-5,23,-9
157,NYJ,OAK,47.0,21.5,37,-31,21,-21
158,NO,CAR,48.0,24.0,65,-3,33,5
159,ATL,TB,54.5,26.5,57,13,28,22
160,WAS,DET,42.0,19.5,35,-3,16,16
161,TEN,JAX,41.0,20.5,62,-22,52,-4
162,NE,DAL,47.0,21.0,22,-4,6,6
163,SF,GB,44.0,23.5,45,-29,22,8
164,PHI,SEA,49.0,22.0,26,8,13,13
165,DET,CHI,41.0,20.0,44,4,17,17
166,DAL,BUG,45.0,24.0,41,11,21,21
167,ATL,NO,48.0,23.5,44,8,18,18
168,NYG,GB,47.0,21.0,44,18,17,11
