,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble  Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,NE,KC,27.0,6,0.0,2.0,1.0,0.0,21.0,3.0,62.0,77.0,6.0,9.0,4.0,5.0,9.0,0.0,2.0,12.0,3.0,44.0
1,BUF,NYJ,22.0,6,3.0,0.0,2.0,0.0,11.0,5.0,57.0,71.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,12.0,2.0,42.0
2,WAS,PHI,28.0,5,2.0,2.0,2.0,0.0,10.0,5.0,41.0,85.0,6.0,5.0,3.0,0.0,3.0,0.0,4.0,8.0,4.0,49.0
3,TEN,OAK,26.0,11,0.0,0.0,1.0,0.0,10.0,4.0,50.0,76.0,3.0,3.0,2.0,1.0,3.0,0.0,8.0,7.0,1.0,47.0
4,HOU,JAX,26.0,9,1.0,3.0,0.0,0.0,19.0,6.0,62.0,67.0,10.0,4.0,2.0,1.0,3.0,0.0,4.0,9.0,3.0,30.0
5,DET,ARI,29.0,5,4.0,2.0,1.0,0.0,16.0,5.0,46.0,94.0,2.0,8.0,5.0,1.0,2.0,4.0,3.0,9.0,3.0,56.0
6,CLE,PIT,20.0,6,2.0,1.0,1.0,0.0,17.0,2.0,43.0,74.0,8.0,5.0,3.0,1.0,3.0,1.0,1.0,12.0,2.0,44.0
7,CHI,ATL,23.0,7,0.0,1.0,1.0,0.0,12.0,3.0,42.0,76.0,6.0,4.0,2.0,2.0,4.0,0.0,4.0,8.0,2.0,47.0
8,CIN,BAL,18.0,5,5.0,1.0,1.0,0.0,20.0,7.0,64.0,54.0,6.0,2.0,1.0,1.0,2.0,0.0,2.0,11.0,2.0,25.0
9,LA,IND,16.0,11,2.0,3.0,2.0,1.0,11.0,7.0,56.0,56.0,5.0,6.0,1.0,3.0,4.0,0.0,5.0,11.0,5.0,33.0
10,SF,CAR,20.0,7,2.0,2.0,1.0,0.0,15.0,3.0,53.0,64.0,4.0,2.0,2.0,0.0,2.0,0.0,4.0,7.0,3.0,38.0
11,GB,SEA,26.0,5,1.0,1.0,1.0,0.0,16.0,5.0,46.0,76.0,7.0,2.0,1.0,1.0,2.0,0.0,4.0,11.0,2.0,42.0
12,DAL,NYG,23.0,5,1.0,1.0,0.0,0.0,11.0,4.0,43.0,81.0,4.0,1.0,1.0,0.0,1.0,0.0,5.0,10.0,1.0,53.0
13,MIN,NO,15.0,5,0.0,1.0,0.0,0.0,11.0,6.0,51.0,71.0,2.0,4.0,4.0,0.0,4.0,0.0,7.0,5.0,1.0,54.0
14,DEN,LAC,20.0,8,2.0,1.0,0.0,0.0,7.0,3.0,58.0,66.0,5.0,6.0,5.0,1.0,6.0,0.0,3.0,8.0,1.0,39.0
15,CIN,HOU,24.0,5,0.0,1.0,0.0,0.0,16.0,6.0,59.0,65.0,6.0,1.0,0.0,1.0,1.0,0.0,5.0,16.0,1.0,35.0
16,BAL,CLE,26.0,9,5.0,2.0,0.0,0.0,18.0,8.0,53.0,81.0,5.0,4.0,3.0,1.0,4.0,0.0,3.0,9.0,2.0,45.0
17,TB,CHI,25.0,7,2.0,3.0,0.0,0.0,12.0,8.0,50.0,79.0,3.0,4.0,2.0,1.0,3.0,0.0,3.0,6.0,3.0,49.0
18,PIT,MIN,30.0,6,0.0,1.0,0.0,0.0,21.0,3.0,52.0,77.0,4.0,3.0,2.0,1.0,3.0,0.0,5.0,11.0,1.0,43.0
19,NO,NE,27.0,6,0.0,0.0,1.0,0.0,14.0,3.0,48.0,87.0,3.0,6.0,5.0,1.0,6.0,0.0,6.0,6.0,1.0,57.0
20,KC,PHI,27.0,8,1.0,3.0,0.0,0.0,9.0,6.0,36.0,84.0,10.0,5.0,3.0,2.0,5.0,0.0,5.0,9.0,3.0,46.0
21,JAX,TEN,23.0,5,3.0,2.0,0.0,0.0,17.0,2.0,61.0,65.0,3.0,6.0,2.0,4.0,5.0,1.0,4.0,8.0,2.0,35.0
22,IND,ARI,32.0,4,2.0,2.0,2.0,0.0,14.0,6.0,54.0,81.0,8.0,2.0,1.0,1.0,2.0,0.0,6.0,12.0,4.0,39.0
23,CAR,BUF,20.0,6,0.0,1.0,1.0,0.0,11.0,12.0,51.0,66.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,2.0,37.0
24,OAK,NYJ,13.0,7,0.0,2.0,1.0,0.0,14.0,5.0,52.0,56.0,4.0,8.0,5.0,3.0,8.0,0.0,3.0,6.0,3.0,39.0
