,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble  Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
185,MIA,OAK,32.0,11,1.0,0.0,0.0,0.0,18.0,4.0,58.0,69.0,3.0,6.0,3.0,2.0,5.0,0.0,2.0,12.0,0.0,33.0
186,CLE,BAL,30.0,3,1.0,1.0,0.0,0.0,7.0,3.0,72.0,63.0,4.0,4.0,1.0,2.0,3.0,0.0,4.0,11.0,1.0,28.0
187,SF,STL,17.0,6,1.0,2.0,0.0,0.0,13.0,9.0,57.0,55.0,8.0,2.0,2.0,0.0,2.0,0.0,4.0,13.0,2.0,29.0
188,ARI,DAL,23.0,4,0.0,1.0,1.0,0.0,13.0,4.0,45.0,77.0,10.0,3.0,2.0,1.0,2.0,0.0,6.0,12.0,2.0,44.0
189,NYG,GB,34.0,5,2.0,1.0,0.0,0.0,10.0,6.0,49.0,90.0,3.0,9.0,7.0,1.0,7.0,1.0,4.0,9.0,1.0,51.0
190,NO,DET,26.0,9,1.0,0.0,0.0,0.0,17.0,4.0,64.0,128.0,9.0,12.0,7.0,5.0,12.0,0.0,6.0,9.0,0.0,92.0
191,JAC,SD,19.0,4,1.0,0.0,2.0,0.0,9.0,2.0,57.0,63.0,2.0,7.0,5.0,2.0,7.0,0.0,1.0,9.0,2.0,41.0
192,PIT,CLE,21.0,2,3.0,3.0,1.0,0.0,18.0,4.0,58.0,64.0,5.0,2.0,2.0,0.0,2.0,0.0,1.0,10.0,4.0,35.0
193,WAS,NE,26.0,5,2.0,1.0,1.0,0.0,11.0,2.0,54.0,73.0,3.0,7.0,6.0,0.0,6.0,0.0,4.0,6.0,2.0,42.0
194,TEN,NO,29.0,4,0.0,0.0,0.0,0.0,19.0,4.0,44.0,87.0,4.0,4.0,3.0,1.0,3.0,1.0,4.0,10.0,0.0,54.0
195,JAC,TB,24.0,11,5.0,7.0,1.0,0.0,20.0,6.0,58.0,69.0,4.0,8.0,2.0,4.0,5.0,1.0,0.0,12.0,8.0,36.0
196,MIA,PHI,25.0,9,2.0,3.0,1.0,1.0,14.0,12.0,58.0,72.0,13.0,4.0,2.0,2.0,4.0,0.0,3.0,16.0,4.0,32.0
197,CAR,ATL,34.0,4,2.0,1.0,0.0,1.0,10.0,7.0,51.0,82.0,5.0,7.0,6.0,1.0,7.0,0.0,3.0,12.0,1.0,41.0
198,DET,MIN,27.0,7,3.0,4.0,1.0,0.0,14.0,3.0,56.0,82.0,9.0,8.0,5.0,1.0,6.0,0.0,2.0,8.0,5.0,43.0
199,NYJ,KC,23.0,0,1.0,2.0,0.0,1.0,15.0,9.0,63.0,61.0,8.0,6.0,3.0,3.0,6.0,0.0,1.0,14.0,2.0,29.0
200,CIN,HOU,29.0,3,1.0,5.0,0.0,0.0,8.0,10.0,57.0,78.0,6.0,3.0,3.0,0.0,3.0,0.0,7.0,6.0,5.0,42.0
201,BAL,IND,26.0,3,2.0,4.0,0.0,0.0,8.0,6.0,53.0,74.0,6.0,4.0,3.0,1.0,4.0,0.0,2.0,9.0,4.0,40.0
202,DEN,CHI,25.0,6,1.0,2.0,1.0,0.0,12.0,7.0,72.0,68.0,9.0,2.0,1.0,1.0,2.0,0.0,4.0,19.0,3.0,33.0
203,ARI,SF,26.0,6,2.0,2.0,0.0,0.0,9.0,7.0,44.0,73.0,7.0,4.0,3.0,1.0,4.0,0.0,5.0,14.0,2.0,38.0
204,SD,BUF,28.0,4,3.0,0.0,1.0,0.0,6.0,2.0,52.0,73.0,3.0,6.0,3.0,1.0,4.0,0.0,3.0,5.0,1.0,39.0
205,GB,OAK,29.0,6,5.0,1.0,0.0,1.0,16.0,2.0,53.0,80.0,5.0,7.0,3.0,3.0,6.0,0.0,4.0,6.0,1.0,41.0
206,DAL,NYG,29.0,11,1.0,1.0,0.0,1.0,16.0,3.0,56.0,81.0,3.0,8.0,6.0,2.0,7.0,1.0,5.0,7.0,1.0,48.0
207,SEA,STL,29.0,1,1.0,0.0,2.0,0.0,14.0,6.0,63.0,68.0,5.0,4.0,1.0,2.0,3.0,0.0,6.0,8.0,2.0,33.0
208,ATL,JAC,17.0,2,1.0,2.0,1.0,0.0,9.0,9.0,54.0,60.0,6.0,7.0,4.0,1.0,5.0,0.0,2.0,12.0,3.0,36.0
209,TB,DAL,17.0,7,0.0,3.0,0.0,0.0,8.0,4.0,50.0,63.0,5.0,6.0,4.0,1.0,4.0,1.0,1.0,7.0,3.0,40.0
210,IND,TEN,22.0,10,2.0,2.0,0.0,0.0,11.0,8.0,53.0,74.0,1.0,4.0,2.0,1.0,3.0,0.0,4.0,14.0,2.0,49.0
211,NYG,WAS,21.0,4,5.0,2.0,0.0,0.0,10.0,5.0,58.0,68.0,4.0,3.0,1.0,2.0,3.0,0.0,5.0,6.0,2.0,38.0
212,CHI,SEA,22.0,4,4.0,2.0,1.0,0.0,10.0,8.0,64.0,61.0,5.0,7.0,2.0,2.0,4.0,0.0,1.0,11.0,3.0,30.0
213,BUF,MIA,23.0,5,3.0,4.0,1.0,0.0,16.0,4.0,57.0,73.0,5.0,6.0,4.0,2.0,5.0,1.0,5.0,14.0,5.0,41.0
214,STL,CIN,21.0,2,1.0,4.0,0.0,0.0,20.0,11.0,58.0,66.0,4.0,3.0,1.0,2.0,3.0,0.0,5.0,12.0,4.0,40.0
215,MIN,NO,27.0,6,1.0,1.0,1.0,0.0,14.0,7.0,56.0,78.0,4.0,8.0,7.0,1.0,8.0,0.0,3.0,8.0,2.0,46.0
216,KC,GB,26.0,4,0.0,1.0,0.0,0.0,12.0,4.0,57.0,70.0,4.0,3.0,1.0,2.0,3.0,0.0,5.0,7.0,1.0,40.0
217,HOU,CAR,19.0,6,2.0,1.0,1.0,0.0,13.0,5.0,59.0,58.0,4.0,5.0,2.0,3.0,5.0,0.0,3.0,7.0,2.0,33.0
218,OAK,DET,31.0,3,0.0,2.0,0.0,0.0,19.0,3.0,41.0,97.0,5.0,7.0,5.0,1.0,6.0,0.0,3.0,11.0,2.0,61.0
219,PHI,NYJ,17.0,3,3.0,5.0,2.0,0.0,18.0,4.0,60.0,59.0,7.0,8.0,3.0,4.0,6.0,1.0,3.0,10.0,7.0,31.0
220,ARI,CLE,30.0,3,1.0,1.0,0.0,0.0,11.0,6.0,53.0,83.0,6.0,4.0,2.0,2.0,4.0,0.0,3.0,14.0,1.0,46.0
221,DEN,NE,23.0,8,0.0,2.0,3.0,0.0,11.0,4.0,68.0,63.0,6.0,8.0,2.0,6.0,7.0,1.0,3.0,7.0,5.0,34.0
222,SD,BAL,15.0,5,2.0,2.0,0.0,0.0,6.0,2.0,51.0,65.0,7.0,6.0,3.0,3.0,6.0,0.0,4.0,2.0,2.0,41.0
223,SF,PIT,29.0,3,3.0,1.0,1.0,0.0,16.0,4.0,49.0,78.0,3.0,2.0,1.0,1.0,2.0,0.0,4.0,10.0,2.0,43.0
224,IND,HOU,21.0,10,0.0,4.0,0.0,0.0,15.0,8.0,63.0,64.0,7.0,2.0,1.0,1.0,2.0,0.0,8.0,11.0,4.0,36.0
225,BUF,DEN,25.0,2,4.0,1.0,0.0,0.0,15.0,5.0,63.0,61.0,4.0,6.0,1.0,2.0,3.0,0.0,6.0,11.0,1.0,28.0
226,PIT,STL,21.0,3,1.0,0.0,1.0,0.0,11.0,6.0,64.0,49.0,3.0,3.0,0.0,3.0,3.0,0.0,4.0,11.0,1.0,24.0
227,CIN,ARI,31.0,4,3.0,2.0,1.0,0.0,12.0,3.0,53.0,82.0,7.0,4.0,4.0,0.0,3.0,1.0,6.0,11.0,3.0,41.0
228,CAR,TB,14.0,7,1.0,2.0,1.0,0.0,15.0,4.0,50.0,60.0,4.0,8.0,4.0,4.0,7.0,1.0,3.0,3.0,3.0,40.0
229,WAS,MIN,20.0,3,1.0,3.0,0.0,0.0,12.0,3.0,62.0,64.0,5.0,6.0,4.0,2.0,6.0,0.0,7.0,5.0,3.0,38.0
230,NE,MIA,34.0,5,1.0,1.0,4.0,0.0,11.0,2.0,58.0,88.0,9.0,6.0,4.0,2.0,6.0,0.0,4.0,12.0,5.0,44.0
231,BAL,CLE,25.0,2,2.0,0.0,1.0,0.0,11.0,4.0,62.0,60.0,3.0,4.0,3.0,0.0,3.0,0.0,2.0,11.0,1.0,30.0
232,TEN,JAC,34.0,3,3.0,1.0,0.0,0.0,6.0,4.0,53.0,84.0,2.0,4.0,1.0,3.0,4.0,0.0,4.0,13.0,1.0,45.0
233,KC,OAK,21.0,7,4.0,0.0,0.0,0.0,26.0,1.0,55.0,62.0,0.0,2.0,2.0,0.0,2.0,0.0,8.0,7.0,0.0,37.0
234,NYJ,NYG,44.0,3,3.0,0.0,1.0,1.0,15.0,7.0,51.0,93.0,7.0,5.0,2.0,3.0,5.0,0.0,3.0,18.0,1.0,39.0
235,DET,SD,30.0,5,2.0,0.0,1.0,0.0,4.0,3.0,39.0,93.0,4.0,6.0,4.0,1.0,5.0,0.0,2.0,7.0,1.0,57.0
236,SEA,SF,25.0,3,0.0,1.0,1.0,0.0,12.0,2.0,66.0,59.0,5.0,3.0,1.0,2.0,3.0,0.0,6.0,7.0,2.0,29.0
237,DAL,PHI,30.0,6,0.0,0.0,1.0,0.0,11.0,8.0,49.0,77.0,5.0,3.0,3.0,0.0,3.0,0.0,2.0,15.0,1.0,42.0
238,GB,CHI,15.0,3,2.0,2.0,0.0,0.0,6.0,4.0,64.0,58.0,1.0,7.0,6.0,0.0,6.0,1.0,3.0,6.0,2.0,40.0
239,NO,ATL,35.0,10,2.0,1.0,0.0,0.0,11.0,5.0,36.0,101.0,1.0,7.0,5.0,1.0,6.0,0.0,4.0,5.0,1.0,63.0
240,MIA,NYJ,16.0,4,5.0,0.0,0.0,0.0,11.0,3.0,53.0,68.0,3.0,3.0,3.0,0.0,3.0,0.0,5.0,9.0,0.0,44.0
241,NE,BUF,24.0,7,5.0,2.0,1.0,0.0,9.0,2.0,50.0,88.0,6.0,9.0,5.0,3.0,7.0,1.0,3.0,5.0,3.0,53.0
242,STL,SF,28.0,6,2.0,1.0,1.0,0.0,11.0,7.0,61.0,72.0,6.0,7.0,3.0,4.0,7.0,0.0,5.0,11.0,2.0,36.0
243,NO,CAR,15.0,10,2.0,1.0,0.0,0.0,7.0,0.0,59.0,65.0,2.0,8.0,6.0,2.0,8.0,0.0,2.0,5.0,1.0,46.0
244,MIN,CHI,27.0,4,4.0,4.0,1.0,0.0,9.0,11.0,52.0,76.0,9.0,3.0,1.0,1.0,2.0,0.0,4.0,13.0,5.0,36.0
245,GB,DET,33.0,9,3.0,3.0,0.0,1.0,17.0,2.0,39.0,109.0,5.0,11.0,11.0,0.0,10.0,1.0,4.0,7.0,3.0,67.0
246,PHI,WAS,36.0,7,2.0,2.0,0.0,0.0,14.0,4.0,44.0,87.0,3.0,5.0,4.0,1.0,5.0,0.0,4.0,9.0,2.0,46.0
247,JAC,IND,19.0,4,2.0,3.0,0.0,0.0,5.0,2.0,57.0,65.0,6.0,2.0,2.0,0.0,2.0,0.0,6.0,5.0,3.0,38.0
248,HOU,TEN,23.0,8,0.0,2.0,0.0,0.0,13.0,5.0,53.0,73.0,6.0,4.0,3.0,1.0,3.0,1.0,6.0,12.0,2.0,44.0
249,ATL,TB,18.0,9,4.0,3.0,1.0,0.0,5.0,7.0,53.0,68.0,2.0,9.0,4.0,3.0,6.0,1.0,2.0,5.0,4.0,44.0
250,OAK,SD,20.0,6,2.0,0.0,0.0,0.0,16.0,0.0,55.0,69.0,0.0,7.0,5.0,1.0,7.0,0.0,6.0,1.0,0.0,47.0
251,DEN,KC,29.0,5,1.0,1.0,1.0,0.0,12.0,7.0,77.0,54.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,17.0,2.0,21.0
252,CLE,PIT,41.0,2,1.0,4.0,0.0,0.0,9.0,5.0,51.0,85.0,4.0,1.0,0.0,1.0,1.0,0.0,6.0,10.0,4.0,39.0
253,CIN,BAL,26.0,7,0.0,1.0,0.0,0.0,11.0,2.0,56.0,65.0,2.0,4.0,1.0,3.0,4.0,0.0,5.0,11.0,1.0,37.0
254,ARI,SEA,30.0,6,2.0,2.0,0.0,0.0,16.0,8.0,65.0,81.0,6.0,4.0,2.0,2.0,4.0,0.0,6.0,15.0,2.0,43.0
255,NYG,DAL,16.0,1,1.0,2.0,2.0,0.0,10.0,3.0,47.0,78.0,8.0,6.0,5.0,1.0,6.0,0.0,3.0,10.0,4.0,53.0
