,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble  Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,PIT,TEN,20.0,0,3.0,2.0,1.0,0.0,11.0,8.0,48.0,83.0,5.0,2.0,2.0,0.0,2.0,0.0,5.0,12.0,3.0,55.0
1,CLE,MIN,21.0,2,1.0,1.0,2.0,0.0,11.0,5.0,57.0,66.0,9.0,6.0,2.0,3.0,5.0,0.0,4.0,11.0,3.0,35.0
2,NO,DET,25.0,3,4.0,2.0,1.0,0.0,15.0,5.0,55.0,72.0,1.0,9.0,6.0,2.0,8.0,0.0,4.0,7.0,3.0,42.0
3,TB,DAL,28.0,4,0.0,0.0,4.0,0.0,7.0,2.0,55.0,70.0,1.0,7.0,4.0,3.0,7.0,0.0,4.0,9.0,4.0,41.0
4,HOU,NYJ,26.0,1,2.0,3.0,1.0,0.0,16.0,7.0,55.0,66.0,2.0,4.0,1.0,2.0,3.0,0.0,1.0,10.0,4.0,36.0
5,IND,JAC,23.0,3,1.0,1.0,0.0,0.0,6.0,2.0,58.0,68.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,7.0,1.0,42.0
6,CIN,DEN,21.0,1,2.0,0.0,2.0,0.0,10.0,5.0,47.0,68.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,15.0,2.0,38.0
7,CAR,PHI,26.0,4,6.0,3.0,1.0,0.0,14.0,5.0,62.0,70.0,7.0,6.0,2.0,2.0,4.0,0.0,3.0,8.0,4.0,31.0
8,BAL,KC,24.0,2,1.0,2.0,1.0,0.0,11.0,6.0,58.0,71.0,4.0,8.0,5.0,2.0,7.0,0.0,3.0,8.0,3.0,42.0
9,ATL,MIA,22.0,1,1.0,3.0,0.0,0.0,8.0,4.0,49.0,72.0,6.0,3.0,3.0,0.0,3.0,0.0,4.0,9.0,3.0,43.0
10,ARI,SF,29.0,5,2.0,1.0,1.0,0.0,16.0,11.0,42.0,82.0,7.0,3.0,2.0,1.0,3.0,0.0,5.0,14.0,2.0,44.0
11,SEA,STL,28.0,8,2.0,2.0,2.0,0.0,14.0,4.0,52.0,75.0,3.0,4.0,3.0,1.0,4.0,0.0,1.0,13.0,4.0,42.0
12,NYG,WAS,14.0,2,2.0,3.0,2.0,0.0,8.0,7.0,52.0,59.0,4.0,4.0,2.0,1.0,3.0,0.0,4.0,6.0,5.0,39.0
13,GB,CHI,26.0,3,4.0,0.0,0.0,1.0,9.0,9.0,53.0,71.0,6.0,3.0,2.0,1.0,2.0,1.0,5.0,10.0,0.0,34.0
14,NE,BUF,23.0,1,1.0,2.0,1.0,0.0,15.0,5.0,42.0,85.0,5.0,6.0,4.0,1.0,3.0,2.0,4.0,5.0,3.0,54.0
15,OAK,SD,27.0,1,3.0,2.0,1.0,0.0,15.0,5.0,55.0,72.0,4.0,5.0,2.0,3.0,5.0,0.0,3.0,9.0,3.0,38.0
16,ATL,CAR,20.0,7,2.0,3.0,0.0,0.0,12.0,3.0,62.0,69.0,1.0,6.0,4.0,2.0,6.0,0.0,2.0,5.0,3.0,46.0
17,DET,MIN,14.0,0,2.0,3.0,1.0,0.0,11.0,7.0,59.0,63.0,5.0,4.0,3.0,1.0,4.0,0.0,4.0,8.0,4.0,42.0
18,WAS,STL,26.0,1,0.0,3.0,1.0,0.0,11.0,4.0,54.0,66.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,4.0,38.0
19,TEN,HOU,25.0,4,1.0,2.0,4.0,0.0,14.0,8.0,55.0,73.0,1.0,8.0,6.0,2.0,8.0,0.0,3.0,11.0,6.0,46.0
20,PHI,NO,26.0,3,4.0,2.0,1.0,1.0,10.0,4.0,50.0,90.0,4.0,8.0,5.0,2.0,7.0,0.0,4.0,8.0,3.0,56.0
21,NYJ,NE,31.0,2,1.0,2.0,0.0,0.0,19.0,3.0,51.0,71.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,11.0,2.0,37.0
22,KC,OAK,30.0,6,2.0,0.0,2.0,0.0,16.0,3.0,63.0,67.0,4.0,2.0,1.0,1.0,2.0,0.0,3.0,12.0,2.0,31.0
23,JAC,ARI,24.0,5,1.0,7.0,2.0,0.0,15.0,5.0,48.0,79.0,4.0,6.0,4.0,1.0,5.0,0.0,4.0,7.0,9.0,50.0
24,GB,CIN,24.0,3,2.0,3.0,1.0,0.0,24.0,2.0,52.0,70.0,8.0,7.0,4.0,2.0,6.0,0.0,3.0,10.0,4.0,36.0
25,SF,SEA,23.0,2,1.0,1.0,3.0,0.0,12.0,4.0,52.0,73.0,5.0,3.0,1.0,2.0,3.0,0.0,4.0,13.0,4.0,44.0
26,BUF,TB,31.0,3,3.0,1.0,1.0,0.0,20.0,8.0,54.0,86.0,4.0,6.0,5.0,0.0,4.0,1.0,4.0,9.0,2.0,47.0
27,SD,BAL,26.0,1,3.0,2.0,1.0,0.0,16.0,6.0,53.0,75.0,3.0,6.0,4.0,2.0,6.0,0.0,5.0,6.0,3.0,43.0
28,DEN,CLE,30.0,5,1.0,2.0,1.0,0.0,9.0,2.0,58.0,72.0,4.0,3.0,1.0,2.0,3.0,0.0,6.0,8.0,3.0,37.0
29,CHI,PIT,22.0,1,1.0,2.0,0.0,0.0,16.0,6.0,40.0,76.0,3.0,4.0,3.0,1.0,4.0,0.0,3.0,9.0,2.0,50.0
30,DAL,NYG,26.0,1,3.0,0.0,1.0,0.0,8.0,6.0,55.0,67.0,0.0,7.0,3.0,3.0,6.0,0.0,6.0,9.0,1.0,38.0
31,MIA,IND,19.0,4,1.0,1.0,0.0,0.0,8.0,1.0,60.0,59.0,3.0,5.0,2.0,3.0,5.0,0.0,6.0,4.0,1.0,36.0
32,BAL,CLE,17.0,2,4.0,1.0,0.0,0.0,13.0,8.0,51.0,67.0,3.0,4.0,1.0,3.0,4.0,0.0,3.0,9.0,1.0,43.0
33,NYJ,TEN,32.0,3,3.0,3.0,1.0,0.0,6.0,11.0,61.0,72.0,5.0,5.0,3.0,2.0,5.0,0.0,2.0,16.0,4.0,32.0
34,DET,WAS,28.0,1,1.0,1.0,2.0,0.0,17.0,7.0,50.0,82.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,11.0,3.0,48.0
35,HOU,JAC,20.0,2,1.0,2.0,0.0,0.0,10.0,4.0,53.0,67.0,2.0,7.0,3.0,4.0,7.0,0.0,2.0,7.0,2.0,44.0
36,MIN,SF,30.0,4,2.0,1.0,0.0,0.0,16.0,9.0,53.0,74.0,3.0,6.0,4.0,0.0,5.0,0.0,4.0,15.0,1.0,39.0
37,NE,ATL,28.0,2,0.0,1.0,1.0,0.0,9.0,3.0,56.0,70.0,0.0,3.0,1.0,2.0,3.0,0.0,5.0,7.0,2.0,42.0
38,TB,NYG,25.0,2,1.0,0.0,0.0,0.0,10.0,4.0,59.0,53.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,11.0,0.0,27.0
39,PHI,KC,16.0,2,0.0,2.0,2.0,0.0,13.0,7.0,56.0,58.0,3.0,6.0,4.0,2.0,6.0,0.0,2.0,12.0,4.0,39.0
40,STL,GB,25.0,2,1.0,2.0,0.0,0.0,12.0,5.0,70.0,61.0,3.0,6.0,4.0,2.0,6.0,0.0,5.0,8.0,2.0,32.0
41,BUF,NO,27.0,3,1.0,2.0,0.0,0.0,21.0,5.0,59.0,71.0,6.0,4.0,1.0,3.0,4.0,0.0,2.0,14.0,2.0,37.0
42,SEA,CHI,22.0,3,2.0,3.0,2.0,0.0,10.0,7.0,56.0,77.0,5.0,4.0,4.0,0.0,3.0,1.0,8.0,6.0,5.0,47.0
43,CIN,PIT,25.0,1,1.0,0.0,0.0,0.0,9.0,4.0,47.0,73.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,7.0,0.0,42.0
44,SD,MIA,27.0,2,1.0,1.0,1.0,0.0,10.0,6.0,59.0,67.0,3.0,3.0,0.0,2.0,2.0,0.0,6.0,6.0,2.0,36.0
45,OAK,DEN,17.0,5,2.0,3.0,1.0,0.0,11.0,4.0,68.0,47.0,3.0,2.0,1.0,1.0,2.0,0.0,4.0,6.0,4.0,25.0
46,ARI,IND,30.0,6,3.0,2.0,2.0,0.0,12.0,6.0,43.0,93.0,4.0,5.0,5.0,0.0,5.0,0.0,3.0,10.0,4.0,56.0
47,DAL,CAR,20.0,4,2.0,2.0,0.0,0.0,15.0,3.0,48.0,71.0,5.0,3.0,1.0,1.0,2.0,0.0,3.0,11.0,2.0,44.0
48,CHI,DET,26.0,1,1.0,3.0,0.0,0.0,10.0,5.0,46.0,82.0,7.0,9.0,3.0,5.0,9.0,0.0,3.0,9.0,3.0,48.0
49,CLE,CIN,41.0,2,2.0,3.0,0.0,0.0,11.0,2.0,63.0,96.0,4.0,5.0,3.0,1.0,4.0,0.0,4.0,18.0,3.0,49.0
50,HOU,OAK,31.0,1,1.0,2.0,3.0,1.0,10.0,11.0,63.0,61.0,6.0,3.0,1.0,1.0,3.0,0.0,5.0,15.0,5.0,23.0
51,IND,SEA,21.0,7,1.0,3.0,0.0,0.0,13.0,1.0,41.0,91.0,5.0,6.0,3.0,3.0,6.0,0.0,3.0,7.0,3.0,64.0
52,JAC,TEN,27.0,7,2.0,1.0,1.0,0.0,10.0,4.0,50.0,88.0,2.0,6.0,4.0,2.0,4.0,2.0,5.0,8.0,2.0,56.0
53,KC,NYG,32.0,3,1.0,5.0,1.0,0.0,15.0,6.0,59.0,75.0,7.0,5.0,5.0,0.0,4.0,1.0,4.0,11.0,6.0,35.0
54,NE,BAL,30.0,4,1.0,3.0,0.0,0.0,14.0,6.0,47.0,84.0,5.0,6.0,3.0,2.0,5.0,0.0,2.0,6.0,3.0,48.0
55,WAS,TB,15.0,3,4.0,2.0,1.0,0.0,9.0,5.0,65.0,50.0,6.0,3.0,3.0,0.0,3.0,0.0,5.0,9.0,3.0,25.0
56,MIA,BUF,17.0,1,3.0,4.0,0.0,0.0,8.0,6.0,62.0,60.0,12.0,6.0,2.0,3.0,5.0,0.0,3.0,10.0,4.0,28.0
57,NO,NYJ,22.0,7,3.0,3.0,0.0,0.0,10.0,3.0,59.0,63.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,11.0,3.0,34.0
58,DEN,DAL,25.0,5,1.0,2.0,2.0,0.0,17.0,4.0,50.0,79.0,8.0,3.0,2.0,1.0,3.0,0.0,2.0,12.0,4.0,45.0
59,SF,STL,20.0,3,1.0,0.0,4.0,0.0,13.0,5.0,57.0,57.0,9.0,5.0,2.0,0.0,2.0,0.0,2.0,15.0,4.0,27.0
60,PIT,SD,22.0,0,0.0,4.0,1.0,0.0,9.0,3.0,44.0,76.0,6.0,9.0,6.0,2.0,8.0,0.0,1.0,8.0,5.0,48.0
61,MIN,GB,18.0,2,1.0,1.0,2.0,1.0,10.0,5.0,47.0,78.0,8.0,7.0,5.0,1.0,5.0,1.0,1.0,7.0,3.0,50.0
62,STL,MIN,15.0,4,2.0,3.0,1.0,0.0,12.0,4.0,54.0,69.0,4.0,6.0,2.0,3.0,5.0,0.0,2.0,5.0,4.0,48.0
63,PHI,TB,28.0,3,3.0,2.0,1.0,1.0,14.0,7.0,43.0,80.0,6.0,6.0,5.0,1.0,6.0,0.0,1.0,9.0,3.0,43.0
64,KC,DAL,32.0,1,0.0,0.0,4.0,0.0,20.0,7.0,55.0,80.0,5.0,5.0,4.0,1.0,4.0,0.0,6.0,12.0,4.0,43.0
65,DET,PIT,19.0,0,2.0,2.0,3.0,0.0,12.0,5.0,46.0,77.0,10.0,6.0,4.0,1.0,5.0,0.0,3.0,7.0,5.0,46.0
66,CAR,WAS,14.0,3,1.0,5.0,2.0,1.0,9.0,4.0,56.0,57.0,8.0,4.0,2.0,2.0,3.0,1.0,2.0,9.0,7.0,33.0
67,BUF,CLE,28.0,3,2.0,0.0,2.0,0.0,16.0,8.0,76.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,2.0,18.0
68,NYG,OAK,12.0,1,0.0,4.0,2.0,0.0,11.0,4.0,66.0,43.0,6.0,6.0,2.0,4.0,6.0,0.0,3.0,10.0,6.0,25.0
69,BAL,CIN,19.0,2,3.0,1.0,2.0,0.0,17.0,5.0,52.0,65.0,3.0,4.0,2.0,1.0,3.0,0.0,2.0,10.0,3.0,40.0
70,SF,ATL,31.0,3,2.0,5.0,0.0,0.0,16.0,3.0,57.0,73.0,3.0,7.0,2.0,5.0,7.0,0.0,3.0,9.0,5.0,37.0
71,SEA,JAC,25.0,1,0.0,3.0,1.0,0.0,10.0,5.0,55.0,68.0,6.0,5.0,4.0,0.0,4.0,0.0,2.0,11.0,4.0,37.0
72,DEN,NE,26.0,4,1.0,4.0,0.0,0.0,7.0,3.0,52.0,84.0,3.0,4.0,4.0,0.0,4.0,0.0,5.0,10.0,4.0,54.0
