,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble  Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,DEN,BAL,41.0,16,2.0,2.0,2.0,0.0,15.0,6.0,44.0,111.0,7.0,10.0,9.0,1.0,10.0,0.0,2.0,17.0,4.0,61.0
1,BUF,NE,31.0,9,1.0,3.0,2.0,0.0,14.0,5.0,69.0,81.0,2.0,5.0,4.0,0.0,4.0,0.0,3.0,15.0,5.0,47.0
2,PIT,TEN,20.0,3,1.0,0.0,3.0,1.0,10.0,6.0,57.0,59.0,6.0,2.0,1.0,1.0,2.0,0.0,3.0,12.0,3.0,32.0
3,NO,ATL,20.0,11,2.0,2.0,0.0,0.0,8.0,6.0,43.0,78.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,9.0,2.0,51.0
4,NYJ,TB,29.0,8,2.0,4.0,1.0,1.0,19.0,7.0,54.0,78.0,8.0,3.0,2.0,1.0,3.0,0.0,4.0,14.0,5.0,39.0
5,JAC,KC,33.0,8,2.0,0.0,1.0,1.0,8.0,2.0,51.0,82.0,7.0,4.0,2.0,1.0,3.0,0.0,0.0,21.0,1.0,40.0
6,CAR,SEA,15.0,6,0.0,3.0,1.0,0.0,13.0,3.0,51.0,60.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,9.0,4.0,41.0
7,CHI,CIN,16.0,9,3.0,2.0,0.0,0.0,12.0,7.0,49.0,67.0,1.0,6.0,4.0,2.0,6.0,0.0,1.0,9.0,2.0,47.0
8,CLE,MIA,37.0,4,4.0,1.0,1.0,0.0,19.0,7.0,36.0,101.0,10.0,3.0,2.0,1.0,3.0,0.0,4.0,10.0,2.0,50.0
9,DET,MIN,21.0,10,4.0,1.0,3.0,0.0,16.0,5.0,55.0,75.0,4.0,7.0,3.0,4.0,7.0,0.0,3.0,9.0,4.0,46.0
