,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble  Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,DEN,CAR,20.0,10,3.0,1.0,0.0,0.0,12.0,1.0,61.0,64.0,5.0,5.0,2.0,3.0,5.0,0.0,3.0,7.0,1.0,36.0
1,ATL,TB,21.0,8,1.0,0.0,0.0,0.0,13.0,5.0,50.0,76.0,3.0,6.0,6.0,0.0,5.0,1.0,4.0,10.0,0.0,50.0
2,TEN,MIN,30.0,5,1.0,1.0,1.0,0.0,5.0,11.0,50.0,77.0,2.0,4.0,2.0,0.0,1.0,1.0,7.0,8.0,2.0,43.0
3,PHI,CLE,28.0,11,1.0,1.0,3.0,1.0,11.0,4.0,55.0,68.0,5.0,4.0,2.0,2.0,4.0,0.0,4.0,11.0,4.0,34.0
4,NYJ,CIN,21.0,5,2.0,0.0,1.0,0.0,12.0,6.0,49.0,73.0,8.0,4.0,3.0,1.0,4.0,0.0,8.0,6.0,1.0,42.0
5,NO,OAK,28.0,7,0.0,2.0,1.0,0.0,21.0,4.0,48.0,84.0,1.0,8.0,5.0,3.0,5.0,3.0,6.0,6.0,3.0,52.0
6,KC,SD,24.0,12,1.0,0.0,0.0,0.0,11.0,4.0,51.0,88.0,4.0,7.0,3.0,4.0,6.0,0.0,5.0,10.0,0.0,59.0
7,BAL,BUF,18.0,4,0.0,0.0,1.0,0.0,14.0,7.0,52.0,62.0,6.0,2.0,1.0,1.0,2.0,0.0,3.0,10.0,1.0,38.0
8,HOU,CHI,24.0,1,2.0,2.0,1.0,0.0,10.0,5.0,55.0,71.0,7.0,4.0,3.0,1.0,4.0,0.0,3.0,12.0,3.0,38.0
9,JAC,GB,28.0,9,1.0,2.0,0.0,0.0,14.0,9.0,51.0,77.0,4.0,5.0,3.0,2.0,5.0,0.0,5.0,6.0,2.0,44.0
10,SEA,MIA,28.0,4,1.0,1.0,2.0,0.0,12.0,4.0,52.0,79.0,7.0,2.0,1.0,1.0,2.0,0.0,4.0,13.0,3.0,43.0
11,DAL,NYG,28.0,10,1.0,1.0,0.0,0.0,10.0,5.0,54.0,75.0,2.0,4.0,3.0,1.0,4.0,0.0,4.0,8.0,1.0,44.0
12,IND,DET,24.0,12,0.0,0.0,0.0,1.0,13.0,4.0,43.0,90.0,3.0,9.0,7.0,2.0,8.0,1.0,3.0,8.0,0.0,62.0
13,ARI,NE,22.0,5,0.0,2.0,2.0,0.0,14.0,4.0,50.0,75.0,5.0,5.0,3.0,2.0,5.0,0.0,4.0,7.0,4.0,48.0
14,WAS,PIT,20.0,11,3.0,2.0,1.0,0.0,13.0,3.0,42.0,81.0,1.0,6.0,3.0,3.0,6.0,0.0,4.0,3.0,3.0,57.0
15,SF,LA,29.0,4,2.0,2.0,0.0,0.0,11.0,6.0,65.0,72.0,2.0,4.0,1.0,3.0,4.0,0.0,0.0,17.0,2.0,39.0
16,BUF,NYJ,21.0,4,1.0,3.0,0.0,0.0,12.0,5.0,55.0,66.0,1.0,8.0,4.0,3.0,7.0,0.0,4.0,5.0,3.0,43.0
17,CAR,SF,32.0,6,3.0,3.0,1.0,0.0,14.0,6.0,63.0,79.0,3.0,8.0,6.0,1.0,7.0,0.0,6.0,10.0,4.0,41.0
18,WAS,DAL,25.0,8,1.0,2.0,0.0,0.0,14.0,5.0,47.0,82.0,6.0,5.0,1.0,4.0,5.0,0.0,5.0,5.0,2.0,50.0
19,PIT,CIN,39.0,9,2.0,1.0,1.0,0.0,10.0,4.0,54.0,93.0,2.0,4.0,4.0,0.0,4.0,0.0,4.0,17.0,2.0,50.0
20,NYG,NO,24.0,8,0.0,3.0,0.0,0.0,10.0,6.0,45.0,89.0,4.0,2.0,1.0,0.0,1.0,0.0,7.0,9.0,3.0,61.0
21,NE,MIA,23.0,9,2.0,5.0,1.0,0.0,12.0,4.0,54.0,83.0,2.0,7.0,5.0,2.0,7.0,0.0,3.0,8.0,6.0,56.0
22,HOU,KC,29.0,1,2.0,2.0,1.0,0.0,14.0,5.0,53.0,76.0,6.0,1.0,1.0,0.0,1.0,0.0,9.0,11.0,3.0,39.0
23,DET,TEN,24.0,5,2.0,1.0,0.0,1.0,29.0,6.0,47.0,81.0,7.0,3.0,3.0,0.0,2.0,1.0,4.0,8.0,1.0,47.0
