,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble Not Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,SEA,GB,18.0,5,1.0,2.0,1.0,1.0,12.0,1.0,58.0,66.0,4.0,6.0,3.0,3.0,5.0,1.0,3.0,6.0,3.0,42.0
1,ATL,NO,24.0,14,1.0,2.0,0.0,0.0,13.0,2.0,53.0,86.0,1.0,8.0,4.0,4.0,8.0,0.0,5.0,5.0,2.0,60.0
2,LA,MIN,18.0,7,2.0,1.0,4.0,0.0,20.0,5.0,52.0,67.0,6.0,4.0,2.0,1.0,3.0,0.0,5.0,11.0,5.0,41.0
3,PIT,CLE,22.0,7,1.0,0.0,1.0,0.0,19.0,6.0,58.0,73.0,7.0,6.0,2.0,4.0,6.0,0.0,5.0,13.0,1.0,43.0
4,PHI,JAC,36.0,9,1.0,3.0,0.0,0.0,13.0,12.0,57.0,96.0,8.0,6.0,4.0,1.0,5.0,0.0,5.0,14.0,3.0,51.0
5,NYJ,OAK,17.0,4,1.0,3.0,0.0,0.0,16.0,7.0,49.0,66.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,14.0,3.0,43.0
6,BAL,CIN,39.0,7,1.0,1.0,1.0,0.0,7.0,2.0,47.0,104.0,3.0,3.0,2.0,1.0,1.0,2.0,8.0,8.0,2.0,60.0
7,CHI,BUF,18.0,8,3.0,1.0,1.0,0.0,13.0,4.0,51.0,74.0,3.0,4.0,3.0,1.0,4.0,0.0,5.0,9.0,2.0,50.0
8,HOU,WAS,16.0,5,0.0,2.0,3.0,0.0,13.0,5.0,56.0,63.0,4.0,3.0,1.0,1.0,2.0,0.0,1.0,12.0,5.0,43.0
9,KC,TEN,24.0,6,3.0,1.0,0.0,0.0,15.0,2.0,55.0,76.0,8.0,3.0,3.0,0.0,3.0,0.0,6.0,11.0,1.0,41.0
10,MIA,NE,40.0,8,1.0,4.0,2.0,0.0,13.0,2.0,58.0,93.0,5.0,5.0,3.0,2.0,5.0,0.0,6.0,8.0,6.0,47.0
11,TB,CAR,21.0,5,2.0,2.0,2.0,0.0,9.0,5.0,50.0,73.0,4.0,4.0,4.0,0.0,4.0,0.0,3.0,11.0,4.0,46.0
12,DAL,SF,18.0,7,3.0,1.0,2.0,0.0,21.0,3.0,53.0,64.0,4.0,6.0,3.0,2.0,5.0,0.0,2.0,6.0,3.0,39.0
13,DEN,IND,30.0,11,2.0,3.0,0.0,0.0,16.0,3.0,46.0,93.0,4.0,7.0,5.0,2.0,7.0,0.0,2.0,9.0,3.0,57.0
14,DET,NYG,23.0,9,2.0,1.0,0.0,0.0,12.0,6.0,52.0,69.0,3.0,6.0,3.0,3.0,5.0,1.0,3.0,7.0,1.0,40.0
15,ARI,LAC,27.0,8,1.0,2.0,1.0,0.0,11.0,8.0,51.0,76.0,2.0,4.0,3.0,1.0,2.0,2.0,3.0,11.0,3.0,45.0
16,BAL,PIT,22.0,9,1.0,1.0,1.0,0.0,13.0,2.0,54.0,68.0,2.0,2.0,2.0,0.0,2.0,0.0,6.0,6.0,2.0,43.0
17,BUF,MIA,27.0,5,1.0,0.0,1.0,0.0,9.0,5.0,54.0,79.0,4.0,3.0,2.0,0.0,3.0,0.0,7.0,10.0,1.0,47.0
18,WAS,JAC,25.0,6,1.0,0.0,0.0,0.0,17.0,4.0,52.0,77.0,13.0,6.0,3.0,3.0,6.0,0.0,3.0,12.0,0.0,38.0
19,TEN,DAL,24.0,8,2.0,1.0,1.0,0.0,9.0,5.0,56.0,69.0,6.0,3.0,2.0,1.0,3.0,0.0,5.0,9.0,2.0,37.0
20,NYG,ARI,26.0,3,2.0,1.0,1.0,0.0,16.0,3.0,55.0,74.0,6.0,4.0,2.0,1.0,3.0,0.0,4.0,8.0,2.0,40.0
21,MIN,NE,20.0,6,4.0,1.0,1.0,0.0,22.0,4.0,56.0,65.0,7.0,4.0,2.0,1.0,3.0,0.0,4.0,10.0,2.0,34.0
22,CLE,NO,29.0,6,1.0,1.0,0.0,0.0,9.0,3.0,57.0,84.0,3.0,6.0,3.0,2.0,5.0,0.0,3.0,10.0,1.0,51.0
23,CIN,ATL,25.0,3,3.0,0.0,0.0,0.0,14.0,4.0,64.0,70.0,2.0,4.0,2.0,2.0,4.0,0.0,5.0,10.0,0.0,40.0
