,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble Not Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
24,CAR,DET,32.0,8,1.0,3.0,0.0,0.0,9.0,8.0,42.0,92.0,9.0,3.0,2.0,1.0,2.0,1.0,5.0,11.0,3.0,49.0
25,TB,LA,11.0,4,1.0,1.0,2.0,0.0,9.0,8.0,59.0,53.0,3.0,3.0,0.0,3.0,3.0,0.0,6.0,4.0,3.0,38.0
26,LAC,SEA,17.0,6,0.0,2.0,3.0,0.0,14.0,5.0,50.0,65.0,3.0,6.0,5.0,1.0,6.0,0.0,3.0,7.0,5.0,45.0
27,OAK,HOU,18.0,5,2.0,2.0,1.0,0.0,12.0,5.0,63.0,61.0,0.0,5.0,3.0,2.0,5.0,0.0,4.0,5.0,3.0,41.0
28,GB,NYJ,32.0,7,1.0,0.0,4.0,0.0,10.0,3.0,59.0,81.0,6.0,6.0,4.0,2.0,5.0,1.0,4.0,9.0,4.0,41.0
29,DEN,KC,21.0,7,0.0,1.0,0.0,0.0,18.0,5.0,50.0,71.0,3.0,5.0,3.0,2.0,5.0,0.0,3.0,5.0,1.0,47.0
30,SF,CHI,21.0,7,3.0,1.0,2.0,0.0,26.0,7.0,44.0,73.0,5.0,6.0,5.0,1.0,6.0,0.0,2.0,7.0,3.0,44.0
31,IND,PHI,28.0,9,2.0,2.0,0.0,0.0,15.0,9.0,66.0,71.0,0.0,6.0,4.0,2.0,6.0,0.0,6.0,8.0,2.0,41.0
32,ATL,TB,16.0,7,2.0,5.0,3.0,0.0,16.0,7.0,54.0,68.0,4.0,10.0,4.0,3.0,7.0,0.0,1.0,9.0,8.0,46.0
33,BUF,LAC,24.0,8,0.0,1.0,0.0,1.0,17.0,7.0,59.0,69.0,4.0,3.0,3.0,0.0,3.0,0.0,3.0,11.0,1.0,41.0
34,LA,DAL,14.0,8,3.0,1.0,1.0,0.0,11.0,6.0,59.0,65.0,0.0,8.0,5.0,1.0,6.0,0.0,3.0,3.0,2.0,48.0
35,PHI,WAS,31.0,10,1.0,3.0,0.0,0.0,19.0,5.0,54.0,90.0,0.0,8.0,6.0,1.0,8.0,0.0,6.0,7.0,3.0,58.0
36,NYG,HOU,18.0,7,3.0,1.0,2.0,0.0,9.0,4.0,67.0,66.0,3.0,5.0,3.0,2.0,5.0,0.0,4.0,9.0,3.0,42.0
37,NO,MIN,21.0,4,0.0,0.0,1.0,0.0,9.0,6.0,54.0,68.0,3.0,3.0,2.0,1.0,3.0,0.0,3.0,8.0,1.0,44.0
38,CIN,TEN,23.0,8,3.0,0.0,2.0,1.0,18.0,1.0,59.0,62.0,2.0,5.0,1.0,4.0,5.0,0.0,3.0,8.0,2.0,34.0
39,CLE,BAL,17.0,10,1.0,0.0,1.0,0.0,17.0,10.0,62.0,57.0,1.0,5.0,2.0,3.0,5.0,0.0,5.0,7.0,1.0,38.0
40,DET,GB,21.0,5,2.0,2.0,0.0,1.0,11.0,7.0,60.0,65.0,4.0,3.0,1.0,1.0,2.0,0.0,2.0,7.0,2.0,38.0
41,JAC,IND,21.0,13,2.0,1.0,0.0,0.0,10.0,5.0,49.0,80.0,6.0,7.0,6.0,0.0,6.0,0.0,4.0,7.0,1.0,51.0
42,NE,OAK,25.0,7,1.0,0.0,1.0,0.0,12.0,4.0,54.0,73.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,10.0,1.0,45.0
43,ARI,SF,23.0,7,0.0,1.0,0.0,0.0,14.0,4.0,51.0,72.0,1.0,4.0,3.0,1.0,4.0,0.0,4.0,5.0,1.0,48.0
44,SEA,DEN,26.0,9,2.0,1.0,0.0,1.0,11.0,8.0,57.0,89.0,4.0,5.0,4.0,1.0,3.0,1.0,4.0,14.0,1.0,56.0
45,MIA,KC,28.0,0,0.0,4.0,1.0,1.0,10.0,4.0,61.0,78.0,9.0,6.0,4.0,2.0,5.0,1.0,3.0,12.0,5.0,40.0
46,CAR,PIT,20.0,11,0.0,2.0,1.0,0.0,18.0,4.0,44.0,76.0,4.0,6.0,4.0,1.0,4.0,1.0,5.0,7.0,2.0,51.0
47,NYJ,CHI,30.0,5,2.0,4.0,1.0,0.0,15.0,4.0,47.0,88.0,7.0,4.0,3.0,0.0,3.0,0.0,6.0,8.0,5.0,49.0
48,WAS,NYG,20.0,7,5.0,2.0,0.0,0.0,18.0,2.0,55.0,75.0,3.0,8.0,5.0,3.0,8.0,0.0,1.0,9.0,2.0,47.0
49,CHI,GB,16.0,5,2.0,1.0,2.0,0.0,15.0,2.0,59.0,65.0,2.0,7.0,6.0,1.0,7.0,0.0,3.0,0.0,3.0,45.0
50,HOU,BUF,31.0,9,4.0,2.0,1.0,0.0,16.0,8.0,47.0,85.0,4.0,4.0,3.0,0.0,3.0,0.0,4.0,15.0,3.0,46.0
51,IND,TEN,23.0,9,3.0,0.0,2.0,0.0,17.0,3.0,57.0,72.0,3.0,7.0,5.0,2.0,7.0,0.0,3.0,10.0,2.0,43.0
52,BAL,CAR,23.0,10,0.0,1.0,1.0,0.0,11.0,4.0,56.0,67.0,2.0,6.0,4.0,2.0,6.0,0.0,3.0,5.0,2.0,42.0
53,NYJ,DET,25.0,8,1.0,1.0,1.0,0.0,11.0,5.0,54.0,73.0,6.0,5.0,3.0,2.0,5.0,0.0,3.0,12.0,2.0,41.0
54,PIT,TB,32.0,7,1.0,2.0,0.0,0.0,22.0,8.0,47.0,90.0,6.0,6.0,5.0,1.0,6.0,0.0,4.0,7.0,2.0,51.0
55,OAK,MIA,20.0,4,4.0,3.0,1.0,0.0,14.0,4.0,53.0,77.0,2.0,7.0,4.0,2.0,6.0,0.0,1.0,8.0,4.0,51.0
56,LAC,JAC,16.0,4,2.0,1.0,1.0,0.0,10.0,4.0,45.0,81.0,5.0,5.0,4.0,1.0,5.0,0.0,4.0,5.0,2.0,58.0
57,SF,PHI,32.0,8,3.0,2.0,0.0,0.0,20.0,5.0,54.0,78.0,5.0,5.0,2.0,0.0,2.0,0.0,4.0,12.0,2.0,38.0
58,MIN,ATL,25.0,9,2.0,0.0,0.0,0.0,11.0,2.0,66.0,73.0,1.0,8.0,3.0,5.0,7.0,1.0,5.0,7.0,0.0,44.0
59,DAL,NO,18.0,10,1.0,2.0,1.0,0.0,9.0,5.0,48.0,76.0,3.0,7.0,5.0,2.0,7.0,0.0,3.0,6.0,3.0,54.0
60,KC,NE,14.0,7,2.0,2.0,0.0,0.0,7.0,0.0,54.0,61.0,5.0,7.0,5.0,1.0,6.0,0.0,2.0,10.0,2.0,40.0
61,GB,MIN,26.0,6,3.0,1.0,0.0,0.0,14.0,2.0,53.0,74.0,8.0,7.0,3.0,3.0,6.0,0.0,1.0,13.0,1.0,37.0
62,CAR,CHI,21.0,9,3.0,6.0,0.0,0.0,13.0,6.0,49.0,77.0,6.0,7.0,4.0,2.0,6.0,0.0,3.0,9.0,6.0,47.0
63,TEN,CLE,26.0,6,1.0,0.0,0.0,1.0,14.0,3.0,66.0,73.0,4.0,7.0,6.0,1.0,7.0,0.0,2.0,8.0,0.0,42.0
64,PHI,LA,32.0,6,1.0,4.0,1.0,0.0,14.0,6.0,56.0,90.0,4.0,8.0,5.0,1.0,6.0,0.0,2.0,9.0,5.0,53.0
65,NYG,ATL,26.0,4,1.0,3.0,0.0,0.0,11.0,4.0,55.0,77.0,2.0,5.0,3.0,2.0,5.0,0.0,5.0,8.0,3.0,48.0
66,NO,TB,31.0,9,4.0,1.0,1.0,1.0,20.0,5.0,50.0,91.0,1.0,8.0,4.0,3.0,5.0,1.0,4.0,6.0,2.0,54.0
67,DAL,HOU,20.0,7,2.0,2.0,0.0,0.0,12.0,4.0,64.0,67.0,1.0,4.0,2.0,2.0,4.0,0.0,4.0,11.0,2.0,44.0
68,DET,BUF,24.0,8,2.0,3.0,3.0,0.0,19.0,4.0,43.0,82.0,8.0,3.0,2.0,0.0,1.0,1.0,7.0,15.0,6.0,48.0
69,IND,BAL,30.0,5,3.0,4.0,1.0,0.0,11.0,5.0,45.0,92.0,5.0,3.0,1.0,2.0,3.0,0.0,4.0,8.0,5.0,54.0
70,JAC,PIT,22.0,3,2.0,1.0,3.0,0.0,11.0,2.0,43.0,77.0,5.0,2.0,1.0,0.0,1.0,0.0,4.0,10.0,4.0,48.0
71,DEN,ARI,36.0,14,2.0,0.0,1.0,0.0,10.0,8.0,47.0,85.0,4.0,7.0,5.0,2.0,7.0,0.0,5.0,15.0,1.0,43.0
72,SF,KC,26.0,3,1.0,2.0,0.0,0.0,6.0,7.0,59.0,61.0,3.0,3.0,3.0,0.0,3.0,0.0,6.0,6.0,2.0,31.0
73,LAC,NYJ,25.0,4,2.0,1.0,0.0,0.0,17.0,5.0,61.0,64.0,5.0,4.0,3.0,1.0,4.0,0.0,1.0,13.0,1.0,32.0
74,NE,CIN,23.0,6,0.0,3.0,0.0,0.0,16.0,3.0,64.0,66.0,2.0,6.0,4.0,1.0,5.0,0.0,7.0,7.0,3.0,41.0
75,WAS,SEA,21.0,8,0.0,1.0,2.0,0.0,16.0,3.0,53.0,64.0,4.0,5.0,4.0,1.0,5.0,0.0,3.0,14.0,3.0,39.0
76,HOU,IND,26.0,9,1.0,2.0,1.0,0.0,10.0,6.0,60.0,75.0,8.0,8.0,4.0,3.0,6.0,1.0,3.0,8.0,3.0,40.0
77,CLE,PIT,29.0,6,1.0,1.0,3.0,0.0,12.0,7.0,70.0,62.0,3.0,5.0,2.0,3.0,5.0,0.0,2.0,13.0,4.0,29.0
78,BUF,NE,23.0,10,1.0,2.0,0.0,0.0,17.0,9.0,51.0,83.0,7.0,7.0,6.0,1.0,6.0,1.0,4.0,9.0,2.0,51.0
79,CIN,CAR,24.0,8,3.0,0.0,0.0,0.0,21.0,6.0,65.0,90.0,1.0,8.0,4.0,4.0,8.0,0.0,8.0,2.0,0.0,62.0
80,TEN,JAC,24.0,8,1.0,2.0,0.0,0.0,11.0,5.0,47.0,83.0,9.0,3.0,1.0,2.0,3.0,0.0,4.0,11.0,2.0,49.0
81,MIA,GB,27.0,9,2.0,1.0,1.0,0.0,9.0,6.0,57.0,77.0,4.0,6.0,5.0,1.0,6.0,0.0,3.0,8.0,2.0,44.0
82,MIN,DET,25.0,5,3.0,1.0,0.0,0.0,14.0,6.0,46.0,82.0,12.0,2.0,1.0,1.0,2.0,0.0,4.0,14.0,1.0,42.0
83,NYJ,DEN,30.0,3,1.0,1.0,3.0,0.0,13.0,3.0,48.0,82.0,6.0,6.0,5.0,0.0,5.0,0.0,2.0,15.0,4.0,45.0
84,TB,BAL,27.0,9,1.0,0.0,1.0,0.0,13.0,6.0,53.0,78.0,5.0,8.0,7.0,1.0,8.0,0.0,5.0,7.0,1.0,45.0
85,OAK,LAC,28.0,8,1.0,0.0,2.0,0.0,18.0,2.0,53.0,70.0,1.0,8.0,7.0,1.0,8.0,0.0,2.0,7.0,2.0,40.0
86,ATL,CHI,29.0,6,1.0,1.0,0.0,0.0,13.0,2.0,41.0,83.0,7.0,4.0,2.0,2.0,3.0,1.0,4.0,10.0,1.0,45.0
87,SEA,DAL,24.0,5,1.0,0.0,3.0,0.0,15.0,3.0,55.0,63.0,3.0,5.0,2.0,2.0,4.0,0.0,6.0,7.0,3.0,35.0
88,ARI,WAS,27.0,9,3.0,2.0,1.0,0.0,20.0,3.0,40.0,85.0,3.0,5.0,4.0,0.0,4.0,0.0,5.0,12.0,3.0,52.0
89,PHI,NYG,22.0,7,2.0,3.0,1.0,0.0,13.0,4.0,59.0,71.0,9.0,3.0,2.0,1.0,3.0,0.0,2.0,16.0,4.0,38.0
90,LA,SF,34.0,7,1.0,2.0,0.0,0.0,13.0,8.0,54.0,83.0,5.0,6.0,4.0,1.0,5.0,0.0,2.0,13.0,2.0,43.0
91,NE,NYJ,31.0,5,0.0,0.0,1.0,0.0,16.0,4.0,58.0,76.0,4.0,5.0,4.0,1.0,4.0,1.0,7.0,8.0,1.0,40.0
92,BAL,ATL,22.0,4,2.0,1.0,1.0,1.0,16.0,4.0,52.0,75.0,6.0,4.0,3.0,1.0,4.0,0.0,3.0,9.0,2.0,45.0
93,WAS,TEN,14.0,4,2.0,1.0,1.0,0.0,18.0,6.0,48.0,58.0,4.0,3.0,3.0,0.0,3.0,0.0,5.0,8.0,2.0,38.0
94,LA,SEA,16.0,5,0.0,1.0,0.0,0.0,12.0,6.0,56.0,62.0,3.0,7.0,4.0,2.0,5.0,1.0,3.0,7.0,1.0,42.0
95,JAC,CLE,35.0,11,4.0,1.0,1.0,0.0,11.0,5.0,65.0,77.0,5.0,3.0,1.0,2.0,3.0,0.0,3.0,15.0,2.0,33.0
96,IND,CIN,35.0,4,0.0,2.0,1.0,0.0,12.0,2.0,46.0,86.0,6.0,3.0,2.0,1.0,3.0,0.0,2.0,17.0,3.0,45.0
97,BUF,MIN,20.0,4,3.0,3.0,0.0,0.0,15.0,1.0,48.0,80.0,11.0,3.0,3.0,0.0,3.0,0.0,4.0,11.0,3.0,46.0
98,CHI,MIA,19.0,5,1.0,3.0,2.0,0.0,9.0,3.0,47.0,73.0,7.0,5.0,3.0,2.0,5.0,0.0,4.0,5.0,5.0,46.0
99,DET,NO,27.0,8,3.0,1.0,0.0,0.0,21.0,7.0,45.0,89.0,4.0,5.0,4.0,1.0,5.0,0.0,4.0,9.0,1.0,55.0
100,GB,CAR,21.0,10,1.0,1.0,0.0,0.0,14.0,8.0,55.0,68.0,5.0,7.0,5.0,2.0,7.0,0.0,2.0,12.0,1.0,41.0
101,LAC,KC,22.0,4,1.0,1.0,0.0,0.0,11.0,5.0,55.0,64.0,5.0,4.0,3.0,1.0,4.0,0.0,5.0,9.0,1.0,36.0
102,OAK,ARI,20.0,6,1.0,0.0,1.0,0.0,14.0,6.0,56.0,61.0,2.0,4.0,2.0,2.0,4.0,0.0,3.0,10.0,1.0,38.0
103,DAL,NYG,17.0,8,1.0,2.0,0.0,0.0,12.0,6.0,61.0,58.0,2.0,7.0,6.0,1.0,7.0,0.0,1.0,9.0,2.0,38.0
104,DEN,SF,23.0,9,1.0,0.0,1.0,0.0,14.0,3.0,45.0,81.0,8.0,8.0,6.0,2.0,8.0,0.0,2.0,9.0,1.0,49.0
105,PIT,HOU,20.0,5,1.0,3.0,1.0,0.0,10.0,5.0,55.0,70.0,4.0,5.0,5.0,0.0,5.0,0.0,6.0,7.0,4.0,45.0
106,DEN,LAC,19.0,8,2.0,1.0,1.0,0.0,16.0,5.0,45.0,78.0,2.0,8.0,6.0,2.0,8.0,0.0,1.0,8.0,2.0,55.0
107,ATL,DET,28.0,7,2.0,4.0,1.0,0.0,13.0,6.0,49.0,77.0,2.0,5.0,4.0,1.0,4.0,1.0,3.0,7.0,5.0,44.0
108,TB,MIN,26.0,5,1.0,1.0,1.0,0.0,14.0,4.0,45.0,76.0,6.0,3.0,2.0,0.0,2.0,0.0,5.0,15.0,2.0,43.0
109,NYJ,BUF,27.0,6,4.0,4.0,1.0,0.0,17.0,7.0,65.0,70.0,8.0,8.0,4.0,4.0,7.0,1.0,4.0,11.0,5.0,30.0
110,NE,CHI,18.0,8,1.0,1.0,1.0,0.0,12.0,2.0,58.0,79.0,4.0,9.0,8.0,0.0,6.0,2.0,3.0,5.0,2.0,54.0
111,CAR,SEA,20.0,3,2.0,1.0,5.0,0.0,11.0,5.0,57.0,58.0,4.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,6.0,32.0
112,JAC,MIA,26.0,7,3.0,1.0,0.0,0.0,13.0,3.0,54.0,70.0,7.0,4.0,2.0,0.0,2.0,0.0,5.0,9.0,1.0,34.0
113,CIN,BAL,21.0,4,3.0,3.0,0.0,0.0,13.0,2.0,61.0,65.0,3.0,5.0,0.0,5.0,4.0,1.0,5.0,4.0,3.0,38.0
114,TEN,HOU,29.0,7,1.0,1.0,0.0,0.0,10.0,4.0,54.0,83.0,7.0,5.0,3.0,2.0,4.0,1.0,4.0,12.0,1.0,46.0
115,KC,LA,13.0,6,1.0,1.0,1.0,0.0,15.0,6.0,53.0,62.0,9.0,5.0,1.0,3.0,5.0,0.0,3.0,10.0,2.0,39.0
116,ARI,PHI,46.0,12,2.0,2.0,0.0,0.0,21.0,7.0,49.0,104.0,0.0,5.0,4.0,1.0,5.0,0.0,3.0,14.0,2.0,56.0
117,PIT,IND,26.0,9,2.0,3.0,0.0,1.0,15.0,2.0,42.0,96.0,2.0,11.0,9.0,1.0,10.0,0.0,2.0,6.0,3.0,66.0
118,CLE,OAK,30.0,8,1.0,3.0,2.0,0.0,14.0,8.0,47.0,88.0,4.0,3.0,2.0,1.0,3.0,0.0,5.0,14.0,5.0,53.0
119,NO,GB,14.0,12,2.0,2.0,0.0,0.0,12.0,5.0,50.0,78.0,6.0,7.0,4.0,3.0,7.0,0.0,6.0,0.0,2.0,56.0
120,DAL,WAS,17.0,10,1.0,3.0,1.0,0.0,9.0,6.0,56.0,72.0,8.0,4.0,2.0,2.0,4.0,0.0,3.0,9.0,4.0,46.0
121,CAR,NO,26.0,4,2.0,4.0,0.0,0.0,10.0,4.0,60.0,70.0,8.0,5.0,1.0,4.0,5.0,0.0,1.0,10.0,4.0,34.0
122,CLE,TB,25.0,5,4.0,0.0,0.0,0.0,11.0,11.0,54.0,73.0,5.0,4.0,4.0,0.0,3.0,1.0,6.0,9.0,0.0,38.0
123,DAL,ARI,24.0,4,3.0,1.0,0.0,0.0,11.0,4.0,54.0,70.0,3.0,6.0,4.0,1.0,5.0,0.0,2.0,9.0,1.0,40.0
124,HOU,PHI,20.0,6,4.0,1.0,1.0,0.0,16.0,5.0,68.0,70.0,8.0,7.0,5.0,1.0,6.0,0.0,2.0,9.0,2.0,38.0
125,KC,NYJ,22.0,2,0.0,1.0,1.0,0.0,8.0,2.0,54.0,71.0,4.0,4.0,3.0,1.0,4.0,0.0,2.0,7.0,2.0,45.0
126,CIN,JAC,20.0,1,3.0,1.0,0.0,1.0,9.0,6.0,59.0,69.0,4.0,7.0,4.0,3.0,6.0,1.0,2.0,12.0,1.0,41.0
127,MIA,LAC,23.0,4,3.0,2.0,0.0,0.0,9.0,12.0,54.0,69.0,4.0,4.0,3.0,1.0,4.0,0.0,4.0,7.0,2.0,39.0
128,MIN,WAS,25.0,6,1.0,0.0,1.0,0.0,15.0,7.0,58.0,77.0,7.0,7.0,2.0,5.0,5.0,2.0,2.0,9.0,1.0,44.0
129,SF,LA,20.0,5,2.0,1.0,2.0,0.0,18.0,5.0,48.0,66.0,9.0,2.0,2.0,0.0,2.0,0.0,4.0,13.0,3.0,35.0
130,NE,DEN,40.0,8,3.0,0.0,1.0,0.0,19.0,4.0,42.0,113.0,2.0,8.0,6.0,1.0,6.0,1.0,4.0,8.0,1.0,67.0
131,SEA,OAK,33.0,7,2.0,3.0,1.0,0.0,14.0,8.0,56.0,78.0,2.0,6.0,2.0,2.0,4.0,0.0,6.0,12.0,4.0,41.0
132,PIT,BAL,26.0,5,1.0,1.0,1.0,0.0,17.0,4.0,44.0,90.0,7.0,9.0,8.0,0.0,7.0,2.0,1.0,12.0,2.0,55.0
133,NYG,IND,46.0,7,0.0,4.0,2.0,0.0,8.0,4.0,44.0,102.0,4.0,7.0,6.0,1.0,7.0,0.0,5.0,14.0,6.0,52.0
134,CIN,CLE,31.0,6,3.0,2.0,0.0,0.0,13.0,7.0,74.0,64.0,2.0,3.0,0.0,3.0,3.0,0.0,3.0,15.0,2.0,28.0
135,BUF,KC,31.0,5,0.0,4.0,1.0,0.0,9.0,7.0,46.0,84.0,7.0,3.0,1.0,2.0,3.0,0.0,3.0,14.0,5.0,46.0
136,DET,MIA,24.0,6,2.0,1.0,1.0,0.0,15.0,7.0,38.0,86.0,6.0,3.0,3.0,0.0,3.0,0.0,6.0,7.0,2.0,54.0
137,JAC,DAL,21.0,5,1.0,3.0,1.0,1.0,11.0,5.0,54.0,71.0,5.0,6.0,3.0,3.0,5.0,1.0,2.0,11.0,4.0,43.0
138,NO,SF,35.0,6,2.0,2.0,1.0,0.0,8.0,3.0,63.0,85.0,6.0,6.0,4.0,2.0,6.0,0.0,3.0,13.0,3.0,42.0
139,BAL,TEN,21.0,3,1.0,2.0,1.0,0.0,14.0,3.0,56.0,60.0,6.0,4.0,2.0,2.0,4.0,0.0,0.0,15.0,3.0,32.0
140,NYJ,PIT,19.0,2,2.0,1.0,2.0,0.0,12.0,7.0,53.0,67.0,6.0,3.0,3.0,0.0,3.0,0.0,6.0,7.0,3.0,40.0
141,TB,ATL,25.0,5,2.0,1.0,0.0,0.0,15.0,4.0,51.0,80.0,5.0,4.0,3.0,1.0,3.0,1.0,5.0,6.0,1.0,47.0
142,OAK,DEN,29.0,9,4.0,2.0,0.0,0.0,16.0,4.0,42.0,96.0,0.0,7.0,7.0,0.0,7.0,0.0,3.0,14.0,2.0,63.0
143,ARI,LA,23.0,6,3.0,2.0,0.0,0.0,13.0,8.0,44.0,80.0,9.0,6.0,2.0,2.0,4.0,0.0,2.0,13.0,2.0,45.0
144,SEA,NYG,19.0,9,3.0,3.0,1.0,0.0,10.0,6.0,62.0,65.0,4.0,7.0,1.0,6.0,7.0,0.0,2.0,6.0,4.0,39.0
145,GB,CHI,28.0,2,2.0,3.0,0.0,0.0,16.0,9.0,56.0,76.0,4.0,9.0,7.0,0.0,8.0,0.0,2.0,7.0,3.0,42.0
146,PHI,CAR,30.0,10,3.0,3.0,2.0,0.0,9.0,7.0,55.0,88.0,10.0,9.0,4.0,3.0,7.0,0.0,1.0,14.0,5.0,45.0
147,MIA,BUF,25.0,5,0.0,2.0,0.0,1.0,11.0,3.0,43.0,80.0,7.0,2.0,2.0,0.0,2.0,0.0,6.0,5.0,2.0,48.0
148,CHI,MIN,19.0,1,3.0,0.0,0.0,0.0,9.0,3.0,47.0,73.0,2.0,4.0,4.0,0.0,4.0,0.0,4.0,6.0,0.0,49.0
149,CLE,HOU,38.0,3,2.0,2.0,2.0,0.0,13.0,12.0,78.0,82.0,2.0,3.0,3.0,0.0,3.0,0.0,5.0,11.0,4.0,40.0
150,CAR,ATL,26.0,5,2.0,1.0,0.0,0.0,6.0,3.0,52.0,86.0,4.0,3.0,3.0,0.0,3.0,0.0,7.0,13.0,1.0,54.0
151,NO,CIN,14.0,6,0.0,4.0,0.0,0.0,9.0,6.0,62.0,64.0,1.0,4.0,4.0,0.0,4.0,0.0,3.0,5.0,4.0,49.0
152,WAS,TB,15.0,3,2.0,3.0,3.0,0.0,20.0,5.0,52.0,63.0,8.0,4.0,3.0,0.0,3.0,0.0,4.0,8.0,6.0,38.0
153,LA,DEN,27.0,5,2.0,1.0,0.0,0.0,11.0,3.0,43.0,88.0,5.0,2.0,2.0,0.0,2.0,0.0,5.0,11.0,1.0,54.0
154,NYG,SF,33.0,1,5.0,1.0,4.0,0.0,7.0,6.0,58.0,78.0,3.0,2.0,2.0,0.0,2.0,0.0,4.0,7.0,5.0,37.0
155,KC,SEA,17.0,1,0.0,3.0,1.0,0.0,11.0,4.0,67.0,50.0,2.0,5.0,2.0,3.0,5.0,0.0,3.0,4.0,4.0,31.0
