,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble Not Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
229,TB,CHI,20.0,10,1.0,2.0,3.0,0.0,7.0,5.0,64.0,58.0,2.0,5.0,3.0,2.0,5.0,0.0,5.0,9.0,5.0,35.0
230,ATL,CAR,20.0,9,0.0,1.0,2.0,0.0,7.0,6.0,50.0,64.0,4.0,3.0,1.0,2.0,3.0,0.0,5.0,4.0,3.0,40.0
231,MIA,IND,23.0,8,1.0,0.0,0.0,1.0,15.0,10.0,48.0,76.0,8.0,3.0,0.0,3.0,2.0,1.0,3.0,8.0,0.0,43.0
232,NYJ,NE,23.0,9,1.0,3.0,0.0,0.0,7.0,4.0,49.0,75.0,3.0,5.0,4.0,0.0,3.0,0.0,4.0,9.0,3.0,48.0
233,TEN,HOU,33.0,8,1.0,4.0,0.0,0.0,8.0,4.0,53.0,80.0,2.0,5.0,3.0,1.0,3.0,1.0,2.0,15.0,4.0,43.0
234,KC,CLE,24.0,1,2.0,0.0,1.0,0.0,13.0,4.0,63.0,55.0,1.0,3.0,2.0,1.0,3.0,0.0,4.0,8.0,1.0,28.0
235,NO,JAC,17.0,9,2.0,0.0,3.0,0.0,13.0,3.0,50.0,77.0,3.0,9.0,7.0,2.0,6.0,3.0,3.0,5.0,3.0,52.0
236,ARI,GB,20.0,6,2.0,5.0,2.0,0.0,17.0,4.0,52.0,69.0,11.0,6.0,3.0,1.0,3.0,1.0,1.0,10.0,7.0,35.0
237,SEA,LA,24.0,2,1.0,5.0,2.0,0.0,15.0,6.0,52.0,68.0,4.0,5.0,3.0,1.0,4.0,0.0,2.0,11.0,7.0,39.0
238,MIN,NYG,21.0,3,3.0,0.0,2.0,0.0,9.0,5.0,60.0,66.0,7.0,7.0,3.0,3.0,6.0,0.0,6.0,10.0,2.0,35.0
239,DEN,CIN,25.0,7,0.0,1.0,1.0,0.0,11.0,2.0,54.0,79.0,5.0,4.0,2.0,2.0,4.0,0.0,5.0,10.0,2.0,49.0
240,BUF,NYJ,28.0,7,3.0,2.0,0.0,0.0,10.0,7.0,60.0,68.0,3.0,4.0,2.0,2.0,4.0,0.0,5.0,9.0,2.0,34.0
241,MIA,NE,25.0,10,0.0,1.0,1.0,0.0,17.0,7.0,61.0,66.0,3.0,3.0,2.0,1.0,3.0,0.0,5.0,12.0,2.0,38.0
242,ATL,NO,22.0,3,1.0,2.0,1.0,0.0,8.0,5.0,48.0,80.0,1.0,4.0,3.0,1.0,4.0,0.0,4.0,4.0,3.0,56.0
