,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble  Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,CHI,GB,30.0,5,1.0,1.0,0.0,0.0,20.0,4.0,37.0,85.0,10.0,1.0,1.0,0.0,1.0,0.0,2.0,17.0,1.0,44.0
1,CAR,LA,27.0,9,2.0,2.0,1.0,0.0,11.0,4.0,55.0,81.0,4.0,6.0,1.0,5.0,6.0,0.0,7.0,8.0,3.0,48.0
2,PHI,WAS,25.0,7,0.0,0.0,0.0,0.0,18.0,6.0,45.0,85.0,2.0,7.0,6.0,1.0,6.0,1.0,3.0,8.0,0.0,58.0
3,NYJ,BUF,24.0,9,2.0,1.0,3.0,1.0,15.0,5.0,46.0,84.0,5.0,4.0,2.0,1.0,3.0,1.0,2.0,10.0,4.0,52.0
4,MIN,ATL,13.0,5,2.0,2.0,1.0,0.0,20.0,6.0,55.0,63.0,5.0,6.0,3.0,3.0,4.0,2.0,0.0,9.0,3.0,41.0
5,MIA,BAL,18.0,9,2.0,0.0,1.0,0.0,13.0,7.0,58.0,62.0,4.0,9.0,7.0,2.0,9.0,0.0,2.0,7.0,1.0,38.0
6,JAX,KC,14.0,10,1.0,1.0,0.0,0.0,15.0,3.0,42.0,69.0,1.0,7.0,6.0,1.0,6.0,1.0,6.0,3.0,1.0,52.0
7,CLE,TEN,20.0,5,3.0,0.0,0.0,1.0,24.0,3.0,48.0,71.0,9.0,7.0,4.0,2.0,7.0,0.0,2.0,11.0,0.0,39.0
8,LAC,IND,14.0,8,1.0,1.0,2.0,0.0,6.0,4.0,55.0,67.0,6.0,7.0,5.0,2.0,5.0,1.0,4.0,5.0,3.0,46.0
9,SEA,CIN,22.0,9,0.0,5.0,0.0,0.0,15.0,7.0,39.0,80.0,9.0,5.0,4.0,1.0,5.0,0.0,3.0,12.0,5.0,49.0
10,TB,SF,21.0,8,4.0,2.0,2.0,0.0,19.0,5.0,58.0,68.0,4.0,5.0,2.0,0.0,4.0,1.0,5.0,4.0,4.0,38.0
11,DAL,NYG,22.0,7,0.0,3.0,0.0,0.0,14.0,3.0,47.0,81.0,1.0,7.0,5.0,2.0,7.0,0.0,1.0,8.0,3.0,58.0
12,ARI,DET,42.0,8,1.0,2.0,1.0,0.0,16.0,5.0,55.0,108.0,8.0,5.0,5.0,0.0,4.0,1.0,6.0,16.0,3.0,56.0
13,NE,PIT,31.0,7,1.0,1.0,1.0,0.0,13.0,5.0,42.0,86.0,2.0,3.0,3.0,0.0,3.0,0.0,5.0,8.0,2.0,52.0
14,NO,HOU,19.0,8,2.0,1.0,0.0,0.0,15.0,2.0,44.0,80.0,7.0,7.0,5.0,2.0,7.0,0.0,4.0,6.0,1.0,52.0
15,OAK,DEN,14.0,9,0.0,1.0,0.0,0.0,15.0,4.0,51.0,60.0,3.0,4.0,2.0,2.0,4.0,0.0,5.0,6.0,1.0,43.0
16,CAR,TB,35.0,9,0.0,1.0,3.0,1.0,17.0,7.0,50.0,82.0,6.0,2.0,1.0,1.0,2.0,0.0,7.0,11.0,4.0,41.0
17,BAL,ARI,28.0,5,0.0,1.0,2.0,0.0,18.0,6.0,44.0,83.0,5.0,3.0,2.0,1.0,2.0,1.0,6.0,8.0,3.0,49.0
18,WAS,DAL,14.0,8,1.0,0.0,0.0,0.0,14.0,3.0,51.0,69.0,2.0,7.0,5.0,2.0,7.0,0.0,1.0,6.0,0.0,52.0
19,TEN,IND,19.0,6,1.0,2.0,1.0,0.0,13.0,3.0,58.0,63.0,7.0,5.0,4.0,1.0,5.0,0.0,2.0,11.0,3.0,36.0
20,PIT,SEA,19.0,10,1.0,1.0,2.0,0.0,15.0,2.0,49.0,75.0,5.0,7.0,5.0,2.0,6.0,1.0,3.0,9.0,3.0,49.0
21,NYG,BUF,28.0,6,2.0,1.0,0.0,0.0,16.0,3.0,54.0,79.0,4.0,6.0,2.0,4.0,6.0,0.0,1.0,12.0,1.0,45.0
22,CIN,SF,22.0,6,2.0,0.0,1.0,0.0,16.0,6.0,61.0,72.0,4.0,7.0,5.0,2.0,7.0,0.0,5.0,7.0,1.0,44.0
23,DET,LAC,20.0,5,3.0,1.0,0.0,0.0,17.0,4.0,53.0,67.0,1.0,3.0,2.0,1.0,3.0,0.0,4.0,8.0,1.0,43.0
24,GB,MIN,28.0,10,2.0,4.0,3.0,0.0,14.0,4.0,60.0,69.0,3.0,5.0,3.0,2.0,5.0,0.0,2.0,14.0,7.0,36.0
25,HOU,JAX,23.0,5,0.0,3.0,2.0,0.0,16.0,1.0,52.0,70.0,8.0,2.0,1.0,1.0,1.0,1.0,4.0,13.0,5.0,39.0
26,MIA,NE,25.0,8,4.0,1.0,0.0,0.0,9.0,2.0,50.0,76.0,9.0,6.0,2.0,2.0,6.0,0.0,2.0,10.0,1.0,38.0
27,OAK,KC,27.0,6,2.0,4.0,0.0,0.0,17.0,7.0,41.0,87.0,5.0,5.0,5.0,0.0,5.0,0.0,1.0,11.0,4.0,53.0
28,LA,NO,23.0,10,1.0,2.0,0.0,0.0,19.0,3.0,50.0,68.0,5.0,3.0,1.0,2.0,3.0,0.0,5.0,9.0,2.0,39.0
29,DEN,CHI,25.0,9,1.0,0.0,0.0,0.0,17.0,3.0,53.0,80.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,10.0,0.0,51.0
30,ATL,PHI,31.0,5,5.0,2.0,0.0,0.0,17.0,4.0,39.0,96.0,4.0,5.0,4.0,1.0,3.0,2.0,4.0,7.0,2.0,55.0
31,NYJ,CLE,23.0,3,1.0,1.0,0.0,0.0,21.0,7.0,45.0,73.0,7.0,2.0,1.0,1.0,2.0,0.0,4.0,13.0,1.0,42.0
32,JAX,TEN,27.0,8,0.0,2.0,1.0,0.0,13.0,7.0,46.0,79.0,9.0,3.0,2.0,1.0,3.0,0.0,2.0,14.0,3.0,43.0
33,BUF,CIN,26.0,6,3.0,4.0,1.0,0.0,15.0,8.0,55.0,76.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,11.0,5.0,43.0
34,PHI,DET,31.0,9,0.0,2.0,1.0,0.0,13.0,6.0,58.0,71.0,3.0,6.0,3.0,2.0,6.0,0.0,4.0,8.0,3.0,37.0
35,NE,NYJ,23.0,9,2.0,0.0,1.0,0.0,13.0,7.0,47.0,73.0,6.0,6.0,2.0,2.0,6.0,0.0,1.0,17.0,1.0,42.0
36,MIN,OAK,12.0,9,1.0,0.0,2.0,0.0,13.0,2.0,58.0,59.0,4.0,6.0,3.0,3.0,6.0,0.0,3.0,6.0,2.0,42.0
37,KC,BAL,31.0,12,0.0,2.0,1.0,0.0,11.0,2.0,59.0,85.0,4.0,8.0,3.0,5.0,5.0,3.0,3.0,5.0,2.0,49.0
38,IND,ATL,13.0,8,1.0,0.0,0.0,0.0,20.0,7.0,44.0,72.0,1.0,6.0,5.0,1.0,6.0,0.0,3.0,2.0,0.0,57.0
39,GB,DEN,20.0,11,1.0,2.0,0.0,0.0,10.0,6.0,61.0,64.0,6.0,5.0,1.0,4.0,5.0,0.0,4.0,7.0,2.0,37.0
40,DAL,MIA,33.0,8,1.0,2.0,1.0,0.0,13.0,1.0,58.0,77.0,4.0,4.0,2.0,2.0,4.0,0.0,5.0,8.0,3.0,39.0
41,TB,NYG,26.0,13,1.0,2.0,1.0,0.0,10.0,3.0,51.0,83.0,9.0,7.0,5.0,2.0,6.0,1.0,6.0,9.0,3.0,46.0
42,ARI,CAR,18.0,9,2.0,2.0,0.0,0.0,10.0,1.0,53.0,79.0,10.0,7.0,6.0,1.0,7.0,0.0,3.0,8.0,2.0,49.0
43,SF,PIT,19.0,8,3.0,3.0,3.0,0.0,11.0,3.0,62.0,62.0,3.0,5.0,3.0,2.0,5.0,0.0,3.0,9.0,6.0,37.0
44,SEA,NO,26.0,6,0.0,1.0,1.0,0.0,18.0,4.0,50.0,77.0,0.0,9.0,4.0,3.0,7.0,1.0,0.0,10.0,2.0,51.0
45,LAC,HOU,24.0,9,0.0,1.0,2.0,0.0,13.0,5.0,37.0,87.0,7.0,6.0,5.0,1.0,6.0,0.0,3.0,8.0,3.0,56.0
46,CLE,LA,29.0,8,3.0,2.0,0.0,0.0,15.0,3.0,48.0,79.0,5.0,3.0,3.0,0.0,3.0,0.0,5.0,8.0,2.0,42.0
47,WAS,CHI,15.0,5,4.0,3.0,0.0,0.0,18.0,2.0,45.0,83.0,7.0,6.0,5.0,0.0,4.0,2.0,4.0,4.0,3.0,55.0
48,GB,PHI,29.0,7,1.0,1.0,0.0,0.0,14.0,3.0,53.0,82.0,1.0,8.0,5.0,3.0,7.0,1.0,2.0,6.0,1.0,50.0
49,ATL,TEN,27.0,6,0.0,4.0,0.0,0.0,12.0,10.0,51.0,85.0,5.0,4.0,3.0,1.0,4.0,0.0,3.0,8.0,4.0,53.0
50,NYG,WAS,15.0,4,6.0,2.0,2.0,0.0,17.0,1.0,54.0,62.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,9.0,4.0,38.0
51,MIA,LAC,12.0,4,1.0,2.0,2.0,0.0,15.0,6.0,51.0,61.0,6.0,4.0,3.0,1.0,4.0,0.0,6.0,2.0,4.0,42.0
52,IND,OAK,31.0,8,1.0,1.0,2.0,0.0,16.0,7.0,55.0,78.0,1.0,7.0,5.0,1.0,7.0,0.0,3.0,9.0,3.0,45.0
53,HOU,CAR,22.0,6,1.0,4.0,0.0,0.0,13.0,3.0,50.0,77.0,9.0,2.0,0.0,2.0,2.0,0.0,5.0,9.0,4.0,45.0
54,DET,KC,31.0,6,0.0,6.0,0.0,0.0,15.0,6.0,60.0,80.0,4.0,7.0,3.0,3.0,7.0,0.0,6.0,5.0,6.0,45.0
55,BAL,CLE,18.0,6,3.0,1.0,1.0,0.0,9.0,5.0,59.0,71.0,5.0,8.0,4.0,4.0,6.0,2.0,3.0,6.0,2.0,44.0
56,BUF,NE,38.0,6,5.0,3.0,0.0,0.0,16.0,3.0,45.0,88.0,5.0,3.0,0.0,2.0,3.0,0.0,3.0,15.0,3.0,40.0
57,LA,TB,32.0,15,4.0,1.0,0.0,0.0,25.0,9.0,41.0,114.0,4.0,12.0,6.0,4.0,10.0,1.0,4.0,3.0,1.0,73.0
58,ARI,SEA,15.0,8,1.0,3.0,0.0,0.0,14.0,5.0,50.0,68.0,8.0,4.0,1.0,2.0,4.0,0.0,5.0,7.0,3.0,44.0
59,CHI,MIN,18.0,5,0.0,3.0,0.0,0.0,14.0,3.0,49.0,77.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0,10.0,3.0,51.0
60,DEN,JAX,29.0,8,1.0,1.0,1.0,0.0,17.0,0.0,54.0,76.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,12.0,2.0,41.0
61,NO,DAL,16.0,7,2.0,2.0,0.0,0.0,15.0,4.0,47.0,69.0,6.0,1.0,0.0,1.0,1.0,0.0,5.0,8.0,2.0,45.0
62,PIT,CIN,19.0,9,1.0,3.0,0.0,0.0,12.0,3.0,44.0,76.0,8.0,3.0,2.0,1.0,3.0,0.0,3.0,7.0,3.0,48.0
63,SEA,LA,25.0,12,1.0,2.0,0.0,0.0,11.0,6.0,62.0,74.0,1.0,7.0,5.0,2.0,5.0,2.0,6.0,7.0,2.0,46.0
64,CAR,JAX,32.0,11,0.0,3.0,1.0,0.0,17.0,7.0,58.0,80.0,5.0,8.0,3.0,4.0,8.0,0.0,4.0,9.0,4.0,43.0
