,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble Not Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,NO,MIN,20.0,1,1.0,0.0,2.0,0.0,9.0,5.0,48.0,65.0,2.0,3.0,2.0,1.0,3.0,0.0,3.0,12.0,2.0,42.0
1,TB,CLE,25.0,2,3.0,4.0,0.0,0.0,11.0,4.0,53.0,69.0,3.0,4.0,3.0,1.0,4.0,0.0,2.0,13.0,4.0,38.0
2,PIT,ATL,23.0,3,2.0,0.0,0.0,0.0,7.0,5.0,56.0,75.0,5.0,1.0,0.0,1.0,0.0,0.0,9.0,12.0,0.0,45.0
3,CHI,DET,24.0,2,2.0,6.0,1.0,0.0,16.0,8.0,52.0,76.0,6.0,4.0,2.0,2.0,3.0,1.0,2.0,13.0,7.0,43.0
4,NYG,CAR,26.0,3,6.0,3.0,1.0,1.0,16.0,7.0,60.0,71.0,5.0,5.0,4.0,1.0,5.0,0.0,4.0,7.0,4.0,34.0
5,TEN,OAK,18.0,3,1.0,5.0,1.0,0.0,18.0,5.0,64.0,61.0,6.0,6.0,3.0,3.0,6.0,0.0,4.0,8.0,6.0,36.0
6,JAC,DEN,16.0,2,1.0,1.0,0.0,0.0,12.0,2.0,59.0,58.0,4.0,5.0,4.0,1.0,5.0,0.0,2.0,8.0,1.0,37.0
7,BUF,MIA,29.0,5,0.0,0.0,1.0,1.0,8.0,7.0,53.0,74.0,6.0,2.0,1.0,1.0,2.0,0.0,5.0,14.0,1.0,39.0
8,NE,CIN,25.0,4,1.0,1.0,1.0,0.0,8.0,4.0,48.0,86.0,1.0,8.0,5.0,1.0,7.0,0.0,4.0,4.0,2.0,59.0
9,HOU,IND,24.0,2,1.0,1.0,0.0,0.0,12.0,1.0,52.0,78.0,4.0,7.0,4.0,3.0,7.0,0.0,3.0,7.0,1.0,49.0
10,PHI,GB,23.0,0,2.0,2.0,1.0,0.0,12.0,4.0,54.0,73.0,8.0,5.0,3.0,2.0,5.0,0.0,4.0,9.0,3.0,40.0
11,LA,ARI,40.0,4,3.0,6.0,4.0,1.0,15.0,7.0,45.0,100.0,4.0,3.0,2.0,1.0,3.0,0.0,4.0,13.0,8.0,54.0
12,SEA,SF,21.0,4,3.0,1.0,0.0,0.0,13.0,5.0,42.0,71.0,3.0,4.0,2.0,1.0,3.0,0.0,3.0,11.0,1.0,44.0
13,WAS,DAL,34.0,3,0.0,2.0,1.0,0.0,17.0,3.0,45.0,82.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,12.0,3.0,46.0
14,NYJ,BAL,28.0,1,1.0,4.0,1.0,0.0,19.0,7.0,56.0,63.0,4.0,1.0,0.0,1.0,1.0,0.0,4.0,12.0,5.0,30.0
15,KC,LAC,29.0,5,0.0,1.0,3.0,0.0,8.0,4.0,55.0,64.0,3.0,5.0,3.0,1.0,4.0,0.0,0.0,17.0,4.0,32.0
16,GB,BUF,15.0,2,2.0,2.0,0.0,0.0,10.0,3.0,59.0,51.0,4.0,5.0,2.0,3.0,5.0,0.0,2.0,8.0,2.0,30.0
17,CIN,BAL,37.0,6,4.0,1.0,1.0,0.0,14.0,5.0,54.0,76.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,15.0,2.0,33.0
18,CAR,TB,27.0,2,2.0,1.0,1.0,0.0,8.0,11.0,67.0,58.0,4.0,3.0,3.0,0.0,3.0,0.0,2.0,11.0,2.0,25.0
19,ATL,ARI,24.0,5,3.0,2.0,1.0,0.0,16.0,2.0,59.0,69.0,3.0,6.0,3.0,3.0,6.0,0.0,3.0,7.0,2.0,39.0
20,DET,PHI,31.0,4,2.0,2.0,1.0,0.0,18.0,7.0,54.0,88.0,8.0,9.0,4.0,5.0,8.0,1.0,1.0,11.0,3.0,46.0
21,DAL,CHI,23.0,4,2.0,2.0,0.0,0.0,9.0,8.0,39.0,81.0,1.0,5.0,4.0,0.0,4.0,0.0,5.0,9.0,2.0,56.0
22,TEN,PIT,16.0,5,3.0,7.0,4.0,0.0,16.0,12.0,55.0,61.0,8.0,2.0,1.0,0.0,1.0,1.0,5.0,13.0,11.0,33.0
23,MIN,MIA,17.0,3,3.0,3.0,1.0,0.0,9.0,7.0,62.0,56.0,5.0,3.0,1.0,1.0,2.0,0.0,1.0,8.0,4.0,31.0
24,CLE,KC,24.0,2,3.0,1.0,0.0,0.0,13.0,4.0,65.0,61.0,2.0,3.0,1.0,1.0,2.0,0.0,4.0,14.0,1.0,32.0
25,OAK,LA,26.0,1,3.0,1.0,2.0,1.0,20.0,4.0,62.0,67.0,5.0,3.0,3.0,0.0,3.0,0.0,5.0,10.0,3.0,33.0
26,DEN,SEA,23.0,6,3.0,1.0,1.0,0.0,10.0,6.0,58.0,72.0,2.0,6.0,3.0,3.0,6.0,0.0,1.0,6.0,2.0,45.0
27,NYJ,NE,24.0,2,2.0,1.0,0.0,0.0,12.0,3.0,53.0,72.0,4.0,5.0,5.0,0.0,4.0,1.0,3.0,7.0,1.0,41.0
28,LAC,JAC,17.0,3,6.0,3.0,0.0,0.0,9.0,5.0,54.0,74.0,3.0,6.0,4.0,2.0,6.0,0.0,3.0,2.0,3.0,48.0
29,WAS,HOU,23.0,4,1.0,0.0,0.0,0.0,12.0,5.0,41.0,98.0,8.0,6.0,4.0,2.0,6.0,0.0,8.0,7.0,0.0,66.0
30,IND,NYG,17.0,6,1.0,4.0,2.0,0.0,9.0,5.0,68.0,56.0,5.0,7.0,5.0,1.0,6.0,0.0,1.0,11.0,6.0,33.0
31,SF,NO,17.0,2,2.0,2.0,3.0,1.0,10.0,1.0,50.0,73.0,2.0,5.0,3.0,2.0,4.0,1.0,3.0,9.0,5.0,51.0
32,NYG,TEN,18.0,6,2.0,1.0,0.0,2.0,19.0,7.0,61.0,67.0,3.0,4.0,1.0,3.0,4.0,0.0,5.0,5.0,1.0,44.0
33,CAR,CIN,32.0,5,3.0,1.0,4.0,0.0,14.0,3.0,61.0,72.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,12.0,5.0,35.0
34,TB,PIT,13.0,1,3.0,1.0,1.0,0.0,6.0,4.0,53.0,58.0,4.0,6.0,3.0,2.0,5.0,0.0,3.0,6.0,2.0,38.0
35,NE,BUF,12.0,1,2.0,1.0,1.0,0.0,10.0,4.0,62.0,57.0,2.0,8.0,5.0,2.0,8.0,0.0,5.0,4.0,2.0,41.0
36,HOU,DAL,14.0,1,2.0,1.0,0.0,0.0,13.0,4.0,49.0,66.0,4.0,4.0,3.0,1.0,4.0,0.0,4.0,5.0,1.0,46.0
37,MIN,DET,21.0,2,4.0,0.0,2.0,0.0,20.0,6.0,49.0,81.0,3.0,4.0,2.0,2.0,4.0,0.0,3.0,12.0,2.0,53.0
38,NO,ATL,17.0,5,2.0,1.0,1.0,0.0,10.0,6.0,66.0,72.0,4.0,6.0,5.0,1.0,6.0,0.0,4.0,6.0,2.0,49.0
39,KC,SF,28.0,2,2.0,1.0,0.0,0.0,13.0,4.0,54.0,74.0,5.0,5.0,4.0,1.0,5.0,0.0,3.0,12.0,1.0,39.0
40,BAL,CLE,15.0,4,0.0,0.0,1.0,0.0,16.0,1.0,56.0,58.0,2.0,5.0,4.0,1.0,5.0,0.0,3.0,9.0,1.0,41.0
41,LA,WAS,25.0,2,2.0,2.0,1.0,0.0,18.0,9.0,54.0,71.0,2.0,4.0,2.0,2.0,4.0,0.0,7.0,8.0,3.0,42.0
42,JAC,PHI,30.0,2,1.0,0.0,1.0,0.0,11.0,4.0,54.0,70.0,9.0,4.0,3.0,1.0,4.0,0.0,1.0,15.0,1.0,30.0
43,DEN,IND,35.0,10,1.0,1.0,3.0,0.0,10.0,4.0,40.0,101.0,1.0,4.0,4.0,0.0,4.0,0.0,4.0,9.0,4.0,64.0
44,ARI,OAK,29.0,3,2.0,1.0,3.0,0.0,18.0,5.0,59.0,65.0,5.0,5.0,3.0,1.0,5.0,0.0,7.0,11.0,4.0,29.0
45,SEA,LAC,34.0,4,3.0,4.0,0.0,1.0,16.0,7.0,42.0,93.0,7.0,5.0,3.0,0.0,4.0,1.0,3.0,10.0,4.0,48.0
46,MIA,NYJ,32.0,2,1.0,1.0,1.0,0.0,15.0,4.0,52.0,76.0,2.0,6.0,5.0,1.0,6.0,0.0,5.0,8.0,1.0,41.0
47,CHI,GB,20.0,0,2.0,2.0,0.0,1.0,23.0,5.0,33.0,75.0,3.0,4.0,2.0,1.0,3.0,0.0,5.0,5.0,2.0,50.0
48,BUF,NYJ,25.0,1,0.0,1.0,2.0,0.0,7.0,3.0,65.0,56.0,3.0,7.0,5.0,2.0,7.0,0.0,2.0,15.0,3.0,28.0
49,CLE,CIN,22.0,1,1.0,2.0,1.0,0.0,15.0,4.0,53.0,71.0,5.0,4.0,3.0,1.0,4.0,0.0,6.0,7.0,3.0,43.0
50,PIT,BAL,20.0,1,2.0,2.0,1.0,0.0,18.0,3.0,54.0,61.0,3.0,4.0,1.0,3.0,4.0,0.0,4.0,8.0,3.0,36.0
