,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble  Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,PHI,ATL,35.0,7,2.0,1.0,2.0,0.0,26.0,4.0,46.0,84.0,6.0,3.0,0.0,3.0,2.0,1.0,3.0,12.0,3.0,41.0
1,BAL,BUF,32.0,5,2.0,1.0,4.0,0.0,19.0,7.0,56.0,80.0,8.0,6.0,3.0,3.0,5.0,1.0,4.0,13.0,5.0,37.0
2,NYG,JAX,27.0,8,2.0,0.0,1.0,0.0,16.0,6.0,52.0,73.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,12.0,1.0,41.0
3,NO,TB,15.0,11,0.0,3.0,0.0,0.0,15.0,5.0,48.0,75.0,1.0,11.0,7.0,3.0,8.0,2.0,4.0,4.0,3.0,58.0
4,NE,HOU,28.0,6,2.0,2.0,2.0,0.0,12.0,4.0,65.0,78.0,5.0,5.0,4.0,1.0,5.0,0.0,4.0,12.0,4.0,43.0
5,MIN,SF,31.0,10,3.0,3.0,1.0,0.0,10.0,7.0,57.0,75.0,6.0,4.0,3.0,0.0,3.0,0.0,4.0,10.0,4.0,35.0
6,MIA,TEN,21.0,8,5.0,0.0,0.0,0.0,12.0,7.0,58.0,67.0,1.0,5.0,2.0,1.0,5.0,0.0,4.0,8.0,0.0,40.0
7,IND,CIN,19.0,9,2.0,3.0,0.0,0.0,15.0,4.0,42.0,85.0,4.0,6.0,4.0,1.0,5.0,0.0,6.0,4.0,3.0,60.0
8,CLE,PIT,39.0,4,4.0,4.0,0.0,0.0,23.0,8.0,73.0,92.0,11.0,6.0,2.0,4.0,6.0,0.0,2.0,19.0,4.0,38.0
9,LAC,KC,28.0,9,1.0,1.0,1.0,0.0,13.0,5.0,50.0,82.0,2.0,8.0,7.0,0.0,4.0,3.0,4.0,8.0,1.0,49.0
10,DEN,SEA,23.0,9,5.0,2.0,1.0,0.0,14.0,4.0,48.0,79.0,7.0,6.0,6.0,0.0,6.0,0.0,4.0,12.0,3.0,44.0
11,CAR,DAL,19.0,7,0.0,3.0,0.0,0.0,19.0,4.0,56.0,64.0,9.0,3.0,0.0,3.0,1.0,2.0,2.0,12.0,3.0,36.0
12,ARI,WAS,22.0,6,1.0,3.0,1.0,0.0,18.0,4.0,57.0,70.0,5.0,4.0,2.0,2.0,3.0,1.0,1.0,9.0,4.0,41.0
13,GB,CHI,24.0,7,1.0,3.0,1.0,0.0,13.0,2.0,45.0,80.0,8.0,5.0,3.0,1.0,4.0,0.0,4.0,8.0,4.0,47.0
14,DET,NYJ,22.0,11,6.0,1.0,0.0,0.0,10.0,3.0,51.0,75.0,2.0,8.0,3.0,2.0,5.0,0.0,5.0,6.0,1.0,45.0
15,OAK,LA,23.0,10,3.0,1.0,0.0,0.0,19.0,3.0,49.0,75.0,2.0,4.0,2.0,1.0,3.0,0.0,7.0,6.0,1.0,47.0
16,CIN,BAL,39.0,10,2.0,2.0,1.0,0.0,16.0,6.0,50.0,102.0,4.0,7.0,6.0,1.0,6.0,1.0,3.0,9.0,3.0,56.0
17,ATL,CAR,16.0,9,2.0,2.0,1.0,0.0,9.0,5.0,50.0,75.0,2.0,7.0,5.0,2.0,7.0,0.0,2.0,8.0,3.0,55.0
18,WAS,IND,21.0,7,2.0,1.0,2.0,0.0,13.0,7.0,50.0,81.0,4.0,3.0,2.0,1.0,3.0,0.0,4.0,10.0,3.0,54.0
19,TEN,HOU,16.0,11,1.0,2.0,1.0,0.0,19.0,3.0,60.0,59.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,9.0,3.0,37.0
20,TB,PHI,18.0,9,1.0,2.0,1.0,0.0,10.0,5.0,47.0,86.0,5.0,7.0,5.0,2.0,7.0,0.0,1.0,11.0,3.0,62.0
21,PIT,KC,26.0,12,0.0,2.0,2.0,1.0,24.0,4.0,38.0,91.0,2.0,11.0,9.0,2.0,10.0,1.0,1.0,7.0,4.0,62.0
22,NYJ,MIA,20.0,8,2.0,4.0,3.0,0.0,9.0,7.0,50.0,71.0,7.0,4.0,3.0,1.0,4.0,0.0,2.0,11.0,7.0,42.0
23,BUF,LAC,17.0,10,2.0,1.0,2.0,0.0,12.0,5.0,48.0,67.0,7.0,6.0,4.0,2.0,6.0,0.0,3.0,10.0,3.0,41.0
24,GB,MIN,24.0,12,1.0,0.0,2.0,0.0,15.0,2.0,42.0,97.0,6.0,6.0,5.0,0.0,5.0,1.0,9.0,10.0,2.0,65.0
25,NO,CLE,14.0,6,1.0,4.0,1.0,0.0,8.0,4.0,51.0,71.0,6.0,4.0,3.0,1.0,3.0,1.0,7.0,7.0,5.0,50.0
26,SF,DET,27.0,3,0.0,1.0,1.0,0.0,19.0,1.0,46.0,87.0,8.0,6.0,5.0,1.0,6.0,0.0,5.0,10.0,2.0,52.0
27,LA,ARI,16.0,3,2.0,0.0,0.0,0.0,14.0,7.0,50.0,63.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,10.0,0.0,41.0
28,JAX,NE,26.0,7,1.0,3.0,0.0,0.0,9.0,3.0,48.0,82.0,2.0,6.0,6.0,0.0,6.0,0.0,4.0,7.0,3.0,53.0
29,DEN,OAK,18.0,12,1.0,0.0,0.0,0.0,10.0,4.0,55.0,69.0,2.0,4.0,1.0,3.0,4.0,0.0,4.0,8.0,0.0,48.0
30,DAL,NYG,20.0,6,0.0,1.0,1.0,0.0,9.0,3.0,42.0,75.0,6.0,3.0,2.0,1.0,3.0,0.0,4.0,10.0,2.0,49.0
31,CHI,SEA,20.0,6,3.0,3.0,0.0,0.0,12.0,5.0,49.0,78.0,8.0,5.0,4.0,0.0,4.0,0.0,2.0,12.0,3.0,47.0
32,CLE,NYJ,30.0,6,2.0,3.0,1.0,0.0,11.0,10.0,63.0,75.0,6.0,4.0,0.0,4.0,3.0,1.0,3.0,15.0,4.0,36.0
33,ATL,NO,19.0,10,0.0,0.0,1.0,0.0,16.0,6.0,49.0,90.0,4.0,10.0,8.0,2.0,7.0,2.0,3.0,10.0,1.0,65.0
34,WAS,GB,25.0,7,1.0,1.0,1.0,0.0,17.0,2.0,52.0,69.0,4.0,6.0,4.0,2.0,6.0,0.0,2.0,10.0,2.0,39.0
35,PHI,IND,27.0,6,1.0,1.0,3.0,0.0,21.0,7.0,48.0,85.0,7.0,3.0,2.0,1.0,3.0,0.0,6.0,8.0,4.0,50.0
36,MIN,BUF,21.0,4,1.0,3.0,4.0,0.0,18.0,3.0,44.0,85.0,7.0,4.0,2.0,2.0,3.0,1.0,2.0,11.0,7.0,55.0
37,MIA,OAK,16.0,5,2.0,0.0,1.0,0.0,17.0,4.0,46.0,67.0,4.0,6.0,5.0,1.0,6.0,0.0,2.0,9.0,1.0,45.0
38,BAL,DEN,26.0,3,1.0,2.0,0.0,0.0,20.0,4.0,52.0,79.0,5.0,5.0,1.0,4.0,5.0,0.0,3.0,12.0,2.0,47.0
39,CAR,CIN,22.0,11,4.0,1.0,0.0,0.0,7.0,3.0,54.0,73.0,3.0,7.0,4.0,3.0,7.0,0.0,2.0,7.0,1.0,44.0
40,HOU,NYG,19.0,6,1.0,2.0,1.0,0.0,10.0,7.0,46.0,77.0,7.0,5.0,4.0,1.0,4.0,1.0,5.0,7.0,3.0,49.0
41,JAX,TEN,21.0,8,0.0,1.0,1.0,0.0,12.0,4.0,54.0,61.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,2.0,34.0
42,KC,SF,24.0,10,0.0,3.0,2.0,0.0,20.0,8.0,57.0,75.0,6.0,8.0,5.0,3.0,7.0,1.0,3.0,6.0,5.0,44.0
43,LA,LAC,18.0,6,1.0,3.0,0.0,0.0,10.0,6.0,55.0,69.0,3.0,8.0,5.0,2.0,7.0,0.0,2.0,4.0,3.0,47.0
44,SEA,DAL,23.0,2,2.0,1.0,1.0,0.0,17.0,4.0,58.0,67.0,7.0,4.0,3.0,1.0,4.0,0.0,3.0,13.0,2.0,35.0
45,ARI,CHI,16.0,10,4.0,3.0,0.0,0.0,13.0,5.0,49.0,68.0,7.0,3.0,2.0,1.0,3.0,0.0,4.0,7.0,3.0,41.0
46,DET,NE,19.0,5,2.0,0.0,1.0,0.0,11.0,3.0,52.0,65.0,3.0,3.0,3.0,0.0,3.0,0.0,5.0,7.0,1.0,41.0
47,TB,PIT,24.0,7,4.0,2.0,0.0,0.0,21.0,7.0,38.0,94.0,6.0,7.0,6.0,0.0,6.0,0.0,4.0,8.0,2.0,60.0
48,LA,MIN,22.0,11,0.0,2.0,0.0,0.0,6.0,5.0,37.0,90.0,5.0,8.0,8.0,0.0,7.0,1.0,5.0,6.0,2.0,62.0
49,JAX,NYJ,25.0,8,1.0,2.0,2.0,1.0,15.0,3.0,48.0,79.0,5.0,4.0,3.0,1.0,2.0,2.0,5.0,11.0,4.0,46.0
50,NE,MIA,19.0,7,3.0,0.0,1.0,0.0,16.0,6.0,58.0,62.0,2.0,6.0,4.0,2.0,6.0,0.0,1.0,9.0,1.0,38.0
