,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble  Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,NYG,DAL,17.0,2,1.0,1.0,0.0,0.0,17.0,4.0,45.0,66.0,5.0,5.0,4.0,1.0,5.0,0.0,2.0,6.0,1.0,43.0
1,CHI,IND,32.0,8,4.0,2.0,0.0,0.0,10.0,7.0,48.0,85.0,5.0,8.0,3.0,4.0,7.0,0.0,3.0,10.0,2.0,44.0
2,KC,ATL,18.0,6,2.0,2.0,0.0,0.0,4.0,8.0,56.0,68.0,4.0,7.0,4.0,3.0,7.0,0.0,6.0,2.0,2.0,44.0
3,CLE,PHI,42.0,3,8.0,3.0,2.0,0.0,15.0,7.0,52.0,95.0,4.0,3.0,2.0,0.0,2.0,0.0,5.0,13.0,5.0,41.0
4,NO,WAS,33.0,13,2.0,2.0,2.0,0.0,24.0,4.0,55.0,81.0,3.0,8.0,5.0,2.0,6.0,1.0,5.0,9.0,4.0,43.0
5,DET,STL,21.0,9,3.0,1.0,1.0,0.0,10.0,4.0,45.0,77.0,4.0,5.0,2.0,2.0,4.0,0.0,5.0,8.0,2.0,49.0
6,TEN,NE,21.0,7,1.0,1.0,1.0,0.0,6.0,8.0,51.0,77.0,3.0,5.0,3.0,1.0,4.0,0.0,4.0,8.0,2.0,52.0
7,MIN,JAC,23.0,6,0.0,1.0,3.0,0.0,9.0,7.0,63.0,71.0,4.0,4.0,2.0,2.0,3.0,1.0,7.0,9.0,4.0,43.0
8,NYJ,BUF,18.0,9,4.0,3.0,0.0,0.0,11.0,3.0,62.0,59.0,0.0,10.0,6.0,2.0,8.0,0.0,2.0,4.0,3.0,37.0
9,HOU,MIA,24.0,1,3.0,2.0,1.0,0.0,11.0,7.0,54.0,72.0,5.0,4.0,1.0,2.0,3.0,0.0,5.0,8.0,3.0,40.0
10,ARI,SEA,30.0,7,2.0,3.0,1.0,0.0,23.0,2.0,53.0,74.0,4.0,3.0,2.0,1.0,3.0,0.0,6.0,8.0,4.0,38.0
11,GB,SF,19.0,7,1.0,1.0,1.0,0.0,18.0,0.0,46.0,77.0,7.0,6.0,4.0,1.0,5.0,0.0,3.0,11.0,2.0,50.0
12,TB,CAR,16.0,5,2.0,1.0,1.0,0.0,10.0,6.0,49.0,62.0,5.0,2.0,2.0,0.0,2.0,0.0,4.0,11.0,2.0,39.0
13,DEN,PIT,24.0,10,1.0,0.0,2.0,0.0,14.0,4.0,53.0,75.0,7.0,6.0,4.0,1.0,3.0,2.0,3.0,5.0,2.0,41.0
14,BAL,CIN,23.0,6,1.0,1.0,2.0,0.0,9.0,0.0,51.0,76.0,7.0,6.0,2.0,3.0,5.0,0.0,5.0,6.0,3.0,45.0
15,OAK,SD,23.0,6,0.0,1.0,3.0,0.0,15.0,5.0,40.0,84.0,4.0,2.0,2.0,0.0,1.0,1.0,7.0,6.0,4.0,56.0
16,GB,CHI,21.0,7,5.0,1.0,1.0,0.0,12.0,4.0,51.0,72.0,12.0,3.0,3.0,0.0,3.0,0.0,4.0,11.0,2.0,34.0
17,NYG,TB,28.0,4,5.0,1.0,1.0,0.0,12.0,7.0,48.0,81.0,2.0,8.0,5.0,2.0,6.0,1.0,6.0,8.0,2.0,46.0
18,MIA,OAK,35.0,8,1.0,0.0,1.0,0.0,8.0,4.0,57.0,79.0,1.0,6.0,2.0,4.0,6.0,0.0,2.0,16.0,1.0,42.0
